Date,data,median,LB,UB
01-01-2020,15.93,15.94,15.85,16.03
02-01-2020,16.27,16.25,16.16,16.33
03-01-2020,16.45,16.43,16.36,16.51
04-01-2020,16.95,17.01,16.95,17.07
05-01-2020,17.75,17.71,17.64,17.78
06-01-2020,18.32,18.29,18.23,18.35
07-01-2020,18.66,18.68,18.62,18.75
08-01-2020,18.89,18.92,18.85,18.98
09-01-2020,19.11,19.09,19.03,19.16
10-01-2020,19.32,19.26,19.19,19.33
11-01-2020,19.38,19.44,19.38,19.5
12-01-2020,19.57,19.62,19.55,19.69
01-01-2021,19.91,19.79,19.73,19.85
02-01-2021,19.99,20.04,19.97,20.12
03-01-2021,20.4,20.43,20.37,20.49
04-01-2021,20.73,20.67,20.6,20.74
05-01-2021,20.48,20.53,20.47,20.59
06-01-2021,20.45,20.42,20.35,20.49
07-01-2021,20.66,20.67,20.61,20.73
08-01-2021,21.04,21.02,20.95,21.09
09-01-2021,21.27,21.28,21.22,21.34
10-01-2021,21.49,21.51,21.44,21.57
11-01-2021,21.8,21.75,21.69,21.82
12-01-2021,21.98,22,21.94,22.07
01-01-2022,22.18,22.22,22.15,22.28
02-01-2022,22.36,22.32,22.26,22.38
03-01-2022,22.3,22.26,22.19,22.33
04-01-2022,21.96,22.03,21.97,22.09
05-01-2022,21.82,21.8,21.73,21.87
06-01-2022,21.8,21.75,21.69,21.81
07-01-2022,21.71,21.74,21.67,21.81
08-01-2022,21.62,21.62,21.57,21.68
09-01-2022,21.52,21.53,21.46,21.6
10-01-2022,21.6,21.57,21.51,21.63
11-01-2022,21.61,21.65,21.58,21.72
12-01-2022,21.7,21.67,21.61,21.74
01-01-2023,21.6,21.61,21.54,21.68
02-01-2023,21.51,21.51,21.44,21.57
03-01-2023,21.5,21.5,21.44,21.57
04-01-2023,21.59,21.59,21.52,21.66
05-01-2023,21.6,21.6,21.54,21.67
06-01-2023,21.53,21.51,21.45,21.58
07-01-2023,21.38,21.39,21.33,21.45
08-01-2023,21.25,21.25,21.18,21.32
09-01-2023,21.08,21.07,21.01,21.13
10-01-2023,20.77,20.79,20.72,20.86
11-01-2023,20.38,20.37,20.31,20.42
12-01-2023,19.93,19.92,19.85,19.99
01-01-2024,19.51,19.54,19.48,19.6
02-01-2024,19.18,19.15,19.08,19.22
03-01-2024,18.66,18.67,18.61,18.73
04-01-2024,18.18,18.18,18.11,18.25
05-01-2024,17.72,17.72,17.65,17.78
06-01-2024,17.23,17.23,17.17,17.3
07-01-2024,16.74,16.73,16.66,16.79
08-01-2024,16.19,16.21,16.14,16.27
09-01-2024,15.71,15.69,15.62,15.76
10-01-2024,15.17,15.18,15.12,15.24
11-01-2024,14.72,14.71,14.64,14.78
12-01-2024,14.29,14.3,14.24,14.36
01-01-2025,14,13.99,13.92,14.06
02-01-2025,13.78,13.79,13.73,13.85
03-01-2025,13.59,13.58,13.51,13.65
04-01-2025,13.26,13.27,13.21,13.32
05-01-2025,12.98,12.99,12.92,13.06
06-01-2025,12.86,12.84,12.78,12.9
07-01-2025,12.68,12.69,12.62,12.76
08-01-2025,12.49,12.49,12.42,12.55
09-01-2025,12.32,12.32,12.26,12.39
10-01-2025,12.27,12.24,12.17,12.3
11-01-2025,12.14,12.17,12.11,12.24
12-01-2025,12.1,12.09,12.02,12.16
01-01-2026,11.98,11.97,11.91,12.03
02-01-2026,11.8,11.81,11.73,11.88
03-01-2026,11.62,11.62,11.54,11.7
04-01-2026,11.5,11.49,11.41,11.58
05-01-2026,NaN,11.45,11.03,11.88
06-01-2026,NaN,11.41,10.61,12.21
07-01-2026,NaN,11.37,10.19,12.55
08-01-2026,NaN,11.33,9.77,12.89
09-01-2026,NaN,11.29,9.35,13.23
10-01-2026,NaN,11.25,8.93,13.57
11-01-2026,NaN,11.21,8.51,13.91
12-01-2026,NaN,11.17,8.09,14.25
01-01-2027,NaN,11.13,7.67,14.59
02-01-2027,NaN,11.09,7.25,14.93
03-01-2027,NaN,11.05,6.83,15.27
04-01-2027,NaN,11.01,6.41,15.61
