Date,data,median,LB,UB
01-01-2020,15.93,15.9,15.61,16.19
02-01-2020,16.27,16.33,16.05,16.59
03-01-2020,16.45,16.75,16.45,17.05
04-01-2020,16.95,17.18,16.91,17.44
05-01-2020,17.75,17.61,17.33,17.9
06-01-2020,18.32,18.04,17.75,18.32
07-01-2020,18.66,18.47,18.19,18.75
08-01-2020,18.89,18.9,18.61,19.17
09-01-2020,19.11,19.08,18.81,19.37
10-01-2020,19.32,19.27,18.98,19.57
11-01-2020,19.38,19.46,19.16,19.76
12-01-2020,19.57,19.64,19.35,19.93
01-01-2021,19.91,19.83,19.55,20.11
02-01-2021,19.99,20.02,19.71,20.33
03-01-2021,20.4,20.2,19.91,20.48
04-01-2021,20.73,20.39,20.11,20.68
05-01-2021,20.48,20.58,20.29,20.87
06-01-2021,20.45,20.76,20.49,21.04
07-01-2021,20.66,20.95,20.67,21.23
08-01-2021,21.04,21.14,20.87,21.43
09-01-2021,21.27,21.32,21.02,21.6
10-01-2021,21.49,21.51,21.22,21.79
11-01-2021,21.8,21.7,21.43,22
12-01-2021,21.98,21.88,21.6,22.17
01-01-2022,22.18,22.07,21.79,22.37
02-01-2022,22.36,22.03,21.77,22.32
03-01-2022,22.3,21.99,21.7,22.26
04-01-2022,21.96,21.96,21.66,22.24
05-01-2022,21.82,21.92,21.65,22.2
06-01-2022,21.8,21.88,21.59,22.18
07-01-2022,21.71,21.84,21.56,22.14
08-01-2022,21.62,21.8,21.53,22.07
09-01-2022,21.52,21.76,21.47,22.05
10-01-2022,21.6,21.72,21.44,22.01
11-01-2022,21.61,21.69,21.39,21.99
12-01-2022,21.7,21.65,21.39,21.94
01-01-2023,21.6,21.61,21.33,21.89
02-01-2023,21.51,21.57,21.28,21.86
03-01-2023,21.5,21.53,21.25,21.82
04-01-2023,21.59,21.5,21.22,21.79
05-01-2023,21.6,21.46,21.17,21.74
06-01-2023,21.53,21.42,21.16,21.71
07-01-2023,21.38,21.38,21.1,21.66
08-01-2023,21.25,21.2,20.91,21.51
09-01-2023,21.08,21.01,20.72,21.3
10-01-2023,20.77,20.83,20.53,21.12
11-01-2023,20.38,20.39,20.1,20.68
12-01-2023,19.93,19.95,19.71,20.23
01-01-2024,19.51,19.52,19.23,19.82
02-01-2024,19.18,19.08,18.81,19.37
03-01-2024,18.66,18.64,18.37,18.94
04-01-2024,18.18,18.14,17.87,18.41
05-01-2024,17.72,17.65,17.37,17.95
06-01-2024,17.23,17.15,16.85,17.42
07-01-2024,16.74,16.65,16.36,16.94
08-01-2024,16.19,16.15,15.88,16.43
09-01-2024,15.71,15.65,15.36,15.94
10-01-2024,15.17,15.15,14.86,15.43
11-01-2024,14.72,14.65,14.35,14.93
12-01-2024,14.29,14.16,13.86,14.44
01-01-2025,14,13.98,13.69,14.25
02-01-2025,13.78,13.8,13.51,14.09
03-01-2025,13.59,13.62,13.32,13.9
04-01-2025,13.26,13.44,13.15,13.71
05-01-2025,12.98,13.26,12.96,13.55
06-01-2025,12.86,13.08,12.78,13.35
07-01-2025,12.68,12.9,12.61,13.15
08-01-2025,12.49,12.72,12.45,13
09-01-2025,12.32,12.54,12.25,12.85
10-01-2025,12.27,12.36,12.05,12.64
11-01-2025,12.14,12.18,11.89,12.46
12-01-2025,12.1,12,11.72,12.29
01-01-2026,11.98,11.82,11.54,12.13
02-01-2026,11.8,11.64,11.37,11.91
03-01-2026,11.62,11.46,11.16,11.75
04-01-2026,11.5,11.28,11,11.57
05-01-2026,NaN,11.1,10.81,11.38
06-01-2026,NaN,10.92,10.6,11.21
07-01-2026,NaN,10.74,10.36,11.12
08-01-2026,NaN,10.56,10.1,11.06
09-01-2026,NaN,10.38,9.78,11.06
10-01-2026,NaN,10.2,9.43,11.07
11-01-2026,NaN,10.02,9.04,11.1
12-01-2026,NaN,9.84,8.66,11.05
01-01-2027,NaN,9.66,8.15,11.09
02-01-2027,NaN,9.48,7.81,11.14
03-01-2027,NaN,9.3,7.34,11.18
04-01-2027,NaN,9.12,6.92,11.35
