Date,data,median,LB,UB
01-01-2020,72.12,72.15,71.81,72.5
02-01-2020,73.34,73.17,72.91,73.42
03-01-2020,74.68,74.8,74.54,75.06
04-01-2020,77.02,77.33,77.09,77.56
05-01-2020,80.58,80.2,79.95,80.46
06-01-2020,82.92,82.94,82.7,83.18
07-01-2020,85.24,85.34,85.09,85.59
08-01-2020,87.29,87.3,87.05,87.54
09-01-2020,88.88,88.81,88.57,89.05
10-01-2020,90.09,90.04,89.78,90.29
11-01-2020,91.2,91.25,91.02,91.49
12-01-2020,92.48,92.68,92.43,92.94
01-01-2021,94.79,94.46,94.23,94.69
02-01-2021,96.12,96.4,96.14,96.66
03-01-2021,98.21,98.17,97.94,98.4
04-01-2021,99.77,99.43,99.17,99.69
05-01-2021,99.68,100.02,99.78,100.25
06-01-2021,100.57,100.51,100.25,100.77
07-01-2021,101.48,101.42,101.18,101.65
08-01-2021,102.61,102.68,102.43,102.94
09-01-2021,104.1,104.11,103.87,104.35
10-01-2021,105.53,105.46,105.21,105.71
11-01-2021,106.55,106.58,106.34,106.83
12-01-2021,107.57,107.46,107.22,107.7
01-01-2022,107.8,108.09,107.84,108.34
02-01-2022,108.64,108.45,108.21,108.68
03-01-2022,108.6,108.44,108.18,108.7
04-01-2022,107.78,107.98,107.74,108.21
05-01-2022,107.43,107.46,107.19,107.72
06-01-2022,107.37,107.38,107.15,107.61
07-01-2022,107.58,107.5,107.23,107.76
08-01-2022,107.47,107.45,107.22,107.68
09-01-2022,107.43,107.48,107.22,107.74
10-01-2022,107.82,107.85,107.62,108.08
11-01-2022,108.43,108.51,108.26,108.77
12-01-2022,109.41,109.26,109.02,109.5
01-01-2023,109.75,109.7,109.44,109.95
02-01-2023,109.71,109.8,109.56,110.05
03-01-2023,110.08,110.15,109.9,110.39
04-01-2023,110.77,110.79,110.54,111.04
05-01-2023,111.42,111.28,111.04,111.52
06-01-2023,111.47,111.49,111.24,111.75
07-01-2023,111.38,111.53,111.29,111.76
08-01-2023,111.45,111.32,111.06,111.58
09-01-2023,110.72,110.74,110.51,110.97
10-01-2023,109.7,109.75,109.49,110.01
11-01-2023,108.53,108.4,108.17,108.63
12-01-2023,106.88,106.98,106.72,107.24
01-01-2024,105.52,105.67,105.44,105.9
02-01-2024,104.36,104.14,103.88,104.4
03-01-2024,102.17,102.19,101.95,102.43
04-01-2024,100.05,100.06,99.81,100.31
05-01-2024,97.69,97.88,97.64,98.13
06-01-2024,95.74,95.58,95.33,95.82
07-01-2024,93.19,93.07,92.82,93.32
08-01-2024,90.2,90.38,90.14,90.62
09-01-2024,87.65,87.64,87.39,87.9
10-01-2024,85.18,85.14,84.91,85.38
11-01-2024,82.95,82.92,82.66,83.18
12-01-2024,80.86,80.92,80.69,81.15
01-01-2025,79.33,79.25,78.99,79.51
02-01-2025,77.83,77.99,77.76,78.22
03-01-2025,77.06,76.96,76.69,77.22
04-01-2025,75.97,75.94,75.71,76.18
05-01-2025,74.88,74.91,74.65,75.17
06-01-2025,73.9,73.89,73.66,74.13
07-01-2025,72.99,73.02,72.77,73.27
08-01-2025,72.37,72.36,72.12,72.6
09-01-2025,71.89,71.86,71.61,72.11
10-01-2025,71.38,71.44,71.19,71.69
11-01-2025,71.02,71.04,70.8,71.28
12-01-2025,70.65,70.52,70.26,70.77
01-01-2026,69.54,69.69,69.46,69.93
02-01-2026,68.69,68.55,68.29,68.82
03-01-2026,67.1,67.19,66.93,67.44
04-01-2026,65.73,65.71,65.36,66.06
05-01-2026,NaN,64.23,63.31,65.15
06-01-2026,NaN,62.75,61.15,64.35
07-01-2026,NaN,61.27,58.98,63.56
08-01-2026,NaN,59.79,56.81,62.77
09-01-2026,NaN,58.31,54.63,61.99
10-01-2026,NaN,56.83,52.46,61.21
11-01-2026,NaN,55.35,50.28,60.42
12-01-2026,NaN,53.87,48.1,59.64
01-01-2027,NaN,52.39,45.93,58.86
02-01-2027,NaN,50.91,43.75,58.08
03-01-2027,NaN,49.43,41.57,57.3
04-01-2027,NaN,47.95,39.39,56.51
