Date,data,median,LB,UB
01-01-2020,72.12,71.35,70.38,72.29
02-01-2020,73.34,73.58,72.64,74.56
03-01-2020,74.68,75.8,74.8,76.86
04-01-2020,77.02,78.03,77.09,78.99
05-01-2020,80.58,80.25,79.35,81.22
06-01-2020,82.92,82.47,81.48,83.49
07-01-2020,85.24,84.7,83.84,85.67
08-01-2020,87.29,86.92,85.93,87.88
09-01-2020,88.88,88.47,87.53,89.44
10-01-2020,90.09,90.03,89.02,90.99
11-01-2020,91.2,91.58,90.55,92.53
12-01-2020,92.48,93.13,92.19,94.05
01-01-2021,94.79,94.68,93.72,95.61
02-01-2021,96.12,96.23,95.32,97.1
03-01-2021,98.21,97.78,96.82,98.78
04-01-2021,99.77,98.84,97.93,99.78
05-01-2021,99.68,99.9,99,100.87
06-01-2021,100.57,100.96,100.02,101.91
07-01-2021,101.48,102.02,101.12,103.01
08-01-2021,102.61,103.08,102.09,104.01
09-01-2021,104.1,104.14,103.24,105.15
10-01-2021,105.53,105.2,104.21,106.19
11-01-2021,106.55,106.14,105.16,107.12
12-01-2021,107.57,107.08,106.11,107.95
01-01-2022,107.8,108.02,107.07,109
02-01-2022,108.64,107.98,107.03,108.99
03-01-2022,108.6,107.93,107.02,108.85
04-01-2022,107.78,107.88,106.96,108.82
05-01-2022,107.43,107.83,106.98,108.84
06-01-2022,107.37,107.78,106.78,108.7
07-01-2022,107.58,107.73,106.8,108.65
08-01-2022,107.47,107.69,106.78,108.58
09-01-2022,107.43,108.04,107.08,108.95
10-01-2022,107.82,108.4,107.5,109.36
11-01-2022,108.43,108.76,107.82,109.76
12-01-2022,109.41,109.12,108.23,110.15
01-01-2023,109.75,109.48,108.49,110.49
02-01-2023,109.71,109.84,108.94,110.86
03-01-2023,110.08,110.2,109.31,111.1
04-01-2023,110.77,110.57,109.58,111.47
05-01-2023,111.42,110.93,109.97,111.83
06-01-2023,111.47,111.29,110.38,112.25
07-01-2023,111.38,111.65,110.71,112.63
08-01-2023,111.45,111.09,110.11,112.02
09-01-2023,110.72,110.53,109.62,111.5
10-01-2023,109.7,109.97,109.01,110.9
11-01-2023,108.53,108.49,107.51,109.43
12-01-2023,106.88,107.01,106.09,107.94
01-01-2024,105.52,105.53,104.61,106.44
02-01-2024,104.36,104.05,103.07,105
03-01-2024,102.17,102.56,101.62,103.48
04-01-2024,100.05,100.08,99.08,100.99
05-01-2024,97.69,97.6,96.6,98.51
06-01-2024,95.74,95.11,94.16,96.13
07-01-2024,93.19,92.62,91.66,93.62
08-01-2024,90.2,90.11,89.03,91.13
09-01-2024,87.65,87.6,86.63,88.5
10-01-2024,85.18,85.09,84.14,85.98
11-01-2024,82.95,82.58,81.65,83.52
12-01-2024,80.86,80.07,79.09,80.95
01-01-2025,79.33,79.2,78.24,80.17
02-01-2025,77.83,78.33,77.41,79.39
03-01-2025,77.06,77.46,76.55,78.43
04-01-2025,75.97,76.59,75.57,77.56
05-01-2025,74.88,75.72,74.76,76.64
06-01-2025,73.9,74.85,73.9,75.76
07-01-2025,72.99,73.98,73.03,74.89
08-01-2025,72.37,73.11,72.21,74.01
09-01-2025,71.89,72.24,71.31,73.22
10-01-2025,71.38,71.37,70.41,72.42
11-01-2025,71.02,70.5,69.57,71.4
12-01-2025,70.65,69.63,68.61,70.52
01-01-2026,69.54,68.76,67.82,69.76
02-01-2026,68.69,67.89,66.95,68.89
03-01-2026,67.1,67.02,66.17,67.95
04-01-2026,65.73,66.15,65.24,67.11
05-01-2026,NaN,65.28,64.36,66.25
06-01-2026,NaN,64.41,63.21,65.55
07-01-2026,NaN,63.55,61.97,65.1
08-01-2026,NaN,62.68,60.27,65.19
09-01-2026,NaN,61.81,58.83,65.25
10-01-2026,NaN,60.94,56.55,65.24
11-01-2026,NaN,60.07,54.95,65.66
12-01-2026,NaN,59.2,53.15,65.98
01-01-2027,NaN,58.33,51.22,66.18
02-01-2027,NaN,57.46,48.79,66.61
03-01-2027,NaN,56.59,46.41,66.93
04-01-2027,NaN,55.72,44.42,67.38
