Date,data,median,LB,UB
01-01-2020,14.16,14.24,14.01,14.48
02-01-2020,14.31,14.45,14.23,14.7
03-01-2020,14.49,14.67,14.43,14.93
04-01-2020,14.87,14.89,14.63,15.15
05-01-2020,15.26,15.1,14.86,15.35
06-01-2020,15.48,15.32,15.07,15.54
07-01-2020,15.68,15.51,15.25,15.75
08-01-2020,15.71,15.71,15.47,15.98
09-01-2020,15.9,15.82,15.59,16.06
10-01-2020,15.92,15.92,15.68,16.17
11-01-2020,16,16.03,15.78,16.26
12-01-2020,16.02,16.13,15.88,16.37
01-01-2021,16.23,16.24,15.98,16.48
02-01-2021,16.39,16.35,16.1,16.59
03-01-2021,16.59,16.45,16.19,16.71
04-01-2021,16.55,16.56,16.32,16.8
05-01-2021,16.54,16.66,16.42,16.9
06-01-2021,16.61,16.77,16.5,17
07-01-2021,16.7,16.87,16.62,17.12
08-01-2021,16.91,16.98,16.75,17.22
09-01-2021,17.1,17.08,16.81,17.34
10-01-2021,17.37,17.19,16.95,17.43
11-01-2021,17.4,17.27,17.04,17.52
12-01-2021,17.5,17.35,17.11,17.6
01-01-2022,17.49,17.43,17.18,17.69
02-01-2022,17.47,17.44,17.19,17.69
03-01-2022,17.48,17.44,17.2,17.7
04-01-2022,17.52,17.45,17.2,17.71
05-01-2022,17.39,17.46,17.24,17.67
06-01-2022,17.43,17.47,17.21,17.71
07-01-2022,17.4,17.48,17.24,17.71
08-01-2022,17.35,17.49,17.24,17.74
09-01-2022,17.27,17.49,17.24,17.73
10-01-2022,17.35,17.5,17.26,17.76
11-01-2022,17.46,17.51,17.28,17.76
12-01-2022,17.59,17.52,17.27,17.77
01-01-2023,17.63,17.53,17.29,17.77
02-01-2023,17.66,17.54,17.29,17.78
03-01-2023,17.54,17.54,17.28,17.77
04-01-2023,17.55,17.55,17.3,17.8
05-01-2023,17.66,17.56,17.32,17.81
06-01-2023,17.52,17.49,17.25,17.73
07-01-2023,17.37,17.42,17.17,17.67
08-01-2023,17.24,17.22,16.98,17.45
09-01-2023,17.07,17.01,16.77,17.26
10-01-2023,16.77,16.81,16.56,17.06
11-01-2023,16.53,16.52,16.27,16.77
12-01-2023,16.22,16.23,15.98,16.46
01-01-2024,15.92,15.92,15.69,16.16
02-01-2024,15.64,15.61,15.38,15.84
03-01-2024,15.32,15.3,15.06,15.55
04-01-2024,14.89,14.86,14.61,15.11
05-01-2024,14.39,14.42,14.18,14.65
06-01-2024,14.03,13.98,13.74,14.23
07-01-2024,13.7,13.54,13.29,13.79
08-01-2024,13.22,13.1,12.85,13.36
09-01-2024,12.79,12.66,12.42,12.94
10-01-2024,12.38,12.22,11.99,12.49
11-01-2024,11.95,11.78,11.56,12.03
12-01-2024,11.54,11.34,11.09,11.57
01-01-2025,11.17,11.18,10.93,11.41
02-01-2025,10.88,11.02,10.77,11.28
03-01-2025,10.65,10.85,10.61,11.11
04-01-2025,10.44,10.69,10.44,10.93
05-01-2025,10.28,10.53,10.29,10.77
06-01-2025,10.14,10.36,10.13,10.61
07-01-2025,9.94,10.2,9.95,10.44
08-01-2025,9.82,10.04,9.79,10.29
09-01-2025,9.72,9.87,9.62,10.12
10-01-2025,9.56,9.71,9.48,9.96
11-01-2025,9.52,9.55,9.3,9.81
12-01-2025,9.48,9.38,9.15,9.65
01-01-2026,9.38,9.22,8.99,9.48
02-01-2026,9.26,9.06,8.8,9.32
03-01-2026,9.11,8.89,8.66,9.13
04-01-2026,8.94,8.73,8.48,8.97
05-01-2026,NaN,8.57,8.34,8.82
06-01-2026,NaN,8.41,8.12,8.7
07-01-2026,NaN,8.24,7.93,8.55
08-01-2026,NaN,8.08,7.69,8.47
09-01-2026,NaN,7.92,7.44,8.43
10-01-2026,NaN,7.75,7.12,8.37
11-01-2026,NaN,7.59,6.89,8.44
12-01-2026,NaN,7.43,6.55,8.36
01-01-2027,NaN,7.26,6.26,8.35
02-01-2027,NaN,7.1,5.98,8.5
03-01-2027,NaN,6.94,5.67,8.42
04-01-2027,NaN,6.77,5.44,8.36
