Date,data,median,LB,UB
01-01-2020,26.21,26.19,26.01,26.37
02-01-2020,26.74,26.69,26.56,26.82
03-01-2020,27.39,27.45,27.31,27.58
04-01-2020,28.37,28.55,28.42,28.67
05-01-2020,30.02,29.81,29.68,29.94
06-01-2020,31.05,31.07,30.95,31.19
07-01-2020,32.15,32.2,32.07,32.32
08-01-2020,33.13,33.12,32.99,33.24
09-01-2020,33.89,33.82,33.7,33.94
10-01-2020,34.38,34.38,34.26,34.51
11-01-2020,34.92,34.96,34.84,35.08
12-01-2020,35.58,35.66,35.53,35.78
01-01-2021,36.61,36.5,36.38,36.62
02-01-2021,37.27,37.39,37.26,37.52
03-01-2021,38.21,38.19,38.07,38.31
04-01-2021,38.96,38.74,38.61,38.87
05-01-2021,38.8,38.99,38.87,39.11
06-01-2021,39.19,39.16,39.03,39.29
07-01-2021,39.47,39.44,39.32,39.57
08-01-2021,39.81,39.87,39.74,40
09-01-2021,40.41,40.41,40.28,40.53
10-01-2021,40.99,40.95,40.82,41.07
11-01-2021,41.38,41.41,41.29,41.54
12-01-2021,41.87,41.78,41.65,41.9
01-01-2022,41.84,42.01,41.89,42.14
02-01-2022,42.22,42.12,42,42.24
03-01-2022,42.2,42.09,41.96,42.22
04-01-2022,41.8,41.92,41.8,42.04
05-01-2022,41.74,41.76,41.63,41.89
06-01-2022,41.73,41.77,41.65,41.89
07-01-2022,41.93,41.86,41.73,41.99
08-01-2022,41.96,41.91,41.79,42.03
09-01-2022,41.9,41.96,41.83,42.09
10-01-2022,42.04,42.07,41.95,42.19
11-01-2022,42.24,42.25,42.12,42.38
12-01-2022,42.5,42.45,42.33,42.58
01-01-2023,42.62,42.57,42.44,42.7
02-01-2023,42.55,42.59,42.47,42.72
03-01-2023,42.62,42.66,42.53,42.78
04-01-2023,42.76,42.78,42.65,42.91
05-01-2023,42.95,42.87,42.75,42.99
06-01-2023,42.92,42.89,42.77,43.02
07-01-2023,42.73,42.85,42.73,42.97
08-01-2023,42.78,42.71,42.58,42.84
09-01-2023,42.45,42.41,42.29,42.53
10-01-2023,41.94,41.97,41.84,42.1
11-01-2023,41.47,41.44,41.32,41.56
12-01-2023,40.8,40.88,40.75,41.01
01-01-2024,40.32,40.31,40.19,40.43
02-01-2024,39.76,39.65,39.52,39.77
03-01-2024,38.74,38.81,38.69,38.94
04-01-2024,37.94,37.91,37.78,38.04
05-01-2024,36.92,36.99,36.87,37.12
06-01-2024,36.08,36.04,35.91,36.16
07-01-2024,35.09,35.03,34.9,35.15
08-01-2024,33.9,33.95,33.82,34.07
09-01-2024,32.82,32.85,32.72,32.98
10-01-2024,31.85,31.82,31.7,31.94
11-01-2024,30.88,30.88,30.75,31.01
12-01-2024,29.98,29.99,29.87,30.11
01-01-2025,29.24,29.19,29.06,29.32
02-01-2025,28.4,28.53,28.41,28.65
03-01-2025,28.04,27.97,27.84,28.11
04-01-2025,27.51,27.49,27.37,27.61
05-01-2025,27,27.01,26.88,27.14
06-01-2025,26.52,26.54,26.42,26.66
07-01-2025,26.13,26.1,25.97,26.23
08-01-2025,25.71,25.73,25.61,25.86
09-01-2025,25.49,25.48,25.36,25.61
10-01-2025,25.28,25.33,25.21,25.46
11-01-2025,25.23,25.21,25.08,25.33
12-01-2025,25.11,25.02,24.9,25.15
01-01-2026,24.6,24.72,24.6,24.84
02-01-2026,24.37,24.28,24.15,24.41
03-01-2026,23.7,23.74,23.61,23.87
04-01-2026,23.14,23.14,22.96,23.33
05-01-2026,NaN,22.53,22.12,22.95
06-01-2026,NaN,21.92,21.23,22.62
07-01-2026,NaN,21.31,20.34,22.29
08-01-2026,NaN,20.7,19.44,21.96
09-01-2026,NaN,20.09,18.54,21.64
10-01-2026,NaN,19.48,17.65,21.32
11-01-2026,NaN,18.87,16.75,20.99
12-01-2026,NaN,18.26,15.85,20.67
01-01-2027,NaN,17.65,14.96,20.35
02-01-2027,NaN,17.04,14.06,20.02
03-01-2027,NaN,16.43,13.16,19.7
04-01-2027,NaN,15.82,12.26,19.38
