Date,data,median,LB,UB
01-01-2020,26.21,25.92,25.38,26.45
02-01-2020,26.74,26.91,26.35,27.43
03-01-2020,27.39,27.9,27.39,28.47
04-01-2020,28.37,28.89,28.31,29.42
05-01-2020,30.02,29.88,29.33,30.42
06-01-2020,31.05,30.87,30.34,31.36
07-01-2020,32.15,31.86,31.34,32.37
08-01-2020,33.13,32.85,32.34,33.39
09-01-2020,33.89,33.6,33.07,34.17
10-01-2020,34.38,34.35,33.8,34.9
11-01-2020,34.92,35.1,34.55,35.64
12-01-2020,35.58,35.85,35.35,36.4
01-01-2021,36.61,36.59,36.08,37.11
02-01-2021,37.27,37.34,36.77,37.88
03-01-2021,38.21,38.09,37.59,38.66
04-01-2021,38.96,38.49,37.97,39.01
05-01-2021,38.8,38.89,38.33,39.43
06-01-2021,39.19,39.29,38.8,39.81
07-01-2021,39.47,39.69,39.14,40.23
08-01-2021,39.81,40.08,39.52,40.64
09-01-2021,40.41,40.48,39.97,41.03
10-01-2021,40.99,40.88,40.36,41.39
11-01-2021,41.38,41.18,40.63,41.74
12-01-2021,41.87,41.47,40.94,42.01
01-01-2022,41.84,41.76,41.24,42.31
02-01-2022,42.22,41.82,41.23,42.36
03-01-2022,42.2,41.88,41.33,42.45
04-01-2022,41.8,41.94,41.42,42.48
05-01-2022,41.74,42,41.47,42.5
06-01-2022,41.73,42.06,41.52,42.6
07-01-2022,41.93,42.12,41.55,42.67
08-01-2022,41.96,42.18,41.66,42.72
09-01-2022,41.9,42.24,41.7,42.78
10-01-2022,42.04,42.3,41.77,42.86
11-01-2022,42.24,42.36,41.86,42.89
12-01-2022,42.5,42.42,41.9,42.96
01-01-2023,42.62,42.48,41.96,43
02-01-2023,42.55,42.54,42,43.08
03-01-2023,42.62,42.6,42.06,43.18
04-01-2023,42.76,42.66,42.13,43.18
05-01-2023,42.95,42.72,42.18,43.27
06-01-2023,42.92,42.78,42.25,43.28
07-01-2023,42.73,42.84,42.31,43.4
08-01-2023,42.78,42.59,42.07,43.19
09-01-2023,42.45,42.33,41.81,42.86
10-01-2023,41.94,42.08,41.56,42.65
11-01-2023,41.47,41.49,40.94,41.99
12-01-2023,40.8,40.9,40.35,41.41
01-01-2024,40.32,40.24,39.69,40.76
02-01-2024,39.76,39.59,39.07,40.13
03-01-2024,38.74,38.93,38.41,39.52
04-01-2024,37.94,37.89,37.36,38.43
05-01-2024,36.92,36.85,36.3,37.39
06-01-2024,36.08,35.81,35.29,36.37
07-01-2024,35.09,34.77,34.22,35.28
08-01-2024,33.9,33.73,33.22,34.29
09-01-2024,32.82,32.69,32.15,33.21
10-01-2024,31.85,31.65,31.09,32.14
11-01-2024,30.88,30.6,30.11,31.12
12-01-2024,29.98,29.56,29.07,30.13
01-01-2025,29.24,29.15,28.61,29.73
02-01-2025,28.4,28.74,28.24,29.27
03-01-2025,28.04,28.33,27.81,28.88
04-01-2025,27.51,27.93,27.37,28.45
05-01-2025,27,27.52,27,28.03
06-01-2025,26.52,27.11,26.53,27.66
07-01-2025,26.13,26.7,26.14,27.27
08-01-2025,25.71,26.29,25.72,26.83
09-01-2025,25.49,25.88,25.34,26.41
10-01-2025,25.28,25.47,24.93,25.97
11-01-2025,25.23,25.06,24.52,25.61
12-01-2025,25.11,24.65,24.11,25.21
01-01-2026,24.6,24.24,23.72,24.78
02-01-2026,24.37,23.83,23.28,24.4
03-01-2026,23.7,23.42,22.92,23.92
04-01-2026,23.14,23.01,22.44,23.56
05-01-2026,NaN,22.61,22.06,23.14
06-01-2026,NaN,22.2,21.54,22.86
07-01-2026,NaN,21.79,20.96,22.58
08-01-2026,NaN,21.38,20.37,22.51
09-01-2026,NaN,20.97,19.66,22.29
10-01-2026,NaN,20.56,18.69,22.31
11-01-2026,NaN,20.15,18.11,22.27
12-01-2026,NaN,19.74,17.25,22.29
01-01-2027,NaN,19.33,16.34,22.14
02-01-2027,NaN,18.92,15.29,22.12
03-01-2027,NaN,18.51,14.45,22.27
04-01-2027,NaN,18.1,13.24,22.13
