Date,data,median,LB,UB
01-01-2020,14.24,14.22,14.1,14.34
02-01-2020,14.41,14.41,14.33,14.5
03-01-2020,14.7,14.72,14.63,14.81
04-01-2020,15.15,15.17,15.09,15.25
05-01-2020,15.78,15.7,15.62,15.79
06-01-2020,16.23,16.29,16.21,16.37
07-01-2020,16.87,16.91,16.83,17
08-01-2020,17.64,17.53,17.45,17.62
09-01-2020,17.99,18.03,17.95,18.11
10-01-2020,18.43,18.42,18.34,18.51
11-01-2020,18.82,18.81,18.73,18.89
12-01-2020,19.18,19.25,19.16,19.34
01-01-2021,19.82,19.74,19.66,19.82
02-01-2021,20.22,20.24,20.16,20.33
03-01-2021,20.7,20.7,20.63,20.78
04-01-2021,21.15,21.12,21.04,21.21
05-01-2021,21.47,21.52,21.44,21.59
06-01-2021,21.87,21.85,21.76,21.93
07-01-2021,22.17,22.11,22.03,22.19
08-01-2021,22.3,22.38,22.29,22.46
09-01-2021,22.69,22.68,22.6,22.77
10-01-2021,23.01,22.98,22.9,23.07
11-01-2021,23.25,23.24,23.15,23.32
12-01-2021,23.45,23.43,23.35,23.51
01-01-2022,23.49,23.58,23.49,23.66
02-01-2022,23.75,23.7,23.62,23.78
03-01-2022,23.78,23.75,23.67,23.84
04-01-2022,23.67,23.7,23.62,23.78
05-01-2022,23.59,23.58,23.5,23.67
06-01-2022,23.49,23.52,23.45,23.6
07-01-2022,23.57,23.53,23.44,23.62
08-01-2022,23.55,23.59,23.51,23.66
09-01-2022,23.74,23.69,23.6,23.77
10-01-2022,23.81,23.84,23.76,23.92
11-01-2022,24.02,24.09,24,24.17
12-01-2022,24.48,24.41,24.33,24.49
01-01-2023,24.76,24.71,24.62,24.79
02-01-2023,24.85,24.95,24.87,25.03
03-01-2023,25.25,25.25,25.16,25.33
04-01-2023,25.66,25.62,25.54,25.71
05-01-2023,26.01,25.99,25.91,26.07
06-01-2023,26.24,26.32,26.23,26.4
07-01-2023,26.65,26.61,26.53,26.69
08-01-2023,26.91,26.84,26.76,26.93
09-01-2023,26.87,26.96,26.88,27.04
10-01-2023,26.99,26.98,26.9,27.07
11-01-2023,27,26.94,26.86,27.01
12-01-2023,26.83,26.86,26.77,26.95
01-01-2024,26.7,26.77,26.69,26.85
02-01-2024,26.69,26.62,26.53,26.7
03-01-2024,26.43,26.39,26.31,26.47
04-01-2024,26.09,26.13,26.05,26.22
05-01-2024,25.75,25.85,25.76,25.93
06-01-2024,25.59,25.46,25.37,25.54
07-01-2024,24.95,24.94,24.85,25.02
08-01-2024,24.28,24.35,24.27,24.43
09-01-2024,23.78,23.78,23.7,23.87
10-01-2024,23.35,23.34,23.26,23.42
11-01-2024,23.03,23.02,22.94,23.11
12-01-2024,22.8,22.81,22.73,22.89
01-01-2025,22.71,22.69,22.6,22.78
02-01-2025,22.63,22.67,22.59,22.75
03-01-2025,22.68,22.69,22.6,22.77
04-01-2025,22.71,22.67,22.59,22.75
05-01-2025,22.61,22.58,22.49,22.66
06-01-2025,22.39,22.41,22.33,22.49
07-01-2025,22.24,22.32,22.23,22.4
08-01-2025,22.41,22.36,22.27,22.44
09-01-2025,22.41,22.39,22.3,22.47
10-01-2025,22.31,22.33,22.24,22.41
11-01-2025,22.18,22.19,22.11,22.27
12-01-2025,21.99,21.98,21.89,22.06
01-01-2026,21.65,21.68,21.6,21.76
02-01-2026,21.34,21.3,21.21,21.39
03-01-2026,20.8,20.83,20.75,20.92
04-01-2026,20.32,20.31,20.19,20.43
05-01-2026,NaN,19.79,19.5,20.07
06-01-2026,NaN,19.26,18.77,19.75
07-01-2026,NaN,18.73,18.05,19.42
08-01-2026,NaN,18.21,17.32,19.1
09-01-2026,NaN,17.68,16.59,18.78
10-01-2026,NaN,17.15,15.85,18.45
11-01-2026,NaN,16.63,15.12,18.13
12-01-2026,NaN,16.1,14.39,17.81
01-01-2027,NaN,15.57,13.66,17.49
02-01-2027,NaN,15.05,12.93,17.17
03-01-2027,NaN,14.52,12.2,16.84
04-01-2027,NaN,13.99,11.47,16.52
