Date,data,median,LB,UB
01-01-2020,14.24,14.02,13.52,14.52
02-01-2020,14.41,14.49,13.97,14.98
03-01-2020,14.7,14.97,14.46,15.51
04-01-2020,15.15,15.45,14.94,15.93
05-01-2020,15.78,15.92,15.43,16.45
06-01-2020,16.23,16.4,15.9,16.86
07-01-2020,16.87,16.87,16.37,17.33
08-01-2020,17.64,17.35,16.84,17.89
09-01-2020,17.99,17.82,17.31,18.33
10-01-2020,18.43,18.3,17.78,18.8
11-01-2020,18.82,18.78,18.28,19.26
12-01-2020,19.18,19.25,18.76,19.8
01-01-2021,19.82,19.73,19.22,20.24
02-01-2021,20.22,20.2,19.71,20.67
03-01-2021,20.7,20.68,20.18,21.19
04-01-2021,21.15,21.07,20.57,21.58
05-01-2021,21.47,21.46,20.94,22
06-01-2021,21.87,21.85,21.35,22.36
07-01-2021,22.17,22.14,21.63,22.62
08-01-2021,22.3,22.43,21.93,22.92
09-01-2021,22.69,22.72,22.23,23.25
10-01-2021,23.01,23.01,22.5,23.55
11-01-2021,23.25,23.1,22.57,23.57
12-01-2021,23.45,23.2,22.69,23.73
01-01-2022,23.49,23.29,22.77,23.81
02-01-2022,23.75,23.38,22.89,23.9
03-01-2022,23.78,23.47,22.96,23.97
04-01-2022,23.67,23.56,23.06,24.04
05-01-2022,23.59,23.66,23.14,24.19
06-01-2022,23.49,23.75,23.23,24.28
07-01-2022,23.57,23.84,23.35,24.37
08-01-2022,23.55,23.93,23.42,24.41
09-01-2022,23.74,24.02,23.55,24.55
10-01-2022,23.81,24.11,23.61,24.61
11-01-2022,24.02,24.36,23.84,24.9
12-01-2022,24.48,24.6,24.09,25.13
01-01-2023,24.76,24.85,24.32,25.38
02-01-2023,24.85,25.09,24.58,25.57
03-01-2023,25.25,25.34,24.82,25.85
04-01-2023,25.66,25.58,25.03,26.09
05-01-2023,26.01,25.82,25.29,26.33
06-01-2023,26.24,26.07,25.61,26.6
07-01-2023,26.65,26.31,25.84,26.82
08-01-2023,26.91,26.56,26.04,27.06
09-01-2023,26.87,26.8,26.3,27.32
10-01-2023,26.99,27.04,26.54,27.52
11-01-2023,27,27.05,26.5,27.55
12-01-2023,26.83,27.05,26.55,27.52
01-01-2024,26.7,26.73,26.25,27.24
02-01-2024,26.69,26.41,25.92,26.92
03-01-2024,26.43,26.09,25.57,26.56
04-01-2024,26.09,25.76,25.25,26.27
05-01-2024,25.75,25.44,24.94,25.94
06-01-2024,25.59,25.12,24.63,25.66
07-01-2024,24.95,24.8,24.28,25.28
08-01-2024,24.28,24.48,24.03,25.01
09-01-2024,23.78,24.16,23.66,24.65
10-01-2024,23.35,23.84,23.31,24.36
11-01-2024,23.03,23.52,23.02,24.03
12-01-2024,22.8,23.2,22.69,23.69
01-01-2025,22.71,23.06,22.57,23.57
02-01-2025,22.63,22.93,22.43,23.43
03-01-2025,22.68,22.8,22.3,23.31
04-01-2025,22.71,22.66,22.18,23.15
05-01-2025,22.61,22.53,22.04,23.01
06-01-2025,22.39,22.4,21.86,22.93
07-01-2025,22.24,22.26,21.75,22.8
08-01-2025,22.41,22.13,21.63,22.61
09-01-2025,22.41,22,21.49,22.5
10-01-2025,22.31,21.86,21.38,22.41
11-01-2025,22.18,21.73,21.24,22.23
12-01-2025,21.99,21.6,21.07,22.11
01-01-2026,21.65,21.47,20.94,21.93
02-01-2026,21.34,21.33,20.85,21.84
03-01-2026,20.8,21.2,20.7,21.7
04-01-2026,20.32,21.07,20.58,21.56
05-01-2026,NaN,20.93,20.46,21.45
06-01-2026,NaN,20.8,20.28,21.35
07-01-2026,NaN,20.67,20.13,21.24
08-01-2026,NaN,20.53,19.91,21.2
09-01-2026,NaN,20.4,19.6,21.2
10-01-2026,NaN,20.27,19.34,21.18
11-01-2026,NaN,20.14,19.09,21.27
12-01-2026,NaN,20,18.74,21.23
01-01-2027,NaN,19.87,18.45,21.41
02-01-2027,NaN,19.74,17.91,21.52
03-01-2027,NaN,19.6,17.64,21.66
04-01-2027,NaN,19.47,17.17,21.76
