Date,Northeast,Midwest,South,West
01-Jan-2015,8324,10758,16949,10698
01-Feb-2015,8385,10795,17052,10693
01-Mar-2015,8508,10929,17265,10715
01-Apr-2015,8714,11163,17319,10756
01-May-2015,8838,11395,17542,10708
01-Jun-2015,9050,11445,17630,10752
01-Jul-2015,9297,11506,17906,10766
01-Aug-2015,9482,11543,18061,10890
01-Sep-2015,9736,11673,18277,11003
01-Oct-2015,9916,11721,18474,11085
01-Nov-2015,10092,11803,18498,11049
01-Dec-2015,10110,11831,18636,11087
01-Jan-2016,10211,11924,18651,11129
01-Feb-2016,10562,12167,18895,11191
01-Mar-2016,10843,12364,19225,11273
01-Apr-2016,11146,12493,19667,11339
01-May-2016,11294,12611,19999,11415
01-Jun-2016,11474,12803,20461,11498
01-Jul-2016,11773,13068,20865,11568
01-Aug-2016,11958,13349,21291,11540
01-Sep-2016,12164,13592,21693,11387
01-Oct-2016,12417,13830,22155,11316
01-Nov-2016,12797,14153,22692,11327
01-Dec-2016,13336,14619,23219,11340
01-Jan-2017,13768,15108,23821,11391
01-Feb-2017,13851,15433,24087,11324
01-Mar-2017,14145,15573,24364,11310
01-Apr-2017,14260,15755,24711,11299
01-May-2017,14556,15966,24984,11376
01-Jun-2017,14774,16194,25268,11408
01-Jul-2017,14880,16333,25284,11504
01-Aug-2017,15139,16435,25351,11566
01-Sep-2017,15303,16642,25410,11730
01-Oct-2017,15212,16761,25308,11902
01-Nov-2017,15110,16823,25351,11930
01-Dec-2017,15064,16678,25483,11981
01-Jan-2018,14901,16385,25300,12048
01-Feb-2018,14717,16124,25268,12141
01-Mar-2018,14484,16058,25116,12186
01-Apr-2018,14358,15886,25032,12221
01-May-2018,14321,15757,25031,12151
01-Jun-2018,14356,15682,24930,12222
01-Jul-2018,14360,15684,24900,12271
01-Aug-2018,14272,15627,24888,12383
01-Sep-2018,14154,15419,24913,12427
01-Oct-2018,14267,15340,24901,12397
01-Nov-2018,14219,15158,24821,12422
01-Dec-2018,14075,15169,24543,12581
01-Jan-2019,13926,15129,24568,12618
01-Feb-2019,13961,15035,24437,12723
01-Mar-2019,13925,15049,24474,12809
01-Apr-2019,13839,15083,24482,12895
01-May-2019,13727,15194,24423,13007
01-Jun-2019,13617,15154,24466,13112
01-Jul-2019,13591,15170,24562,13234
01-Aug-2019,13680,15214,24688,13341
01-Sep-2019,13642,15304,24828,13526
01-Oct-2019,13640,15364,25210,13670
01-Nov-2019,13780,15621,25538,13904
01-Dec-2019,13942,15761,25827,14052
01-Jan-2020,14165,15933,26209,14237
01-Feb-2020,14315,16268,26735,14410
01-Mar-2020,14493,16446,27389,14698
01-Apr-2020,14867,16951,28367,15149
01-May-2020,15259,17745,30021,15775
01-Jun-2020,15485,18320,31053,16233
01-Jul-2020,15679,18657,32149,16869
01-Aug-2020,15710,18892,33128,17635
01-Sep-2020,15901,19110,33886,17993
01-Oct-2020,15922,19318,34383,18431
01-Nov-2020,15997,19379,34917,18816
01-Dec-2020,16016,19573,35581,19177
01-Jan-2021,16234,19908,36607,19822
01-Feb-2021,16394,19986,37275,20220
01-Mar-2021,16586,20402,38213,20698
01-Apr-2021,16547,20729,38957,21147
01-May-2021,16535,20484,38795,21471
01-Jun-2021,16611,20446,39190,21874
01-Jul-2021,16705,20658,39471,22167
01-Aug-2021,16912,21035,39815,22295
01-Sep-2021,17105,21267,40410,22690
01-Oct-2021,17367,21490,40991,23009
01-Nov-2021,17398,21798,41381,23246
01-Dec-2021,17504,21978,41865,23451
01-Jan-2022,17494,22176,41839,23487
01-Feb-2022,17468,22362,42223,23755
01-Mar-2022,17477,22297,42205,23784
01-Apr-2022,17522,21956,41796,23673
01-May-2022,17394,21817,41739,23586
01-Jun-2022,17434,21795,41731,23494
01-Jul-2022,17401,21713,41927,23568
01-Aug-2022,17353,21621,41960,23551
01-Sep-2022,17268,21522,41904,23739
01-Oct-2022,17350,21596,42037,23807
01-Nov-2022,17464,21614,42243,24025
01-Dec-2022,17589,21702,42500,24480
01-Jan-2023,17628,21597,42622,24765
01-Feb-2023,17658,21511,42547,24853
01-Mar-2023,17535,21502,42624,25254
01-Apr-2023,17545,21592,42755,25657
01-May-2023,17659,21598,42951,26006
01-Jun-2023,17522,21529,42917,26244
01-Jul-2023,17369,21375,42729,26650
01-Aug-2023,17237,21249,42782,26914
01-Sep-2023,17071,21082,42450,26870
01-Oct-2023,16766,20768,41941,26994
01-Nov-2023,16527,20381,41466,27004
01-Dec-2023,16215,19929,40800,26826
01-Jan-2024,15920,19507,40316,26695
01-Feb-2024,15645,19181,39757,26686
01-Mar-2024,15316,18659,38744,26427
01-Apr-2024,14890,18179,37937,26087
01-May-2024,14388,17720,36917,25747
01-Jun-2024,14026,17225,36083,25592
01-Jul-2024,13699,16744,35091,24955
01-Aug-2024,13219,16186,33897,24277
01-Sep-2024,12791,15706,32821,23781
01-Oct-2024,12382,15174,31849,23350
01-Nov-2024,11949,14720,30876,23030
01-Dec-2024,11536,14289,29983,22798
01-Jan-2025,11172,14001,29243,22712
01-Feb-2025,10881,13783,28400,22630
01-Mar-2025,10655,13591,28039,22684
01-Apr-2025,10438,13255,27514,22711
01-May-2025,10279,12980,27002,22606
01-Jun-2025,10141,12857,26523,22391
01-Jul-2025,9939,12674,26128,22242
01-Aug-2025,9825,12485,25707,22405
01-Sep-2025,9720,12316,25480,22409
01-Oct-2025,9565,12267,25278,22308
01-Nov-2025,9519,12139,25228,22182
01-Dec-2025,9476,12102,25107,21989
01-Jan-2026,9358,11968,24576,21623
01-Feb-2026,9227,11781,24283,21283
01-Mar-2026,9048,11576,23517,20700
