Date,data,median,LB,UB
01-01-2020,15.93,15.94,15.85,16.03
02-01-2020,16.27,16.25,16.16,16.33
03-01-2020,16.45,16.43,16.36,16.51
04-01-2020,16.95,17.01,16.95,17.07
05-01-2020,17.75,17.71,17.64,17.78
06-01-2020,18.32,18.29,18.23,18.36
07-01-2020,18.66,18.68,18.62,18.75
08-01-2020,18.89,18.92,18.85,18.98
09-01-2020,19.11,19.09,19.03,19.16
10-01-2020,19.32,19.26,19.19,19.33
11-01-2020,19.38,19.44,19.38,19.5
12-01-2020,19.57,19.62,19.55,19.69
01-01-2021,19.91,19.79,19.73,19.85
02-01-2021,19.99,20.04,19.97,20.12
03-01-2021,20.4,20.44,20.38,20.5
04-01-2021,20.73,20.67,20.59,20.74
05-01-2021,20.48,20.52,20.46,20.58
06-01-2021,20.45,20.43,20.36,20.5
07-01-2021,20.66,20.68,20.61,20.74
08-01-2021,21.04,21.02,20.95,21.08
09-01-2021,21.27,21.27,21.21,21.34
10-01-2021,21.49,21.51,21.44,21.57
11-01-2021,21.8,21.75,21.69,21.82
12-01-2021,21.98,22,21.94,22.07
01-01-2022,22.18,22.21,22.14,22.28
02-01-2022,22.36,22.32,22.26,22.38
03-01-2022,22.3,22.27,22.2,22.34
04-01-2022,21.96,22.03,21.97,22.09
05-01-2022,21.82,21.8,21.72,21.87
06-01-2022,21.8,21.76,21.7,21.81
07-01-2022,21.71,21.74,21.67,21.82
08-01-2022,21.62,21.62,21.56,21.68
09-01-2022,21.52,21.53,21.46,21.6
10-01-2022,21.6,21.57,21.51,21.63
11-01-2022,21.61,21.65,21.58,21.72
12-01-2022,21.7,21.68,21.61,21.74
01-01-2023,21.6,21.61,21.54,21.68
02-01-2023,21.51,21.5,21.44,21.57
03-01-2023,21.5,21.51,21.45,21.57
04-01-2023,21.59,21.59,21.52,21.66
05-01-2023,21.6,21.6,21.54,21.66
06-01-2023,21.53,21.52,21.45,21.59
07-01-2023,21.38,21.39,21.33,21.45
08-01-2023,21.25,21.24,21.17,21.32
09-01-2023,21.08,21.07,21.01,21.13
10-01-2023,20.77,20.79,20.72,20.86
11-01-2023,20.38,20.36,20.3,20.42
12-01-2023,19.93,19.92,19.85,19.99
01-01-2024,19.51,19.55,19.48,19.61
02-01-2024,19.18,19.14,19.07,19.21
03-01-2024,18.66,18.67,18.6,18.74
04-01-2024,18.18,18.19,18.12,18.25
05-01-2024,17.72,17.71,17.65,17.78
06-01-2024,17.23,17.23,17.17,17.29
07-01-2024,16.74,16.73,16.66,16.8
08-01-2024,16.19,16.21,16.15,16.27
09-01-2024,15.71,15.69,15.62,15.76
10-01-2024,15.17,15.19,15.13,15.24
11-01-2024,14.72,14.71,14.64,14.79
12-01-2024,14.29,14.29,14.23,14.35
01-01-2025,14,13.99,13.92,14.06
02-01-2025,13.78,13.8,13.74,13.86
03-01-2025,13.59,13.57,13.5,13.64
04-01-2025,13.25,13.24,13.18,13.31
05-01-2025,12.97,12.98,12.92,13.05
06-01-2025,12.84,12.83,12.77,12.9
07-01-2025,12.65,12.66,12.59,12.72
08-01-2025,12.45,12.44,12.37,12.51
09-01-2025,12.28,12.29,12.23,12.36
10-01-2025,12.21,12.2,12.12,12.27
11-01-2025,12.06,12.07,11.99,12.15
12-01-2025,11.99,11.98,11.89,12.07
01-01-2026,NaN,11.97,11.54,12.4
02-01-2026,NaN,11.96,11.15,12.77
03-01-2026,NaN,11.95,10.76,13.14
04-01-2026,NaN,11.94,10.36,13.51
05-01-2026,NaN,11.93,9.97,13.88
06-01-2026,NaN,11.91,9.57,14.26
07-01-2026,NaN,11.9,9.18,14.63
08-01-2026,NaN,11.89,8.78,15
09-01-2026,NaN,11.88,8.39,15.37
10-01-2026,NaN,11.87,7.99,15.74
11-01-2026,NaN,11.86,7.6,16.12
12-01-2026,NaN,11.85,7.2,16.49
