Date,data,median,LB,UB
01-01-2020,15.93,16.15,15.7,16.58
02-01-2020,16.27,16.51,16.11,16.92
03-01-2020,16.45,16.74,16.32,17.14
04-01-2020,16.95,17.07,16.67,17.48
05-01-2020,17.75,17.51,17.11,17.92
06-01-2020,18.32,17.97,17.56,18.38
07-01-2020,18.66,18.33,17.94,18.75
08-01-2020,18.89,18.71,18.31,19.09
09-01-2020,19.11,19.07,18.67,19.5
10-01-2020,19.32,19.29,18.88,19.73
11-01-2020,19.38,19.43,19.02,19.87
12-01-2020,19.57,19.68,19.25,20.09
01-01-2021,19.91,19.95,19.54,20.34
02-01-2021,19.99,20.12,19.72,20.51
03-01-2021,20.4,20.31,19.9,20.68
04-01-2021,20.73,20.47,20.07,20.88
05-01-2021,20.48,20.51,20.08,20.91
06-01-2021,20.45,20.65,20.24,21.08
07-01-2021,20.66,20.9,20.49,21.32
08-01-2021,21.04,21.16,20.76,21.6
09-01-2021,21.27,21.34,20.9,21.74
10-01-2021,21.49,21.52,21.14,21.94
11-01-2021,21.8,21.69,21.31,22.07
12-01-2021,21.98,21.71,21.33,22.1
01-01-2022,22.18,21.84,21.43,22.25
02-01-2022,22.36,22.07,21.64,22.5
03-01-2022,22.3,22.12,21.72,22.52
04-01-2022,21.96,22.07,21.66,22.47
05-01-2022,21.82,22.04,21.62,22.45
06-01-2022,21.8,21.98,21.57,22.38
07-01-2022,21.71,21.8,21.39,22.19
08-01-2022,21.62,21.72,21.32,22.13
09-01-2022,21.52,21.75,21.35,22.14
10-01-2022,21.6,21.79,21.38,22.22
11-01-2022,21.61,21.74,21.32,22.14
12-01-2022,21.7,21.71,21.3,22.1
01-01-2023,21.6,21.65,21.22,22.1
02-01-2023,21.51,21.47,21.07,21.86
03-01-2023,21.5,21.39,20.97,21.78
04-01-2023,21.59,21.42,20.98,21.8
05-01-2023,21.6,21.47,21.07,21.9
06-01-2023,21.53,21.42,20.98,21.85
07-01-2023,21.38,21.38,20.99,21.74
08-01-2023,21.25,21.33,20.93,21.74
09-01-2023,21.08,21,20.52,21.44
10-01-2023,20.77,20.78,20.37,21.2
11-01-2023,20.38,20.38,19.97,20.75
12-01-2023,19.93,19.99,19.58,20.4
01-01-2024,19.51,19.5,19.09,19.91
02-01-2024,19.18,19.03,18.61,19.44
03-01-2024,18.66,18.53,18.15,18.94
04-01-2024,18.18,17.91,17.5,18.31
05-01-2024,17.72,17.38,16.97,17.81
06-01-2024,17.23,16.97,16.52,17.36
07-01-2024,16.74,16.57,16.18,16.94
08-01-2024,16.19,16.08,15.67,16.48
09-01-2024,15.71,15.6,15.19,16
10-01-2024,15.17,15.32,14.92,15.71
11-01-2024,14.72,14.9,14.47,15.29
12-01-2024,14.29,14.59,14.21,14.99
01-01-2025,14,14.39,13.96,14.8
02-01-2025,13.78,14.2,13.8,14.61
03-01-2025,13.59,13.92,13.52,14.35
04-01-2025,13.25,13.66,13.24,14.09
05-01-2025,12.97,13.37,12.97,13.77
06-01-2025,12.84,12.95,12.54,13.36
07-01-2025,12.65,12.64,12.26,13.04
08-01-2025,12.45,12.44,12.06,12.88
09-01-2025,12.28,12.26,11.84,12.67
10-01-2025,12.21,11.98,11.56,12.4
11-01-2025,12.06,11.71,11.29,12.11
12-01-2025,11.99,11.42,11.02,11.83
01-01-2026,NaN,11.01,10.59,11.41
02-01-2026,NaN,10.7,10.27,11.11
03-01-2026,NaN,10.5,10.05,10.96
04-01-2026,NaN,10.31,9.73,10.89
05-01-2026,NaN,10.03,9.4,10.66
06-01-2026,NaN,9.76,8.98,10.52
07-01-2026,NaN,9.48,8.52,10.35
08-01-2026,NaN,9.06,7.93,10.13
09-01-2026,NaN,8.75,7.43,10
10-01-2026,NaN,8.55,7.05,9.99
11-01-2026,NaN,8.36,6.57,10.06
12-01-2026,NaN,8.08,6.06,9.9
