Date,data,median,LB,UB
01-01-2020,72.12,72.16,71.81,72.5
02-01-2020,73.34,73.17,72.91,73.42
03-01-2020,74.68,74.79,74.53,75.06
04-01-2020,77.02,77.33,77.09,77.56
05-01-2020,80.58,80.21,79.95,80.46
06-01-2020,82.92,82.94,82.7,83.19
07-01-2020,85.24,85.34,85.09,85.59
08-01-2020,87.29,87.3,87.05,87.55
09-01-2020,88.88,88.81,88.57,89.05
10-01-2020,90.09,90.04,89.78,90.29
11-01-2020,91.2,91.26,91.02,91.49
12-01-2020,92.48,92.68,92.42,92.94
01-01-2021,94.79,94.45,94.22,94.69
02-01-2021,96.12,96.39,96.13,96.66
03-01-2021,98.21,98.18,97.95,98.42
04-01-2021,99.77,99.44,99.18,99.7
05-01-2021,99.68,100.01,99.77,100.24
06-01-2021,100.57,100.5,100.24,100.76
07-01-2021,101.48,101.42,101.18,101.66
08-01-2021,102.61,102.68,102.43,102.94
09-01-2021,104.1,104.11,103.87,104.36
10-01-2021,105.53,105.46,105.22,105.71
11-01-2021,106.55,106.59,106.34,106.84
12-01-2021,107.57,107.46,107.22,107.7
01-01-2022,107.8,108.07,107.82,108.33
02-01-2022,108.64,108.45,108.22,108.69
03-01-2022,108.6,108.46,108.2,108.72
04-01-2022,107.78,107.96,107.73,108.2
05-01-2022,107.43,107.44,107.18,107.71
06-01-2022,107.37,107.39,107.16,107.62
07-01-2022,107.58,107.5,107.23,107.76
08-01-2022,107.47,107.45,107.22,107.68
09-01-2022,107.43,107.49,107.23,107.75
10-01-2022,107.82,107.84,107.6,108.08
11-01-2022,108.43,108.51,108.26,108.76
12-01-2022,109.41,109.28,109.04,109.53
01-01-2023,109.75,109.69,109.44,109.93
02-01-2023,109.71,109.79,109.54,110.04
03-01-2023,110.08,110.16,109.92,110.4
04-01-2023,110.77,110.79,110.53,111.05
05-01-2023,111.42,111.27,111.03,111.5
06-01-2023,111.47,111.5,111.23,111.76
07-01-2023,111.38,111.53,111.3,111.77
08-01-2023,111.45,111.31,111.05,111.58
09-01-2023,110.72,110.74,110.51,110.97
10-01-2023,109.7,109.75,109.49,110.01
11-01-2023,108.53,108.39,108.16,108.63
12-01-2023,106.88,106.99,106.73,107.25
01-01-2024,105.52,105.67,105.43,105.91
02-01-2024,104.36,104.12,103.87,104.37
03-01-2024,102.17,102.2,101.95,102.44
04-01-2024,100.05,100.08,99.84,100.32
05-01-2024,97.69,97.87,97.61,98.12
06-01-2024,95.74,95.56,95.33,95.8
07-01-2024,93.19,93.1,92.84,93.36
08-01-2024,90.2,90.38,90.15,90.61
09-01-2024,87.65,87.63,87.36,87.89
10-01-2024,85.18,85.14,84.91,85.38
11-01-2024,82.95,82.93,82.66,83.19
12-01-2024,80.86,80.91,80.68,81.15
01-01-2025,79.31,79.23,78.97,79.49
02-01-2025,77.79,77.94,77.71,78.18
03-01-2025,76.98,76.86,76.61,77.12
04-01-2025,75.83,75.81,75.57,76.05
05-01-2025,74.67,74.7,74.45,74.95
06-01-2025,73.58,73.55,73.31,73.8
07-01-2025,72.5,72.53,72.29,72.77
08-01-2025,71.67,71.68,71.42,71.93
09-01-2025,70.97,70.94,70.7,71.18
10-01-2025,70.2,70.23,69.97,70.5
11-01-2025,69.51,69.47,69.22,69.73
12-01-2025,68.63,68.65,68.3,69
01-01-2026,NaN,67.78,66.85,68.72
02-01-2026,NaN,66.92,65.3,68.54
03-01-2026,NaN,66.05,63.73,68.38
04-01-2026,NaN,65.19,62.16,68.22
05-01-2026,NaN,64.32,60.59,68.06
06-01-2026,NaN,63.46,59.01,67.91
07-01-2026,NaN,62.6,57.44,67.75
08-01-2026,NaN,61.73,55.87,67.59
09-01-2026,NaN,60.87,54.29,67.44
10-01-2026,NaN,60,52.72,67.28
11-01-2026,NaN,59.14,51.14,67.13
12-01-2026,NaN,58.27,49.57,66.98
