Date,data,median,LB,UB
01-01-2020,72.12,72.23,70.37,73.95
02-01-2020,73.34,74.18,72.32,75.92
03-01-2020,74.68,75.77,73.91,77.53
04-01-2020,77.02,77.7,76.05,79.49
05-01-2020,80.58,80.07,78.2,81.67
06-01-2020,82.92,82.31,80.57,84.08
07-01-2020,85.24,84.42,82.71,86.17
08-01-2020,87.29,86.7,84.98,88.38
09-01-2020,88.88,88.48,86.86,90.18
10-01-2020,90.09,89.9,88.27,91.72
11-01-2020,91.2,91.29,89.42,92.96
12-01-2020,92.48,93.12,91.61,94.87
01-01-2021,94.79,94.82,93.01,96.63
02-01-2021,96.12,96.39,94.57,98.09
03-01-2021,98.21,97.79,96.02,99.51
04-01-2021,99.77,98.86,97.02,100.69
05-01-2021,99.68,99.57,97.9,101.29
06-01-2021,100.57,100.55,98.78,102.37
07-01-2021,101.48,101.98,100.08,103.82
08-01-2021,102.61,103.27,101.44,105.05
09-01-2021,104.1,104.43,102.67,106.18
10-01-2021,105.53,105.76,103.9,107.46
11-01-2021,106.55,106.76,104.94,108.6
12-01-2021,107.57,106.51,104.76,108.39
01-01-2022,107.8,106.59,104.89,108.37
02-01-2022,108.64,107.12,105.35,108.84
03-01-2022,108.6,107.51,105.79,109.23
04-01-2022,107.78,107.77,106.1,109.46
05-01-2022,107.43,108.21,106.51,109.8
06-01-2022,107.37,108.31,106.48,110.01
07-01-2022,107.58,108.05,106.38,109.87
08-01-2022,107.47,108.13,106.34,109.9
09-01-2022,107.43,108.66,106.87,110.34
10-01-2022,107.82,109.05,107.27,110.95
11-01-2022,108.43,109.31,107.57,111.23
12-01-2022,109.41,109.75,107.99,111.59
01-01-2023,109.75,109.85,108.04,111.56
02-01-2023,109.71,109.59,107.91,111.39
03-01-2023,110.08,109.68,107.95,111.48
04-01-2023,110.77,110.21,108.4,111.97
05-01-2023,111.42,110.6,108.87,112.35
06-01-2023,111.47,110.86,109.04,112.61
07-01-2023,111.38,111.29,109.48,113.04
08-01-2023,111.45,111.39,109.68,113.16
09-01-2023,110.72,110.38,108.61,112.13
10-01-2023,109.7,109.71,107.94,111.46
11-01-2023,108.53,108.5,106.71,110.23
12-01-2023,106.88,107.16,105.36,108.94
01-01-2024,105.52,105.68,103.89,107.44
02-01-2024,104.36,104.37,102.72,106.1
03-01-2024,102.17,101.79,100.11,103.53
04-01-2024,100.05,98.85,97.05,100.55
05-01-2024,97.69,96.26,94.59,98.12
06-01-2024,95.74,94.1,92.42,95.99
07-01-2024,93.19,91.82,90.07,93.5
08-01-2024,90.2,89.4,87.66,91.16
09-01-2024,87.65,87.15,85.34,89.03
10-01-2024,85.18,85.66,83.95,87.48
11-01-2024,82.95,83.81,81.9,85.58
12-01-2024,80.86,82.3,80.43,84.05
01-01-2025,79.31,81.23,79.57,82.95
02-01-2025,77.79,80.03,78.27,81.96
03-01-2025,76.98,78.7,76.87,80.56
04-01-2025,75.83,77.54,75.8,79.31
05-01-2025,74.67,76.05,74.35,77.84
06-01-2025,73.58,74.2,72.47,75.98
07-01-2025,72.5,72.69,70.93,74.49
08-01-2025,71.67,71.62,69.75,73.34
09-01-2025,70.97,70.42,68.63,72.17
10-01-2025,70.2,69.09,67.26,70.66
11-01-2025,69.51,67.93,66.12,69.48
12-01-2025,68.63,66.44,64.7,68.34
01-01-2026,NaN,64.59,62.73,66.22
02-01-2026,NaN,63.08,61.12,65
03-01-2026,NaN,62.01,59.84,64.05
04-01-2026,NaN,60.81,58.41,63.16
05-01-2026,NaN,59.48,56.22,62.7
06-01-2026,NaN,58.32,54.61,62.08
07-01-2026,NaN,56.83,52.64,62.15
08-01-2026,NaN,54.98,49.41,60.44
09-01-2026,NaN,53.47,47.24,59.68
10-01-2026,NaN,52.4,44.67,59.88
11-01-2026,NaN,51.2,42.93,60
12-01-2026,NaN,49.87,40.08,60.08
