Date,data,median,LB,UB
01-01-2020,14.16,14.16,14.09,14.23
02-01-2020,14.31,14.3,14.25,14.35
03-01-2020,14.49,14.53,14.48,14.59
04-01-2020,14.87,14.88,14.83,14.92
05-01-2020,15.26,15.22,15.17,15.27
06-01-2020,15.48,15.49,15.44,15.53
07-01-2020,15.68,15.66,15.61,15.71
08-01-2020,15.71,15.77,15.72,15.82
09-01-2020,15.9,15.85,15.81,15.9
10-01-2020,15.92,15.93,15.88,15.98
11-01-2020,16,15.98,15.93,16.03
12-01-2020,16.02,16.06,16.01,16.11
01-01-2021,16.23,16.22,16.18,16.27
02-01-2021,16.39,16.41,16.36,16.46
03-01-2021,16.59,16.53,16.48,16.57
04-01-2021,16.55,16.56,16.51,16.61
05-01-2021,16.54,16.56,16.52,16.61
06-01-2021,16.61,16.6,16.55,16.65
07-01-2021,16.7,16.71,16.67,16.76
08-01-2021,16.91,16.91,16.86,16.96
09-01-2021,17.1,17.13,17.08,17.18
10-01-2021,17.37,17.32,17.27,17.37
11-01-2021,17.4,17.43,17.39,17.48
12-01-2021,17.5,17.48,17.44,17.53
01-01-2022,17.49,17.49,17.44,17.54
02-01-2022,17.47,17.49,17.44,17.54
03-01-2022,17.48,17.49,17.44,17.54
04-01-2022,17.52,17.47,17.42,17.51
05-01-2022,17.39,17.44,17.39,17.49
06-01-2022,17.43,17.43,17.38,17.47
07-01-2022,17.4,17.39,17.34,17.44
08-01-2022,17.35,17.33,17.28,17.38
09-01-2022,17.27,17.3,17.25,17.35
10-01-2022,17.35,17.35,17.31,17.4
11-01-2022,17.46,17.46,17.41,17.51
12-01-2022,17.59,17.58,17.53,17.63
01-01-2023,17.63,17.63,17.58,17.68
02-01-2023,17.66,17.61,17.56,17.66
03-01-2023,17.54,17.59,17.54,17.64
04-01-2023,17.55,17.59,17.54,17.64
05-01-2023,17.66,17.58,17.53,17.62
06-01-2023,17.52,17.53,17.48,17.58
07-01-2023,17.37,17.41,17.36,17.45
08-01-2023,17.24,17.24,17.19,17.29
09-01-2023,17.07,17.03,16.99,17.08
10-01-2023,16.77,16.79,16.74,16.84
11-01-2023,16.53,16.51,16.47,16.56
12-01-2023,16.22,16.22,16.17,16.27
01-01-2024,15.92,15.94,15.89,15.99
02-01-2024,15.64,15.64,15.59,15.69
03-01-2024,15.32,15.29,15.24,15.34
04-01-2024,14.89,14.88,14.83,14.93
05-01-2024,14.39,14.43,14.38,14.48
06-01-2024,14.03,14.03,13.98,14.08
07-01-2024,13.7,13.65,13.6,13.7
08-01-2024,13.22,13.24,13.2,13.29
09-01-2024,12.79,12.8,12.75,12.85
10-01-2024,12.38,12.37,12.32,12.41
11-01-2024,11.95,11.95,11.9,12
12-01-2024,11.54,11.54,11.49,11.59
01-01-2025,11.17,11.18,11.13,11.23
02-01-2025,10.88,10.88,10.83,10.92
03-01-2025,10.65,10.64,10.59,10.69
04-01-2025,10.42,10.43,10.39,10.48
05-01-2025,10.25,10.25,10.2,10.3
06-01-2025,10.1,10.08,10.03,10.13
07-01-2025,9.87,9.9,9.85,9.95
08-01-2025,9.73,9.72,9.67,9.77
09-01-2025,9.56,9.54,9.49,9.59
10-01-2025,9.34,9.36,9.31,9.42
11-01-2025,9.21,9.21,9.16,9.25
12-01-2025,9.06,9.06,8.99,9.13
01-01-2026,NaN,8.92,8.75,9.09
02-01-2026,NaN,8.79,8.5,9.07
03-01-2026,NaN,8.65,8.24,9.06
04-01-2026,NaN,8.51,7.98,9.04
05-01-2026,NaN,8.37,7.72,9.02
06-01-2026,NaN,8.23,7.46,9.01
07-01-2026,NaN,8.09,7.19,8.99
08-01-2026,NaN,7.96,6.93,8.98
09-01-2026,NaN,7.82,6.67,8.96
10-01-2026,NaN,7.68,6.41,8.95
11-01-2026,NaN,7.54,6.15,8.93
12-01-2026,NaN,7.4,5.89,8.91
