Date,data,median,LB,UB
01-01-2020,14.16,14.33,14.02,14.63
02-01-2020,14.31,14.53,14.22,14.83
03-01-2020,14.49,14.67,14.36,14.98
04-01-2020,14.87,14.82,14.5,15.13
05-01-2020,15.26,15.04,14.74,15.33
06-01-2020,15.48,15.29,14.97,15.61
07-01-2020,15.68,15.53,15.2,15.83
08-01-2020,15.71,15.73,15.42,16.02
09-01-2020,15.9,15.85,15.54,16.14
10-01-2020,15.92,15.89,15.59,16.16
11-01-2020,16,15.95,15.66,16.24
12-01-2020,16.02,16.07,15.77,16.37
01-01-2021,16.23,16.24,15.94,16.56
02-01-2021,16.39,16.38,16.08,16.68
03-01-2021,16.59,16.49,16.17,16.8
04-01-2021,16.55,16.6,16.3,16.9
05-01-2021,16.54,16.65,16.33,16.96
06-01-2021,16.61,16.71,16.43,17.02
07-01-2021,16.7,16.83,16.52,17.14
08-01-2021,16.91,17,16.68,17.29
09-01-2021,17.1,17.14,16.83,17.44
10-01-2021,17.37,17.25,16.97,17.56
11-01-2021,17.4,17.36,17.09,17.64
12-01-2021,17.5,17.33,17.03,17.64
01-01-2022,17.49,17.32,17.02,17.62
02-01-2022,17.47,17.36,17.09,17.67
03-01-2022,17.48,17.43,17.12,17.71
04-01-2022,17.52,17.47,17.19,17.8
05-01-2022,17.39,17.49,17.2,17.81
06-01-2022,17.43,17.51,17.21,17.8
07-01-2022,17.4,17.45,17.18,17.76
08-01-2022,17.35,17.42,17.11,17.73
09-01-2022,17.27,17.44,17.16,17.73
10-01-2022,17.35,17.51,17.21,17.83
11-01-2022,17.46,17.55,17.24,17.85
12-01-2022,17.59,17.57,17.26,17.87
01-01-2023,17.63,17.58,17.27,17.88
02-01-2023,17.66,17.53,17.22,17.85
03-01-2023,17.54,17.5,17.19,17.8
04-01-2023,17.55,17.52,17.21,17.83
05-01-2023,17.66,17.59,17.29,17.89
06-01-2023,17.52,17.5,17.2,17.79
07-01-2023,17.37,17.38,17.09,17.68
08-01-2023,17.24,17.26,16.97,17.58
09-01-2023,17.07,17.02,16.72,17.34
10-01-2023,16.77,16.81,16.49,17.11
11-01-2023,16.53,16.49,16.17,16.79
12-01-2023,16.22,16.23,15.94,16.53
01-01-2024,15.92,15.93,15.62,16.25
02-01-2024,15.64,15.6,15.29,15.92
03-01-2024,15.32,15.18,14.88,15.49
04-01-2024,14.89,14.7,14.4,15.02
05-01-2024,14.39,14.24,13.94,14.55
06-01-2024,14.03,13.83,13.53,14.12
07-01-2024,13.7,13.47,13.18,13.75
08-01-2024,13.22,13.08,12.77,13.39
09-01-2024,12.79,12.67,12.36,12.98
10-01-2024,12.38,12.4,12.1,12.69
11-01-2024,11.95,12.07,11.79,12.35
12-01-2024,11.54,11.76,11.44,12.06
01-01-2025,11.17,11.5,11.18,11.8
02-01-2025,10.88,11.29,10.98,11.61
03-01-2025,10.65,11.06,10.76,11.37
04-01-2025,10.42,10.8,10.5,11.11
05-01-2025,10.25,10.53,10.22,10.85
06-01-2025,10.1,10.2,9.88,10.52
07-01-2025,9.87,9.89,9.6,10.18
08-01-2025,9.73,9.63,9.32,9.93
09-01-2025,9.56,9.42,9.14,9.73
10-01-2025,9.34,9.19,8.89,9.49
11-01-2025,9.21,8.93,8.65,9.25
12-01-2025,9.06,8.66,8.37,8.96
01-01-2026,NaN,8.33,8.02,8.64
02-01-2026,NaN,8.02,7.7,8.32
03-01-2026,NaN,7.76,7.44,8.11
04-01-2026,NaN,7.55,7.19,7.94
05-01-2026,NaN,7.32,6.87,7.76
06-01-2026,NaN,7.06,6.53,7.63
07-01-2026,NaN,6.79,6.16,7.4
08-01-2026,NaN,6.46,5.72,7.21
09-01-2026,NaN,6.15,5.26,7.01
10-01-2026,NaN,5.89,4.92,6.94
11-01-2026,NaN,5.69,4.58,6.85
12-01-2026,NaN,5.45,4.18,6.71
