Date,data,median,LB,UB
01-01-2020,26.21,NA,NA,NA
02-01-2020,26.74,NA,NA,NA
03-01-2020,27.39,NA,NA,NA
04-01-2020,28.37,NA,NA,NA
05-01-2020,30.02,NA,NA,NA
06-01-2020,31.05,NA,NA,NA
07-01-2020,32.15,NA,NA,NA
08-01-2020,33.13,NA,NA,NA
09-01-2020,33.89,NA,NA,NA
10-01-2020,34.38,NA,NA,NA
11-01-2020,34.92,NA,NA,NA
12-01-2020,35.58,NA,NA,NA
01-01-2021,36.61,NA,NA,NA
02-01-2021,37.27,NA,NA,NA
03-01-2021,38.21,NA,NA,NA
04-01-2021,38.96,NA,NA,NA
05-01-2021,38.8,NA,NA,NA
06-01-2021,39.19,NA,NA,NA
07-01-2021,39.47,NA,NA,NA
08-01-2021,39.81,NA,NA,NA
09-01-2021,40.41,NA,NA,NA
10-01-2021,40.99,NA,NA,NA
11-01-2021,41.38,NA,NA,NA
12-01-2021,41.87,NA,NA,NA
01-01-2022,41.84,NA,NA,NA
02-01-2022,42.22,NA,NA,NA
03-01-2022,42.2,NA,NA,NA
04-01-2022,41.8,NA,NA,NA
05-01-2022,41.74,NA,NA,NA
06-01-2022,41.73,NA,NA,NA
07-01-2022,41.93,NA,NA,NA
08-01-2022,41.96,NA,NA,NA
09-01-2022,41.9,NA,NA,NA
10-01-2022,42.04,NA,NA,NA
11-01-2022,42.24,NA,NA,NA
12-01-2022,42.5,NA,NA,NA
01-01-2023,42.62,NA,NA,NA
02-01-2023,42.55,NA,NA,NA
03-01-2023,42.62,NA,NA,NA
04-01-2023,42.76,NA,NA,NA
05-01-2023,42.95,NA,NA,NA
06-01-2023,42.92,NA,NA,NA
07-01-2023,42.73,NA,NA,NA
08-01-2023,42.78,NA,NA,NA
09-01-2023,42.45,NA,NA,NA
10-01-2023,41.94,NA,NA,NA
11-01-2023,41.47,NA,NA,NA
12-01-2023,40.8,NA,NA,NA
01-01-2024,40.32,NA,NA,NA
02-01-2024,39.76,NA,NA,NA
03-01-2024,38.74,NA,NA,NA
04-01-2024,37.94,NA,NA,NA
05-01-2024,36.92,NA,NA,NA
06-01-2024,36.08,NA,NA,NA
07-01-2024,35.09,NA,NA,NA
08-01-2024,33.9,NA,NA,NA
09-01-2024,32.82,NA,NA,NA
10-01-2024,31.85,NA,NA,NA
11-01-2024,30.88,NA,NA,NA
12-01-2024,29.98,NA,NA,NA
01-01-2025,29.24,NA,NA,NA
02-01-2025,28.38,NA,NA,NA
03-01-2025,27.98,NA,NA,NA
04-01-2025,27.42,NA,NA,NA
05-01-2025,26.87,NA,NA,NA
06-01-2025,26.3,NA,NA,NA
07-01-2025,25.81,NA,NA,NA
08-01-2025,25.29,NA,NA,NA
09-01-2025,24.96,NA,NA,NA
10-01-2025,24.65,NA,NA,NA
11-01-2025,24.44,NA,NA,NA
12-01-2025,24.08,NA,NA,NA
01-01-2026,NaN,23.76,23.26,24.25
02-01-2026,NaN,23.43,22.48,24.39
03-01-2026,NaN,23.11,21.63,24.59
04-01-2026,NaN,22.79,20.72,24.85
05-01-2026,NaN,22.46,19.75,25.18
06-01-2026,NaN,22.14,18.72,25.56
07-01-2026,NaN,21.82,17.64,25.99
08-01-2026,NaN,21.5,16.52,26.47
09-01-2026,NaN,21.17,15.35,27
10-01-2026,NaN,20.85,14.13,27.56
11-01-2026,NaN,20.53,12.88,28.17
12-01-2026,NaN,20.2,11.58,28.82
