Date,data,median,LB,UB
01-01-2020,26.21,26.2,26.02,26.38
02-01-2020,26.74,26.68,26.56,26.81
03-01-2020,27.39,27.44,27.3,27.57
04-01-2020,28.37,28.54,28.42,28.66
05-01-2020,30.02,29.82,29.69,29.94
06-01-2020,31.05,31.07,30.95,31.2
07-01-2020,32.15,32.2,32.07,32.32
08-01-2020,33.13,33.12,33,33.25
09-01-2020,33.89,33.82,33.7,33.94
10-01-2020,34.38,34.38,34.26,34.51
11-01-2020,34.92,34.96,34.84,35.08
12-01-2020,35.58,35.65,35.52,35.78
01-01-2021,36.61,36.49,36.38,36.61
02-01-2021,37.27,37.39,37.26,37.52
03-01-2021,38.21,38.19,38.08,38.31
04-01-2021,38.96,38.75,38.62,38.88
05-01-2021,38.8,38.99,38.87,39.11
06-01-2021,39.19,39.15,39.03,39.28
07-01-2021,39.47,39.44,39.32,39.56
08-01-2021,39.81,39.87,39.74,40
09-01-2021,40.41,40.41,40.28,40.53
10-01-2021,40.99,40.95,40.82,41.07
11-01-2021,41.38,41.42,41.29,41.54
12-01-2021,41.87,41.77,41.65,41.9
01-01-2022,41.84,42.01,41.88,42.14
02-01-2022,42.22,42.12,42,42.24
03-01-2022,42.2,42.1,41.97,42.23
04-01-2022,41.8,41.91,41.8,42.03
05-01-2022,41.74,41.75,41.62,41.88
06-01-2022,41.73,41.77,41.65,41.89
07-01-2022,41.93,41.87,41.74,42
08-01-2022,41.96,41.91,41.79,42.03
09-01-2022,41.9,41.96,41.83,42.09
10-01-2022,42.04,42.07,41.95,42.19
11-01-2022,42.24,42.25,42.13,42.38
12-01-2022,42.5,42.46,42.34,42.59
01-01-2023,42.62,42.57,42.45,42.7
02-01-2023,42.55,42.59,42.46,42.72
03-01-2023,42.62,42.66,42.54,42.78
04-01-2023,42.76,42.78,42.65,42.91
05-01-2023,42.95,42.87,42.75,42.99
06-01-2023,42.92,42.9,42.77,43.03
07-01-2023,42.73,42.86,42.74,42.97
08-01-2023,42.78,42.71,42.58,42.84
09-01-2023,42.45,42.41,42.3,42.53
10-01-2023,41.94,41.98,41.85,42.11
11-01-2023,41.47,41.43,41.31,41.55
12-01-2023,40.8,40.87,40.75,41
01-01-2024,40.32,40.32,40.2,40.44
02-01-2024,39.76,39.65,39.52,39.77
03-01-2024,38.74,38.81,38.69,38.94
04-01-2024,37.94,37.91,37.79,38.03
05-01-2024,36.92,36.99,36.86,37.11
06-01-2024,36.08,36.04,35.92,36.16
07-01-2024,35.09,35.03,34.9,35.16
08-01-2024,33.9,33.95,33.83,34.06
09-01-2024,32.82,32.84,32.72,32.97
10-01-2024,31.85,31.82,31.71,31.94
11-01-2024,30.88,30.88,30.75,31.01
12-01-2024,29.98,29.99,29.87,30.1
01-01-2025,29.24,29.18,29.05,29.31
02-01-2025,28.38,28.5,28.38,28.62
03-01-2025,27.98,27.92,27.79,28.04
04-01-2025,27.42,27.4,27.28,27.52
05-01-2025,26.87,26.87,26.75,27
06-01-2025,26.3,26.32,26.19,26.44
07-01-2025,25.81,25.78,25.66,25.91
08-01-2025,25.29,25.32,25.19,25.45
09-01-2025,24.96,24.96,24.84,25.08
10-01-2025,24.65,24.67,24.54,24.8
11-01-2025,24.44,24.39,24.27,24.52
12-01-2025,24.08,24.1,23.92,24.28
01-01-2026,NaN,23.79,23.37,24.21
02-01-2026,NaN,23.48,22.77,24.19
03-01-2026,NaN,23.17,22.17,24.17
04-01-2026,NaN,22.86,21.56,24.15
05-01-2026,NaN,22.55,20.96,24.13
06-01-2026,NaN,22.23,20.35,24.12
07-01-2026,NaN,21.92,19.74,24.1
08-01-2026,NaN,21.61,19.14,24.09
09-01-2026,NaN,21.3,18.53,24.07
10-01-2026,NaN,20.99,17.92,24.06
11-01-2026,NaN,20.68,17.31,24.05
12-01-2026,NaN,20.37,16.71,24.03
