Date,data,median,LB,UB
01-01-2020,26.21,26.21,25.48,26.85
02-01-2020,26.74,27.13,26.43,27.82
03-01-2020,27.39,27.84,27.1,28.53
04-01-2020,28.37,28.72,28.02,29.45
05-01-2020,30.02,29.78,29.02,30.51
06-01-2020,31.05,30.8,30.07,31.51
07-01-2020,32.15,31.81,31.08,32.49
08-01-2020,33.13,32.86,32.12,33.55
09-01-2020,33.89,33.74,33.03,34.49
10-01-2020,34.38,34.4,33.7,35.14
11-01-2020,34.92,35.03,34.31,35.71
12-01-2020,35.58,35.83,35.12,36.53
01-01-2021,36.61,36.52,35.78,37.24
02-01-2021,37.27,37.21,36.49,37.91
03-01-2021,38.21,37.94,37.27,38.63
04-01-2021,38.96,38.53,37.83,39.23
05-01-2021,38.8,38.92,38.17,39.61
06-01-2021,39.19,39.22,38.54,39.94
07-01-2021,39.47,39.71,38.94,40.44
08-01-2021,39.81,40.15,39.39,40.85
09-01-2021,40.41,40.59,39.88,41.35
10-01-2021,40.99,41.07,40.35,41.74
11-01-2021,41.38,41.41,40.71,42.06
12-01-2021,41.87,41.35,40.61,42.08
01-01-2022,41.84,41.46,40.73,42.19
02-01-2022,42.22,41.74,41.05,42.41
03-01-2022,42.2,41.87,41.16,42.57
04-01-2022,41.8,41.99,41.28,42.68
05-01-2022,41.74,42.16,41.44,42.86
06-01-2022,41.73,42.19,41.5,42.93
07-01-2022,41.93,42.01,41.31,42.7
08-01-2022,41.96,42,41.29,42.73
09-01-2022,41.9,42.17,41.46,42.86
10-01-2022,42.04,42.3,41.58,43.02
11-01-2022,42.24,42.42,41.67,43.17
12-01-2022,42.5,42.58,41.9,43.3
01-01-2023,42.62,42.61,41.91,43.31
02-01-2023,42.55,42.44,41.7,43.16
03-01-2023,42.62,42.43,41.74,43.16
04-01-2023,42.76,42.6,41.86,43.3
05-01-2023,42.95,42.73,42.06,43.37
06-01-2023,42.92,42.77,42.06,43.51
07-01-2023,42.73,42.86,42.09,43.57
08-01-2023,42.78,42.81,42.13,43.56
09-01-2023,42.45,42.32,41.58,43.03
10-01-2023,41.94,42,41.26,42.69
11-01-2023,41.47,41.45,40.71,42.17
12-01-2023,40.8,40.86,40.12,41.57
01-01-2024,40.32,40.27,39.55,41
02-01-2024,39.76,39.71,39.01,40.43
03-01-2024,38.74,38.68,37.96,39.34
04-01-2024,37.94,37.44,36.74,38.14
05-01-2024,36.92,36.36,35.64,37.12
06-01-2024,36.08,35.47,34.79,36.19
07-01-2024,35.09,34.54,33.8,35.3
08-01-2024,33.9,33.6,32.87,34.29
09-01-2024,32.82,32.69,31.96,33.43
10-01-2024,31.85,32.02,31.26,32.71
11-01-2024,30.88,31.13,30.44,31.84
12-01-2024,29.98,30.42,29.74,31.18
01-01-2025,29.24,29.89,29.15,30.61
02-01-2025,28.38,29.31,28.6,30.03
03-01-2025,27.98,28.73,28.01,29.43
04-01-2025,27.42,28.19,27.45,28.91
05-01-2025,26.87,27.51,26.83,28.22
06-01-2025,26.3,26.63,25.91,27.35
07-01-2025,25.81,25.92,25.21,26.62
08-01-2025,25.29,25.39,24.66,26.12
09-01-2025,24.96,24.81,24.13,25.48
10-01-2025,24.65,24.23,23.49,24.91
11-01-2025,24.44,23.69,22.96,24.41
12-01-2025,24.08,23.01,22.39,23.75
01-01-2026,NaN,22.13,21.4,22.85
02-01-2026,NaN,21.42,20.71,22.16
03-01-2026,NaN,20.88,20,21.69
04-01-2026,NaN,20.31,19.27,21.28
05-01-2026,NaN,19.73,18.32,20.96
06-01-2026,NaN,19.18,17.62,20.69
07-01-2026,NaN,18.51,16.61,20.47
08-01-2026,NaN,17.62,15.15,19.73
09-01-2026,NaN,16.91,14.22,19.32
10-01-2026,NaN,16.38,13.21,19.25
11-01-2026,NaN,15.8,12.22,19.02
12-01-2026,NaN,15.22,11.07,19.03
