Date,data,median,LB,UB
01-01-2020,14.24,14.22,14.1,14.34
02-01-2020,14.41,14.41,14.33,14.5
03-01-2020,14.7,14.72,14.63,14.81
04-01-2020,15.15,15.17,15.09,15.25
05-01-2020,15.78,15.7,15.62,15.79
06-01-2020,16.23,16.29,16.2,16.37
07-01-2020,16.87,16.91,16.83,17
08-01-2020,17.64,17.53,17.45,17.62
09-01-2020,17.99,18.03,17.95,18.11
10-01-2020,18.43,18.42,18.34,18.51
11-01-2020,18.82,18.81,18.73,18.89
12-01-2020,19.18,19.25,19.16,19.34
01-01-2021,19.82,19.74,19.66,19.82
02-01-2021,20.22,20.24,20.16,20.33
03-01-2021,20.7,20.7,20.62,20.78
04-01-2021,21.15,21.12,21.04,21.21
05-01-2021,21.47,21.52,21.44,21.6
06-01-2021,21.87,21.85,21.76,21.93
07-01-2021,22.17,22.11,22.03,22.19
08-01-2021,22.3,22.38,22.29,22.47
09-01-2021,22.69,22.68,22.6,22.77
10-01-2021,23.01,22.98,22.9,23.07
11-01-2021,23.25,23.24,23.15,23.32
12-01-2021,23.45,23.43,23.35,23.51
01-01-2022,23.49,23.58,23.49,23.66
02-01-2022,23.75,23.7,23.62,23.78
03-01-2022,23.78,23.76,23.67,23.84
04-01-2022,23.67,23.69,23.61,23.77
05-01-2022,23.59,23.58,23.5,23.67
06-01-2022,23.49,23.53,23.45,23.61
07-01-2022,23.57,23.53,23.44,23.62
08-01-2022,23.55,23.59,23.51,23.67
09-01-2022,23.74,23.68,23.6,23.77
10-01-2022,23.81,23.84,23.75,23.92
11-01-2022,24.02,24.09,24,24.17
12-01-2022,24.48,24.42,24.34,24.5
01-01-2023,24.76,24.7,24.62,24.79
02-01-2023,24.85,24.94,24.86,25.03
03-01-2023,25.25,25.25,25.17,25.33
04-01-2023,25.66,25.63,25.54,25.71
05-01-2023,26.01,25.99,25.91,26.07
06-01-2023,26.24,26.31,26.23,26.4
07-01-2023,26.65,26.62,26.54,26.7
08-01-2023,26.91,26.85,26.76,26.94
09-01-2023,26.87,26.96,26.88,27.04
10-01-2023,26.99,26.98,26.89,27.07
11-01-2023,27,26.94,26.86,27.02
12-01-2023,26.83,26.86,26.78,26.95
01-01-2024,26.7,26.77,26.68,26.85
02-01-2024,26.69,26.61,26.53,26.7
03-01-2024,26.43,26.39,26.31,26.47
04-01-2024,26.09,26.14,26.06,26.22
05-01-2024,25.75,25.84,25.76,25.93
06-01-2024,25.59,25.45,25.37,25.53
07-01-2024,24.95,24.94,24.86,25.03
08-01-2024,24.28,24.35,24.27,24.43
09-01-2024,23.78,23.78,23.69,23.87
10-01-2024,23.35,23.34,23.26,23.42
11-01-2024,23.03,23.03,22.94,23.11
12-01-2024,22.8,22.81,22.73,22.89
01-01-2025,22.71,22.69,22.61,22.78
02-01-2025,22.63,22.67,22.58,22.75
03-01-2025,22.68,22.68,22.59,22.76
04-01-2025,22.7,22.67,22.58,22.75
05-01-2025,22.58,22.56,22.47,22.64
06-01-2025,22.36,22.37,22.29,22.46
07-01-2025,22.19,22.26,22.18,22.35
08-01-2025,22.28,22.25,22.16,22.33
09-01-2025,22.24,22.22,22.13,22.3
10-01-2025,22.09,22.11,22.02,22.2
11-01-2025,21.91,21.91,21.82,21.99
12-01-2025,21.63,21.64,21.52,21.76
01-01-2026,NaN,21.35,21.06,21.64
02-01-2026,NaN,21.06,20.58,21.55
03-01-2026,NaN,20.77,20.08,21.46
04-01-2026,NaN,20.48,19.59,21.38
05-01-2026,NaN,20.2,19.1,21.29
06-01-2026,NaN,19.91,18.61,21.21
07-01-2026,NaN,19.62,18.11,21.12
08-01-2026,NaN,19.33,17.62,21.04
09-01-2026,NaN,19.04,17.13,20.95
10-01-2026,NaN,18.75,16.63,20.87
11-01-2026,NaN,18.46,16.14,20.79
12-01-2026,NaN,18.17,15.64,20.7
