Date,data,median,LB,UB
01-01-2020,14.24,14.02,13.79,14.25
02-01-2020,14.41,14.41,14.18,14.65
03-01-2020,14.7,14.81,14.59,15.06
04-01-2020,15.15,15.28,15.05,15.51
05-01-2020,15.78,15.9,15.66,16.13
06-01-2020,16.23,16.4,16.17,16.63
07-01-2020,16.87,16.91,16.68,17.15
08-01-2020,17.64,17.51,17.28,17.73
09-01-2020,17.99,17.9,17.67,18.12
10-01-2020,18.43,18.3,18.06,18.53
11-01-2020,18.82,18.72,18.49,18.96
12-01-2020,19.18,19.3,19.07,19.53
01-01-2021,19.82,19.75,19.52,19.97
02-01-2021,20.22,20.22,20,20.45
03-01-2021,20.7,20.78,20.54,20.99
04-01-2021,21.15,21.13,20.91,21.36
05-01-2021,21.47,21.48,21.25,21.7
06-01-2021,21.87,21.74,21.5,21.96
07-01-2021,22.17,22.13,21.89,22.36
08-01-2021,22.3,22.42,22.2,22.63
09-01-2021,22.69,22.71,22.47,22.96
10-01-2021,23.01,23.1,22.88,23.33
11-01-2021,23.25,23.27,23.03,23.51
12-01-2021,23.45,23.29,23.06,23.52
01-01-2022,23.49,23.39,23.18,23.62
02-01-2022,23.75,23.63,23.39,23.86
03-01-2022,23.78,23.63,23.4,23.87
04-01-2022,23.67,23.65,23.43,23.86
05-01-2022,23.59,23.76,23.52,24
06-01-2022,23.49,23.66,23.44,23.9
07-01-2022,23.57,23.56,23.33,23.78
08-01-2022,23.55,23.54,23.3,23.76
09-01-2022,23.74,23.8,23.58,24.04
10-01-2022,23.81,23.95,23.72,24.19
11-01-2022,24.02,24.11,23.9,24.35
12-01-2022,24.48,24.52,24.27,24.74
01-01-2023,24.76,24.72,24.47,24.95
02-01-2023,24.85,24.92,24.7,25.13
03-01-2023,25.25,25.19,24.96,25.43
04-01-2023,25.66,25.62,25.38,25.84
05-01-2023,26.01,25.92,25.68,26.14
06-01-2023,26.24,26.24,26.01,26.47
07-01-2023,26.65,26.65,26.41,26.86
08-01-2023,26.91,26.84,26.62,27.07
09-01-2023,26.87,26.88,26.65,27.12
10-01-2023,26.99,26.99,26.74,27.21
11-01-2023,27,26.98,26.75,27.2
12-01-2023,26.83,26.85,26.62,27.08
01-01-2024,26.7,26.73,26.48,26.97
02-01-2024,26.69,26.7,26.47,26.93
03-01-2024,26.43,26.37,26.14,26.6
04-01-2024,26.09,26.04,25.82,26.27
05-01-2024,25.75,25.79,25.54,26.03
06-01-2024,25.59,25.31,25.08,25.54
07-01-2024,24.95,24.72,24.49,24.96
08-01-2024,24.28,24.14,23.92,24.36
09-01-2024,23.78,23.65,23.43,23.88
10-01-2024,23.35,23.42,23.17,23.66
11-01-2024,23.03,23.2,22.99,23.42
12-01-2024,22.8,23.04,22.8,23.27
01-01-2025,22.71,23.04,22.8,23.27
02-01-2025,22.63,22.91,22.68,23.13
03-01-2025,22.68,22.8,22.57,23.04
04-01-2025,22.7,22.78,22.56,23.01
05-01-2025,22.58,22.55,22.32,22.79
06-01-2025,22.36,22.33,22.09,22.56
07-01-2025,22.19,22.17,21.94,22.4
08-01-2025,22.28,22.16,21.94,22.4
09-01-2025,22.24,22.04,21.81,22.27
10-01-2025,22.09,21.93,21.72,22.16
11-01-2025,21.91,21.91,21.67,22.14
12-01-2025,21.63,21.68,21.44,21.91
01-01-2026,NaN,21.45,21.2,21.72
02-01-2026,NaN,21.3,20.98,21.6
03-01-2026,NaN,21.29,20.81,21.75
04-01-2026,NaN,21.17,20.48,21.87
05-01-2026,NaN,21.06,20.1,21.97
06-01-2026,NaN,21.04,19.82,22.22
07-01-2026,NaN,20.81,19.38,22.34
08-01-2026,NaN,20.58,18.76,22.49
09-01-2026,NaN,20.43,18.34,22.7
10-01-2026,NaN,20.42,17.91,23.14
11-01-2026,NaN,20.3,17.38,23.39
12-01-2026,NaN,20.19,16.88,23.61
