Date,data,median,LB,UB
01-01-2020,15.93,15.92,15.61,16.25
02-01-2020,16.27,16.34,16.04,16.69
03-01-2020,16.45,16.77,16.43,17.11
04-01-2020,16.95,17.19,16.89,17.5
05-01-2020,17.75,17.61,17.31,17.93
06-01-2020,18.32,18.03,17.7,18.36
07-01-2020,18.66,18.46,18.14,18.77
08-01-2020,18.89,18.88,18.59,19.2
09-01-2020,19.11,19.07,18.74,19.41
10-01-2020,19.32,19.26,18.92,19.58
11-01-2020,19.38,19.45,19.12,19.77
12-01-2020,19.57,19.64,19.3,19.95
01-01-2021,19.91,19.83,19.51,20.14
02-01-2021,19.99,20.02,19.69,20.33
03-01-2021,20.4,20.21,19.87,20.54
04-01-2021,20.73,20.4,20.03,20.72
05-01-2021,20.48,20.59,20.25,20.9
06-01-2021,20.45,20.78,20.44,21.1
07-01-2021,20.66,20.96,20.63,21.26
08-01-2021,21.04,21.15,20.81,21.48
09-01-2021,21.27,21.34,21.01,21.65
10-01-2021,21.49,21.53,21.22,21.86
11-01-2021,21.8,21.72,21.38,22.02
12-01-2021,21.98,21.91,21.58,22.25
01-01-2022,22.18,21.94,21.61,22.27
02-01-2022,22.36,21.97,21.65,22.31
03-01-2022,22.3,22.01,21.69,22.33
04-01-2022,21.96,21.97,21.65,22.31
05-01-2022,21.82,21.93,21.63,22.25
06-01-2022,21.8,21.89,21.55,22.23
07-01-2022,21.71,21.85,21.52,22.15
08-01-2022,21.62,21.81,21.5,22.12
09-01-2022,21.52,21.77,21.43,22.09
10-01-2022,21.6,21.73,21.4,22.04
11-01-2022,21.61,21.69,21.36,22.02
12-01-2022,21.7,21.65,21.31,21.98
01-01-2023,21.6,21.61,21.31,21.93
02-01-2023,21.51,21.57,21.26,21.87
03-01-2023,21.5,21.53,21.22,21.84
04-01-2023,21.59,21.49,21.17,21.79
05-01-2023,21.6,21.45,21.12,21.77
06-01-2023,21.53,21.41,21.07,21.75
07-01-2023,21.38,21.37,21.06,21.69
08-01-2023,21.25,21.24,20.92,21.57
09-01-2023,21.08,21.1,20.78,21.42
10-01-2023,20.77,20.74,20.4,21.05
11-01-2023,20.38,20.37,20.05,20.69
12-01-2023,19.93,19.96,19.65,20.31
01-01-2024,19.51,19.54,19.23,19.86
02-01-2024,19.18,19.12,18.83,19.46
03-01-2024,18.66,18.62,18.27,18.95
04-01-2024,18.18,18.11,17.78,18.43
05-01-2024,17.72,17.61,17.28,17.91
06-01-2024,17.23,17.1,16.8,17.43
07-01-2024,16.74,16.6,16.26,16.92
08-01-2024,16.19,16.09,15.78,16.43
09-01-2024,15.71,15.59,15.29,15.9
10-01-2024,15.17,15.08,14.78,15.41
11-01-2024,14.72,14.58,14.26,14.92
12-01-2024,14.29,14.36,14.06,14.69
01-01-2025,14,14.15,13.82,14.48
02-01-2025,13.78,13.94,13.62,14.25
03-01-2025,13.59,13.73,13.41,14.05
04-01-2025,13.25,13.52,13.21,13.84
05-01-2025,12.98,13.31,12.98,13.6
06-01-2025,12.85,13.09,12.78,13.42
07-01-2025,12.67,12.88,12.55,13.21
08-01-2025,12.48,12.67,12.36,13.01
09-01-2025,12.31,12.46,12.14,12.79
10-01-2025,12.26,12.25,11.93,12.58
11-01-2025,12.11,12.04,11.73,12.34
12-01-2025,12.07,11.82,11.48,12.15
01-01-2026,11.92,11.61,11.3,11.92
02-01-2026,11.71,11.4,11.07,11.72
03-01-2026,NaN,11.19,10.87,11.52
04-01-2026,NaN,10.98,10.65,11.34
05-01-2026,NaN,10.77,10.39,11.15
06-01-2026,NaN,10.55,10.04,11.07
07-01-2026,NaN,10.34,9.71,10.94
08-01-2026,NaN,10.13,9.26,10.94
09-01-2026,NaN,9.92,8.93,10.86
10-01-2026,NaN,9.71,8.53,10.81
11-01-2026,NaN,9.49,8.14,10.77
12-01-2026,NaN,9.28,7.68,10.73
01-01-2027,NaN,9.07,7.19,10.78
02-01-2027,NaN,8.86,6.72,10.84
