Date,data,median,LB,UB
01-01-2020,72.12,NA,NA,NA
02-01-2020,73.34,NA,NA,NA
03-01-2020,74.68,NA,NA,NA
04-01-2020,77.02,NA,NA,NA
05-01-2020,80.58,NA,NA,NA
06-01-2020,82.92,NA,NA,NA
07-01-2020,85.24,NA,NA,NA
08-01-2020,87.29,NA,NA,NA
09-01-2020,88.88,NA,NA,NA
10-01-2020,90.09,NA,NA,NA
11-01-2020,91.2,NA,NA,NA
12-01-2020,92.48,NA,NA,NA
01-01-2021,94.79,NA,NA,NA
02-01-2021,96.12,NA,NA,NA
03-01-2021,98.21,NA,NA,NA
04-01-2021,99.77,NA,NA,NA
05-01-2021,99.68,NA,NA,NA
06-01-2021,100.57,NA,NA,NA
07-01-2021,101.48,NA,NA,NA
08-01-2021,102.61,NA,NA,NA
09-01-2021,104.1,NA,NA,NA
10-01-2021,105.53,NA,NA,NA
11-01-2021,106.55,NA,NA,NA
12-01-2021,107.57,NA,NA,NA
01-01-2022,107.8,NA,NA,NA
02-01-2022,108.64,NA,NA,NA
03-01-2022,108.6,NA,NA,NA
04-01-2022,107.78,NA,NA,NA
05-01-2022,107.43,NA,NA,NA
06-01-2022,107.37,NA,NA,NA
07-01-2022,107.58,NA,NA,NA
08-01-2022,107.47,NA,NA,NA
09-01-2022,107.43,NA,NA,NA
10-01-2022,107.82,NA,NA,NA
11-01-2022,108.43,NA,NA,NA
12-01-2022,109.41,NA,NA,NA
01-01-2023,109.75,NA,NA,NA
02-01-2023,109.71,NA,NA,NA
03-01-2023,110.08,NA,NA,NA
04-01-2023,110.77,NA,NA,NA
05-01-2023,111.42,NA,NA,NA
06-01-2023,111.47,NA,NA,NA
07-01-2023,111.38,NA,NA,NA
08-01-2023,111.45,NA,NA,NA
09-01-2023,110.72,NA,NA,NA
10-01-2023,109.7,NA,NA,NA
11-01-2023,108.53,NA,NA,NA
12-01-2023,106.88,NA,NA,NA
01-01-2024,105.52,NA,NA,NA
02-01-2024,104.36,NA,NA,NA
03-01-2024,102.17,NA,NA,NA
04-01-2024,100.05,NA,NA,NA
05-01-2024,97.69,NA,NA,NA
06-01-2024,95.74,NA,NA,NA
07-01-2024,93.19,NA,NA,NA
08-01-2024,90.2,NA,NA,NA
09-01-2024,87.65,NA,NA,NA
10-01-2024,85.18,NA,NA,NA
11-01-2024,82.95,NA,NA,NA
12-01-2024,80.86,NA,NA,NA
01-01-2025,79.31,NA,NA,NA
02-01-2025,77.8,NA,NA,NA
03-01-2025,77.02,NA,NA,NA
04-01-2025,75.9,NA,NA,NA
05-01-2025,74.78,NA,NA,NA
06-01-2025,73.74,NA,NA,NA
07-01-2025,72.75,NA,NA,NA
08-01-2025,72.05,NA,NA,NA
09-01-2025,71.46,NA,NA,NA
10-01-2025,70.88,NA,NA,NA
11-01-2025,70.42,NA,NA,NA
12-01-2025,69.94,NA,NA,NA
01-01-2026,68.67,NA,NA,NA
02-01-2026,67.53,NA,NA,NA
03-01-2026,NaN,66.4,65.35,67.44
04-01-2026,NaN,65.26,63.1,67.42
05-01-2026,NaN,64.13,60.64,67.61
06-01-2026,NaN,62.99,58,67.99
07-01-2026,NaN,61.86,55.19,68.53
08-01-2026,NaN,60.72,52.22,69.23
09-01-2026,NaN,59.59,49.12,70.06
10-01-2026,NaN,58.45,45.88,71.03
11-01-2026,NaN,57.32,42.52,72.12
12-01-2026,NaN,56.19,39.05,73.32
01-01-2027,NaN,55.05,35.46,74.64
02-01-2027,NaN,53.92,31.76,76.07
