Date,data,median,LB,UB
01-01-2020,72.12,72.16,71.81,72.51
02-01-2020,73.34,73.16,72.91,73.42
03-01-2020,74.68,74.79,74.53,75.05
04-01-2020,77.02,77.33,77.09,77.56
05-01-2020,80.58,80.21,79.95,80.46
06-01-2020,82.92,82.94,82.7,83.19
07-01-2020,85.24,85.34,85.09,85.59
08-01-2020,87.29,87.3,87.05,87.55
09-01-2020,88.88,88.81,88.57,89.05
10-01-2020,90.09,90.04,89.78,90.29
11-01-2020,91.2,91.25,91.02,91.49
12-01-2020,92.48,92.68,92.42,92.94
01-01-2021,94.79,94.45,94.22,94.69
02-01-2021,96.12,96.39,96.13,96.66
03-01-2021,98.21,98.18,97.95,98.41
04-01-2021,99.77,99.44,99.18,99.7
05-01-2021,99.68,100.01,99.78,100.24
06-01-2021,100.57,100.5,100.24,100.76
07-01-2021,101.48,101.41,101.18,101.65
08-01-2021,102.61,102.68,102.43,102.94
09-01-2021,104.1,104.11,103.87,104.36
10-01-2021,105.53,105.46,105.21,105.71
11-01-2021,106.55,106.59,106.34,106.83
12-01-2021,107.57,107.46,107.22,107.7
01-01-2022,107.8,108.08,107.82,108.33
02-01-2022,108.64,108.45,108.22,108.69
03-01-2022,108.6,108.45,108.19,108.71
04-01-2022,107.78,107.97,107.74,108.2
05-01-2022,107.43,107.44,107.18,107.71
06-01-2022,107.37,107.38,107.15,107.61
07-01-2022,107.58,107.5,107.24,107.76
08-01-2022,107.47,107.45,107.22,107.68
09-01-2022,107.43,107.48,107.22,107.74
10-01-2022,107.82,107.84,107.6,108.08
11-01-2022,108.43,108.51,108.25,108.76
12-01-2022,109.41,109.28,109.04,109.52
01-01-2023,109.75,109.7,109.45,109.95
02-01-2023,109.71,109.79,109.54,110.04
03-01-2023,110.08,110.15,109.91,110.39
04-01-2023,110.77,110.79,110.54,111.05
05-01-2023,111.42,111.28,111.04,111.51
06-01-2023,111.47,111.49,111.23,111.75
07-01-2023,111.38,111.53,111.3,111.76
08-01-2023,111.45,111.32,111.06,111.58
09-01-2023,110.72,110.74,110.51,110.97
10-01-2023,109.7,109.75,109.49,110.01
11-01-2023,108.53,108.39,108.16,108.62
12-01-2023,106.88,106.98,106.72,107.24
01-01-2024,105.52,105.67,105.44,105.91
02-01-2024,104.36,104.13,103.88,104.39
03-01-2024,102.17,102.19,101.95,102.44
04-01-2024,100.05,100.07,99.82,100.32
05-01-2024,97.69,97.88,97.63,98.12
06-01-2024,95.74,95.57,95.33,95.81
07-01-2024,93.19,93.09,92.83,93.34
08-01-2024,90.2,90.38,90.14,90.61
09-01-2024,87.65,87.63,87.37,87.89
10-01-2024,85.18,85.14,84.91,85.37
11-01-2024,82.95,82.92,82.66,83.19
12-01-2024,80.86,80.92,80.69,81.15
01-01-2025,79.31,79.23,78.97,79.49
02-01-2025,77.8,77.96,77.73,78.19
03-01-2025,77.02,76.91,76.65,77.17
04-01-2025,75.9,75.88,75.65,76.12
05-01-2025,74.78,74.82,74.56,75.07
06-01-2025,73.74,73.73,73.49,73.97
07-01-2025,72.75,72.78,72.53,73.03
08-01-2025,72.05,72.03,71.78,72.28
09-01-2025,71.46,71.44,71.19,71.68
10-01-2025,70.88,70.93,70.68,71.19
11-01-2025,70.42,70.45,70.21,70.68
12-01-2025,69.94,69.8,69.53,70.06
01-01-2026,68.67,68.77,68.52,69.03
02-01-2026,67.53,67.51,67.16,67.86
03-01-2026,NaN,66.22,65.28,67.16
04-01-2026,NaN,64.93,63.29,66.57
05-01-2026,NaN,63.64,61.3,65.99
06-01-2026,NaN,62.35,59.29,65.41
07-01-2026,NaN,61.06,57.29,64.84
08-01-2026,NaN,59.77,55.28,64.27
09-01-2026,NaN,58.48,53.27,63.69
10-01-2026,NaN,57.19,51.26,63.12
11-01-2026,NaN,55.9,49.26,62.55
12-01-2026,NaN,54.61,47.25,61.98
01-01-2027,NaN,53.32,45.24,61.41
02-01-2027,NaN,52.03,43.23,60.83
