Date,data,median,LB,UB
01-01-2020,72.12,71.42,70.3,72.64
02-01-2020,73.34,73.63,72.54,74.74
03-01-2020,74.68,75.84,74.72,76.9
04-01-2020,77.02,78.05,76.96,79.24
05-01-2020,80.58,80.26,79.18,81.4
06-01-2020,82.92,82.47,81.3,83.55
07-01-2020,85.24,84.68,83.61,85.84
08-01-2020,87.29,86.88,85.77,87.93
09-01-2020,88.88,88.44,87.29,89.45
10-01-2020,90.09,89.99,88.9,91.17
11-01-2020,91.2,91.54,90.4,92.7
12-01-2020,92.48,93.09,92.05,94.16
01-01-2021,94.79,94.64,93.59,95.77
02-01-2021,96.12,96.19,95.05,97.24
03-01-2021,98.21,97.74,96.67,98.85
04-01-2021,99.77,98.82,97.68,99.89
05-01-2021,99.68,99.9,98.74,101.02
06-01-2021,100.57,100.98,99.87,102.11
07-01-2021,101.48,102.06,100.96,103.11
08-01-2021,102.61,103.14,102.01,104.31
09-01-2021,104.1,104.22,103.05,105.41
10-01-2021,105.53,105.3,104.19,106.5
11-01-2021,106.55,106.37,105.26,107.47
12-01-2021,107.57,107.45,106.34,108.56
01-01-2022,107.8,107.53,106.48,108.6
02-01-2022,108.64,107.6,106.38,108.7
03-01-2022,108.6,107.67,106.53,108.81
04-01-2022,107.78,107.75,106.63,108.77
05-01-2022,107.43,107.82,106.68,109.01
06-01-2022,107.37,107.89,106.79,108.95
07-01-2022,107.58,107.96,106.85,108.97
08-01-2022,107.47,108.04,106.96,109.13
09-01-2022,107.43,108.11,107.01,109.19
10-01-2022,107.82,108.45,107.34,109.52
11-01-2022,108.43,108.79,107.63,109.91
12-01-2022,109.41,109.13,108.03,110.17
01-01-2023,109.75,109.47,108.33,110.57
02-01-2023,109.71,109.82,108.78,110.95
03-01-2023,110.08,110.16,109.04,111.3
04-01-2023,110.77,110.5,109.38,111.63
05-01-2023,111.42,110.84,109.75,112
06-01-2023,111.47,111.18,110.1,112.37
07-01-2023,111.38,111.52,110.41,112.56
08-01-2023,111.45,111.24,110.16,112.35
09-01-2023,110.72,110.96,109.84,112.01
10-01-2023,109.7,109.63,108.53,110.74
11-01-2023,108.53,108.3,107.18,109.39
12-01-2023,106.88,106.97,105.83,108.08
01-01-2024,105.52,105.64,104.52,106.85
02-01-2024,104.36,104.31,103.2,105.4
03-01-2024,102.17,102.19,101.09,103.29
04-01-2024,100.05,100.08,98.93,101.22
05-01-2024,97.69,97.62,96.43,98.78
06-01-2024,95.74,95.16,94.04,96.22
07-01-2024,93.19,92.5,91.38,93.68
08-01-2024,90.2,89.84,88.72,91.03
09-01-2024,87.65,87.18,86.07,88.34
10-01-2024,85.18,84.51,83.51,85.58
11-01-2024,82.95,81.85,80.79,83.03
12-01-2024,80.86,80.85,79.75,81.89
01-01-2025,79.31,79.84,78.82,80.91
02-01-2025,77.8,78.83,77.71,79.91
03-01-2025,77.02,77.83,76.78,78.9
04-01-2025,75.9,76.82,75.67,77.91
05-01-2025,74.78,75.81,74.71,76.94
06-01-2025,73.74,74.81,73.76,75.91
07-01-2025,72.75,73.8,72.69,74.93
08-01-2025,72.05,72.79,71.71,73.91
09-01-2025,71.46,71.79,70.64,72.96
10-01-2025,70.88,70.78,69.63,71.86
11-01-2025,70.42,69.78,68.72,70.91
12-01-2025,69.94,68.77,67.7,69.82
01-01-2026,68.67,67.76,66.6,68.94
02-01-2026,67.53,66.76,65.64,67.88
03-01-2026,NaN,65.75,64.58,66.91
04-01-2026,NaN,64.74,63.3,66.04
05-01-2026,NaN,63.74,62.08,65.46
06-01-2026,NaN,62.73,60.28,64.95
07-01-2026,NaN,61.73,58.43,64.8
08-01-2026,NaN,60.72,56.54,64.44
09-01-2026,NaN,59.71,54.03,64.7
10-01-2026,NaN,58.71,52.43,64.5
11-01-2026,NaN,57.7,50.17,64.99
12-01-2026,NaN,56.69,47.54,64.8
01-01-2027,NaN,55.69,45.47,65.22
02-01-2027,NaN,54.68,43.03,65.75
