Date,data,median,LB,UB
01-01-2020,14.16,NA,NA,NA
02-01-2020,14.31,NA,NA,NA
03-01-2020,14.49,NA,NA,NA
04-01-2020,14.87,NA,NA,NA
05-01-2020,15.26,NA,NA,NA
06-01-2020,15.48,NA,NA,NA
07-01-2020,15.68,NA,NA,NA
08-01-2020,15.71,NA,NA,NA
09-01-2020,15.9,NA,NA,NA
10-01-2020,15.92,NA,NA,NA
11-01-2020,16,NA,NA,NA
12-01-2020,16.02,NA,NA,NA
01-01-2021,16.23,NA,NA,NA
02-01-2021,16.39,NA,NA,NA
03-01-2021,16.59,NA,NA,NA
04-01-2021,16.55,NA,NA,NA
05-01-2021,16.54,NA,NA,NA
06-01-2021,16.61,NA,NA,NA
07-01-2021,16.7,NA,NA,NA
08-01-2021,16.91,NA,NA,NA
09-01-2021,17.1,NA,NA,NA
10-01-2021,17.37,NA,NA,NA
11-01-2021,17.4,NA,NA,NA
12-01-2021,17.5,NA,NA,NA
01-01-2022,17.49,NA,NA,NA
02-01-2022,17.47,NA,NA,NA
03-01-2022,17.48,NA,NA,NA
04-01-2022,17.52,NA,NA,NA
05-01-2022,17.39,NA,NA,NA
06-01-2022,17.43,NA,NA,NA
07-01-2022,17.4,NA,NA,NA
08-01-2022,17.35,NA,NA,NA
09-01-2022,17.27,NA,NA,NA
10-01-2022,17.35,NA,NA,NA
11-01-2022,17.46,NA,NA,NA
12-01-2022,17.59,NA,NA,NA
01-01-2023,17.63,NA,NA,NA
02-01-2023,17.66,NA,NA,NA
03-01-2023,17.54,NA,NA,NA
04-01-2023,17.55,NA,NA,NA
05-01-2023,17.66,NA,NA,NA
06-01-2023,17.52,NA,NA,NA
07-01-2023,17.37,NA,NA,NA
08-01-2023,17.24,NA,NA,NA
09-01-2023,17.07,NA,NA,NA
10-01-2023,16.77,NA,NA,NA
11-01-2023,16.53,NA,NA,NA
12-01-2023,16.22,NA,NA,NA
01-01-2024,15.92,NA,NA,NA
02-01-2024,15.64,NA,NA,NA
03-01-2024,15.32,NA,NA,NA
04-01-2024,14.89,NA,NA,NA
05-01-2024,14.39,NA,NA,NA
06-01-2024,14.03,NA,NA,NA
07-01-2024,13.7,NA,NA,NA
08-01-2024,13.22,NA,NA,NA
09-01-2024,12.79,NA,NA,NA
10-01-2024,12.38,NA,NA,NA
11-01-2024,11.95,NA,NA,NA
12-01-2024,11.54,NA,NA,NA
01-01-2025,11.17,NA,NA,NA
02-01-2025,10.88,NA,NA,NA
03-01-2025,10.65,NA,NA,NA
04-01-2025,10.43,NA,NA,NA
05-01-2025,10.27,NA,NA,NA
06-01-2025,10.13,NA,NA,NA
07-01-2025,9.92,NA,NA,NA
08-01-2025,9.8,NA,NA,NA
09-01-2025,9.69,NA,NA,NA
10-01-2025,9.52,NA,NA,NA
11-01-2025,9.47,NA,NA,NA
12-01-2025,9.41,NA,NA,NA
01-01-2026,9.27,NA,NA,NA
02-01-2026,9.12,NA,NA,NA
03-01-2026,NaN,8.98,8.8,9.17
04-01-2026,NaN,8.85,8.49,9.2
05-01-2026,NaN,8.71,8.16,9.26
06-01-2026,NaN,8.57,7.8,9.35
07-01-2026,NaN,8.44,7.42,9.45
08-01-2026,NaN,8.3,7.02,9.58
09-01-2026,NaN,8.16,6.6,9.72
10-01-2026,NaN,8.03,6.17,9.88
11-01-2026,NaN,7.89,5.72,10.06
12-01-2026,NaN,7.75,5.25,10.26
01-01-2027,NaN,7.61,4.76,10.47
02-01-2027,NaN,7.48,4.26,10.69
