Date,data,median,LB,UB
01-01-2020,14.16,14.28,14,14.58
02-01-2020,14.31,14.48,14.19,14.77
03-01-2020,14.49,14.68,14.4,14.98
04-01-2020,14.87,14.89,14.61,15.2
05-01-2020,15.26,15.09,14.8,15.39
06-01-2020,15.48,15.29,15,15.57
07-01-2020,15.68,15.5,15.22,15.77
08-01-2020,15.71,15.7,15.42,15.98
09-01-2020,15.9,15.81,15.54,16.1
10-01-2020,15.92,15.91,15.63,16.2
11-01-2020,16,16.02,15.75,16.3
12-01-2020,16.02,16.13,15.86,16.42
01-01-2021,16.23,16.23,15.95,16.53
02-01-2021,16.39,16.34,16.05,16.63
03-01-2021,16.59,16.45,16.17,16.72
04-01-2021,16.55,16.55,16.26,16.84
05-01-2021,16.54,16.66,16.37,16.95
06-01-2021,16.61,16.77,16.48,17.04
07-01-2021,16.7,16.87,16.57,17.15
08-01-2021,16.91,16.98,16.68,17.25
09-01-2021,17.1,17.09,16.78,17.39
10-01-2021,17.37,17.19,16.91,17.46
11-01-2021,17.4,17.3,17.02,17.58
12-01-2021,17.5,17.41,17.13,17.67
01-01-2022,17.49,17.42,17.13,17.71
02-01-2022,17.47,17.43,17.15,17.73
03-01-2022,17.48,17.44,17.14,17.72
04-01-2022,17.52,17.44,17.15,17.73
05-01-2022,17.39,17.45,17.17,17.75
06-01-2022,17.43,17.46,17.18,17.77
07-01-2022,17.4,17.47,17.17,17.77
08-01-2022,17.35,17.48,17.19,17.75
09-01-2022,17.27,17.49,17.21,17.8
10-01-2022,17.35,17.5,17.23,17.79
11-01-2022,17.46,17.51,17.23,17.79
12-01-2022,17.59,17.52,17.25,17.81
01-01-2023,17.63,17.52,17.26,17.78
02-01-2023,17.66,17.53,17.24,17.82
03-01-2023,17.54,17.52,17.22,17.78
04-01-2023,17.55,17.51,17.23,17.8
05-01-2023,17.66,17.5,17.23,17.81
06-01-2023,17.52,17.49,17.22,17.77
07-01-2023,17.37,17.48,17.21,17.75
08-01-2023,17.24,17.27,16.96,17.53
09-01-2023,17.07,17.05,16.77,17.33
10-01-2023,16.77,16.78,16.5,17.06
11-01-2023,16.53,16.51,16.21,16.79
12-01-2023,16.22,16.23,15.95,16.51
01-01-2024,15.92,15.94,15.67,16.23
02-01-2024,15.64,15.66,15.4,15.97
03-01-2024,15.32,15.23,14.94,15.52
04-01-2024,14.89,14.8,14.52,15.08
05-01-2024,14.39,14.36,14.08,14.64
06-01-2024,14.03,13.93,13.64,14.24
07-01-2024,13.7,13.49,13.19,13.76
08-01-2024,13.22,13.06,12.78,13.33
09-01-2024,12.79,12.63,12.35,12.91
10-01-2024,12.38,12.19,11.89,12.48
11-01-2024,11.95,11.76,11.46,12.03
12-01-2024,11.54,11.56,11.29,11.84
01-01-2025,11.17,11.36,11.05,11.65
02-01-2025,10.88,11.16,10.88,11.45
03-01-2025,10.65,10.96,10.68,11.24
04-01-2025,10.43,10.76,10.49,11.03
05-01-2025,10.27,10.56,10.3,10.85
06-01-2025,10.13,10.36,10.09,10.65
07-01-2025,9.92,10.16,9.88,10.45
08-01-2025,9.8,9.96,9.67,10.25
09-01-2025,9.69,9.77,9.48,10.03
10-01-2025,9.52,9.57,9.27,9.87
11-01-2025,9.47,9.37,9.11,9.66
12-01-2025,9.41,9.17,8.89,9.46
01-01-2026,9.27,8.97,8.7,9.25
02-01-2026,9.12,8.77,8.49,9.06
03-01-2026,NaN,8.57,8.31,8.87
04-01-2026,NaN,8.37,8.09,8.66
05-01-2026,NaN,8.17,7.85,8.51
06-01-2026,NaN,7.97,7.57,8.36
07-01-2026,NaN,7.77,7.3,8.23
08-01-2026,NaN,7.57,7.02,8.13
09-01-2026,NaN,7.37,6.67,8.04
10-01-2026,NaN,7.18,6.28,7.96
11-01-2026,NaN,6.98,5.98,7.94
12-01-2026,NaN,6.78,5.57,7.87
01-01-2027,NaN,6.58,5.22,7.76
02-01-2027,NaN,6.38,4.85,7.77
