Date,data,median,LB,UB
01-01-2020,26.21,NA,NA,NA
02-01-2020,26.74,NA,NA,NA
03-01-2020,27.39,NA,NA,NA
04-01-2020,28.37,NA,NA,NA
05-01-2020,30.02,NA,NA,NA
06-01-2020,31.05,NA,NA,NA
07-01-2020,32.15,NA,NA,NA
08-01-2020,33.13,NA,NA,NA
09-01-2020,33.89,NA,NA,NA
10-01-2020,34.38,NA,NA,NA
11-01-2020,34.92,NA,NA,NA
12-01-2020,35.58,NA,NA,NA
01-01-2021,36.61,NA,NA,NA
02-01-2021,37.27,NA,NA,NA
03-01-2021,38.21,NA,NA,NA
04-01-2021,38.96,NA,NA,NA
05-01-2021,38.8,NA,NA,NA
06-01-2021,39.19,NA,NA,NA
07-01-2021,39.47,NA,NA,NA
08-01-2021,39.81,NA,NA,NA
09-01-2021,40.41,NA,NA,NA
10-01-2021,40.99,NA,NA,NA
11-01-2021,41.38,NA,NA,NA
12-01-2021,41.87,NA,NA,NA
01-01-2022,41.84,NA,NA,NA
02-01-2022,42.22,NA,NA,NA
03-01-2022,42.2,NA,NA,NA
04-01-2022,41.8,NA,NA,NA
05-01-2022,41.74,NA,NA,NA
06-01-2022,41.73,NA,NA,NA
07-01-2022,41.93,NA,NA,NA
08-01-2022,41.96,NA,NA,NA
09-01-2022,41.9,NA,NA,NA
10-01-2022,42.04,NA,NA,NA
11-01-2022,42.24,NA,NA,NA
12-01-2022,42.5,NA,NA,NA
01-01-2023,42.62,NA,NA,NA
02-01-2023,42.55,NA,NA,NA
03-01-2023,42.62,NA,NA,NA
04-01-2023,42.76,NA,NA,NA
05-01-2023,42.95,NA,NA,NA
06-01-2023,42.92,NA,NA,NA
07-01-2023,42.73,NA,NA,NA
08-01-2023,42.78,NA,NA,NA
09-01-2023,42.45,NA,NA,NA
10-01-2023,41.94,NA,NA,NA
11-01-2023,41.47,NA,NA,NA
12-01-2023,40.8,NA,NA,NA
01-01-2024,40.32,NA,NA,NA
02-01-2024,39.76,NA,NA,NA
03-01-2024,38.74,NA,NA,NA
04-01-2024,37.94,NA,NA,NA
05-01-2024,36.92,NA,NA,NA
06-01-2024,36.08,NA,NA,NA
07-01-2024,35.09,NA,NA,NA
08-01-2024,33.9,NA,NA,NA
09-01-2024,32.82,NA,NA,NA
10-01-2024,31.85,NA,NA,NA
11-01-2024,30.88,NA,NA,NA
12-01-2024,29.98,NA,NA,NA
01-01-2025,29.24,NA,NA,NA
02-01-2025,28.38,NA,NA,NA
03-01-2025,28.01,NA,NA,NA
04-01-2025,27.47,NA,NA,NA
05-01-2025,26.94,NA,NA,NA
06-01-2025,26.4,NA,NA,NA
07-01-2025,25.94,NA,NA,NA
08-01-2025,25.46,NA,NA,NA
09-01-2025,25.17,NA,NA,NA
10-01-2025,24.93,NA,NA,NA
11-01-2025,24.82,NA,NA,NA
12-01-2025,24.63,NA,NA,NA
01-01-2026,24.06,NA,NA,NA
02-01-2026,23.69,NA,NA,NA
03-01-2026,NaN,23.3,22.8,23.8
04-01-2026,NaN,22.91,21.95,23.87
05-01-2026,NaN,22.52,21.03,24
06-01-2026,NaN,22.13,20.05,24.2
07-01-2026,NaN,21.74,19.01,24.46
08-01-2026,NaN,21.35,17.91,24.78
09-01-2026,NaN,20.95,16.76,25.15
10-01-2026,NaN,20.56,15.56,25.56
11-01-2026,NaN,20.17,14.32,26.03
12-01-2026,NaN,19.78,13.03,26.53
01-01-2027,NaN,19.39,11.71,27.08
02-01-2027,NaN,19,10.34,27.66
