Date,data,median,LB,UB
01-01-2020,26.21,26.2,26.02,26.38
02-01-2020,26.74,26.68,26.56,26.81
03-01-2020,27.39,27.44,27.3,27.57
04-01-2020,28.37,28.54,28.42,28.66
05-01-2020,30.02,29.82,29.69,29.94
06-01-2020,31.05,31.07,30.95,31.2
07-01-2020,32.15,32.2,32.07,32.32
08-01-2020,33.13,33.12,33,33.25
09-01-2020,33.89,33.82,33.7,33.95
10-01-2020,34.38,34.38,34.25,34.51
11-01-2020,34.92,34.96,34.84,35.08
12-01-2020,35.58,35.65,35.52,35.78
01-01-2021,36.61,36.49,36.37,36.61
02-01-2021,37.27,37.39,37.26,37.52
03-01-2021,38.21,38.19,38.07,38.31
04-01-2021,38.96,38.75,38.62,38.88
05-01-2021,38.8,38.99,38.87,39.11
06-01-2021,39.19,39.16,39.03,39.29
07-01-2021,39.47,39.44,39.32,39.56
08-01-2021,39.81,39.87,39.74,40
09-01-2021,40.41,40.41,40.28,40.53
10-01-2021,40.99,40.95,40.82,41.07
11-01-2021,41.38,41.42,41.29,41.54
12-01-2021,41.87,41.77,41.65,41.9
01-01-2022,41.84,42.01,41.88,42.14
02-01-2022,42.22,42.12,42,42.24
03-01-2022,42.2,42.09,41.96,42.22
04-01-2022,41.8,41.92,41.8,42.03
05-01-2022,41.74,41.75,41.62,41.88
06-01-2022,41.73,41.77,41.65,41.89
07-01-2022,41.93,41.87,41.74,42
08-01-2022,41.96,41.91,41.79,42.03
09-01-2022,41.9,41.96,41.83,42.09
10-01-2022,42.04,42.07,41.95,42.19
11-01-2022,42.24,42.25,42.12,42.38
12-01-2022,42.5,42.46,42.34,42.58
01-01-2023,42.62,42.57,42.45,42.7
02-01-2023,42.55,42.59,42.47,42.72
03-01-2023,42.62,42.66,42.53,42.78
04-01-2023,42.76,42.78,42.65,42.91
05-01-2023,42.95,42.87,42.75,42.99
06-01-2023,42.92,42.9,42.77,43.03
07-01-2023,42.73,42.85,42.73,42.97
08-01-2023,42.78,42.71,42.58,42.84
09-01-2023,42.45,42.41,42.29,42.53
10-01-2023,41.94,41.98,41.84,42.11
11-01-2023,41.47,41.44,41.32,41.55
12-01-2023,40.8,40.87,40.74,41
01-01-2024,40.32,40.32,40.2,40.44
02-01-2024,39.76,39.65,39.52,39.78
03-01-2024,38.74,38.81,38.69,38.94
04-01-2024,37.94,37.91,37.78,38.04
05-01-2024,36.92,36.99,36.86,37.12
06-01-2024,36.08,36.04,35.92,36.16
07-01-2024,35.09,35.03,34.9,35.16
08-01-2024,33.9,33.95,33.83,34.07
09-01-2024,32.82,32.85,32.72,32.98
10-01-2024,31.85,31.82,31.7,31.94
11-01-2024,30.88,30.88,30.75,31.01
12-01-2024,29.98,29.98,29.87,30.1
01-01-2025,29.24,29.18,29.05,29.31
02-01-2025,28.38,28.51,28.39,28.63
03-01-2025,28.01,27.95,27.82,28.08
04-01-2025,27.47,27.45,27.33,27.57
05-01-2025,26.94,26.95,26.82,27.08
06-01-2025,26.4,26.42,26.3,26.54
07-01-2025,25.94,25.91,25.79,26.04
08-01-2025,25.46,25.48,25.36,25.61
09-01-2025,25.17,25.18,25.05,25.3
10-01-2025,24.93,24.97,24.85,25.1
11-01-2025,24.82,24.79,24.67,24.91
12-01-2025,24.63,24.54,24.4,24.67
01-01-2026,24.06,24.15,24.02,24.27
02-01-2026,23.69,23.67,23.49,23.85
03-01-2026,NaN,23.19,22.76,23.61
04-01-2026,NaN,22.7,21.99,23.41
05-01-2026,NaN,22.22,21.22,23.22
06-01-2026,NaN,21.74,20.44,23.04
07-01-2026,NaN,21.25,19.66,22.85
08-01-2026,NaN,20.77,18.88,22.66
09-01-2026,NaN,20.29,18.1,22.48
10-01-2026,NaN,19.8,17.32,22.29
11-01-2026,NaN,19.32,16.54,22.11
12-01-2026,NaN,18.84,15.75,21.92
01-01-2027,NaN,18.36,14.97,21.74
02-01-2027,NaN,17.87,14.19,21.55
