Date,data,median,LB,UB
01-01-2020,26.21,26.09,25.45,26.74
02-01-2020,26.74,27.02,26.44,27.68
03-01-2020,27.39,27.96,27.34,28.56
04-01-2020,28.37,28.89,28.27,29.53
05-01-2020,30.02,29.82,29.17,30.44
06-01-2020,31.05,30.75,30.11,31.38
07-01-2020,32.15,31.69,31.06,32.28
08-01-2020,33.13,32.62,32.01,33.31
09-01-2020,33.89,33.55,32.9,34.15
10-01-2020,34.38,34.48,33.86,35.11
11-01-2020,34.92,35.2,34.56,35.84
12-01-2020,35.58,35.91,35.35,36.52
01-01-2021,36.61,36.63,36,37.19
02-01-2021,37.27,37.35,36.74,37.94
03-01-2021,38.21,38.06,37.4,38.61
04-01-2021,38.96,38.47,37.87,39.11
05-01-2021,38.8,38.87,38.22,39.51
06-01-2021,39.19,39.27,38.63,39.89
07-01-2021,39.47,39.67,39.02,40.3
08-01-2021,39.81,40.07,39.47,40.72
09-01-2021,40.41,40.47,39.83,41.1
10-01-2021,40.99,40.87,40.25,41.47
11-01-2021,41.38,41.27,40.69,41.89
12-01-2021,41.87,41.67,41.04,42.25
01-01-2022,41.84,41.73,41.07,42.38
02-01-2022,42.22,41.79,41.18,42.4
03-01-2022,42.2,41.86,41.24,42.46
04-01-2022,41.8,41.92,41.32,42.54
05-01-2022,41.74,41.98,41.35,42.61
06-01-2022,41.73,42.04,41.44,42.65
07-01-2022,41.93,42.1,41.52,42.75
08-01-2022,41.96,42.16,41.57,42.8
09-01-2022,41.9,42.22,41.62,42.8
10-01-2022,42.04,42.29,41.69,42.9
11-01-2022,42.24,42.35,41.74,42.99
12-01-2022,42.5,42.41,41.84,43
01-01-2023,42.62,42.47,41.89,43.05
02-01-2023,42.55,42.53,41.93,43.18
03-01-2023,42.62,42.59,41.94,43.22
04-01-2023,42.76,42.65,42.01,43.28
05-01-2023,42.95,42.72,42.09,43.27
06-01-2023,42.92,42.78,42.19,43.4
07-01-2023,42.73,42.84,42.23,43.45
08-01-2023,42.78,42.66,42.02,43.33
09-01-2023,42.45,42.49,41.85,43.09
10-01-2023,41.94,41.95,41.34,42.55
11-01-2023,41.47,41.42,40.78,42.08
12-01-2023,40.8,40.88,40.25,41.48
01-01-2024,40.32,40.34,39.68,40.93
02-01-2024,39.76,39.81,39.17,40.45
03-01-2024,38.74,38.78,38.16,39.39
04-01-2024,37.94,37.74,37.11,38.31
05-01-2024,36.92,36.71,36.08,37.33
06-01-2024,36.08,35.68,35.08,36.31
07-01-2024,35.09,34.65,34.03,35.32
08-01-2024,33.9,33.61,32.98,34.25
09-01-2024,32.82,32.58,31.91,33.26
10-01-2024,31.85,31.55,30.94,32.16
11-01-2024,30.88,30.51,29.9,31.12
12-01-2024,29.98,30.01,29.39,30.62
01-01-2025,29.24,29.51,28.9,30.12
02-01-2025,28.38,29.01,28.38,29.61
03-01-2025,28.01,28.51,27.9,29.16
04-01-2025,27.47,28,27.38,28.6
05-01-2025,26.94,27.5,26.86,28.14
06-01-2025,26.4,27,26.37,27.67
07-01-2025,25.94,26.5,25.83,27.1
08-01-2025,25.46,25.99,25.37,26.64
09-01-2025,25.17,25.49,24.89,26.14
10-01-2025,24.93,24.99,24.41,25.58
11-01-2025,24.82,24.49,23.85,25.15
12-01-2025,24.63,23.98,23.36,24.56
01-01-2026,24.06,23.48,22.87,24.09
02-01-2026,23.69,22.98,22.34,23.56
03-01-2026,NaN,22.48,21.81,23.19
04-01-2026,NaN,21.97,21.31,22.65
05-01-2026,NaN,21.47,20.72,22.23
06-01-2026,NaN,20.97,19.96,22
07-01-2026,NaN,20.47,19.1,21.84
08-01-2026,NaN,19.97,18.22,21.56
09-01-2026,NaN,19.46,17.34,21.51
10-01-2026,NaN,18.96,16.54,21.43
11-01-2026,NaN,18.46,15.62,21.26
12-01-2026,NaN,17.96,14.62,21.22
01-01-2027,NaN,17.45,13.57,21.12
02-01-2027,NaN,16.95,12.85,21.18
