Date,data,median,LB,UB
01-01-2020,14.24,NA,NA,NA
02-01-2020,14.41,NA,NA,NA
03-01-2020,14.7,NA,NA,NA
04-01-2020,15.15,NA,NA,NA
05-01-2020,15.78,NA,NA,NA
06-01-2020,16.23,NA,NA,NA
07-01-2020,16.87,NA,NA,NA
08-01-2020,17.64,NA,NA,NA
09-01-2020,17.99,NA,NA,NA
10-01-2020,18.43,NA,NA,NA
11-01-2020,18.82,NA,NA,NA
12-01-2020,19.18,NA,NA,NA
01-01-2021,19.82,NA,NA,NA
02-01-2021,20.22,NA,NA,NA
03-01-2021,20.7,NA,NA,NA
04-01-2021,21.15,NA,NA,NA
05-01-2021,21.47,NA,NA,NA
06-01-2021,21.87,NA,NA,NA
07-01-2021,22.17,NA,NA,NA
08-01-2021,22.3,NA,NA,NA
09-01-2021,22.69,NA,NA,NA
10-01-2021,23.01,NA,NA,NA
11-01-2021,23.25,NA,NA,NA
12-01-2021,23.45,NA,NA,NA
01-01-2022,23.49,NA,NA,NA
02-01-2022,23.75,NA,NA,NA
03-01-2022,23.78,NA,NA,NA
04-01-2022,23.67,NA,NA,NA
05-01-2022,23.59,NA,NA,NA
06-01-2022,23.49,NA,NA,NA
07-01-2022,23.57,NA,NA,NA
08-01-2022,23.55,NA,NA,NA
09-01-2022,23.74,NA,NA,NA
10-01-2022,23.81,NA,NA,NA
11-01-2022,24.02,NA,NA,NA
12-01-2022,24.48,NA,NA,NA
01-01-2023,24.76,NA,NA,NA
02-01-2023,24.85,NA,NA,NA
03-01-2023,25.25,NA,NA,NA
04-01-2023,25.66,NA,NA,NA
05-01-2023,26.01,NA,NA,NA
06-01-2023,26.24,NA,NA,NA
07-01-2023,26.65,NA,NA,NA
08-01-2023,26.91,NA,NA,NA
09-01-2023,26.87,NA,NA,NA
10-01-2023,26.99,NA,NA,NA
11-01-2023,27,NA,NA,NA
12-01-2023,26.83,NA,NA,NA
01-01-2024,26.7,NA,NA,NA
02-01-2024,26.69,NA,NA,NA
03-01-2024,26.43,NA,NA,NA
04-01-2024,26.09,NA,NA,NA
05-01-2024,25.75,NA,NA,NA
06-01-2024,25.59,NA,NA,NA
07-01-2024,24.95,NA,NA,NA
08-01-2024,24.28,NA,NA,NA
09-01-2024,23.78,NA,NA,NA
10-01-2024,23.35,NA,NA,NA
11-01-2024,23.03,NA,NA,NA
12-01-2024,22.8,NA,NA,NA
01-01-2025,22.71,NA,NA,NA
02-01-2025,22.63,NA,NA,NA
03-01-2025,22.68,NA,NA,NA
04-01-2025,22.71,NA,NA,NA
05-01-2025,22.6,NA,NA,NA
06-01-2025,22.38,NA,NA,NA
07-01-2025,22.23,NA,NA,NA
08-01-2025,22.37,NA,NA,NA
09-01-2025,22.34,NA,NA,NA
10-01-2025,22.24,NA,NA,NA
11-01-2025,22.1,NA,NA,NA
12-01-2025,21.89,NA,NA,NA
01-01-2026,21.5,NA,NA,NA
02-01-2026,21.13,NA,NA,NA
03-01-2026,NaN,20.78,20.47,21.09
04-01-2026,NaN,20.43,19.82,21.04
05-01-2026,NaN,20.07,19.12,21.03
06-01-2026,NaN,19.72,18.38,21.06
07-01-2026,NaN,19.37,17.6,21.14
08-01-2026,NaN,19.02,16.78,21.25
09-01-2026,NaN,18.66,15.93,21.4
10-01-2026,NaN,18.31,15.05,21.57
11-01-2026,NaN,17.96,14.13,21.78
12-01-2026,NaN,17.6,13.19,22.02
01-01-2027,NaN,17.25,12.22,22.28
02-01-2027,NaN,16.9,11.22,22.57
