Date,data,median,LB,UB
01-01-2020,14.24,13.94,13.64,14.25
02-01-2020,14.41,14.43,14.16,14.71
03-01-2020,14.7,14.92,14.66,15.21
04-01-2020,15.15,15.41,15.12,15.68
05-01-2020,15.78,15.9,15.61,16.2
06-01-2020,16.23,16.38,16.1,16.66
07-01-2020,16.87,16.87,16.58,17.15
08-01-2020,17.64,17.36,17.07,17.64
09-01-2020,17.99,17.85,17.57,18.12
10-01-2020,18.43,18.34,18.05,18.6
11-01-2020,18.82,18.81,18.52,19.1
12-01-2020,19.18,19.28,19.01,19.54
01-01-2021,19.82,19.75,19.48,20.02
02-01-2021,20.22,20.23,19.97,20.51
03-01-2021,20.7,20.7,20.41,20.99
04-01-2021,21.15,21.12,20.85,21.39
05-01-2021,21.47,21.55,21.28,21.85
06-01-2021,21.87,21.83,21.56,22.13
07-01-2021,22.17,22.11,21.82,22.39
08-01-2021,22.3,22.39,22.09,22.69
09-01-2021,22.69,22.66,22.39,22.94
10-01-2021,23.01,22.94,22.65,23.26
11-01-2021,23.25,23.22,22.92,23.51
12-01-2021,23.45,23.5,23.23,23.78
01-01-2022,23.49,23.52,23.23,23.8
02-01-2022,23.75,23.54,23.25,23.82
03-01-2022,23.78,23.57,23.27,23.84
04-01-2022,23.67,23.59,23.28,23.89
05-01-2022,23.59,23.61,23.31,23.89
06-01-2022,23.49,23.63,23.33,23.92
07-01-2022,23.57,23.65,23.35,23.94
08-01-2022,23.55,23.68,23.36,23.97
09-01-2022,23.74,23.7,23.4,23.99
10-01-2022,23.81,23.96,23.66,24.27
11-01-2022,24.02,24.22,23.94,24.52
12-01-2022,24.48,24.49,24.2,24.76
01-01-2023,24.76,24.77,24.49,25.05
02-01-2023,24.85,25.05,24.77,25.35
03-01-2023,25.25,25.34,25.07,25.61
04-01-2023,25.66,25.62,25.34,25.93
05-01-2023,26.01,25.9,25.61,26.19
06-01-2023,26.24,26.19,25.92,26.48
07-01-2023,26.65,26.47,26.18,26.75
08-01-2023,26.91,26.72,26.44,27.01
09-01-2023,26.87,26.98,26.69,27.26
10-01-2023,26.99,26.97,26.69,27.26
11-01-2023,27,26.97,26.67,27.24
12-01-2023,26.83,26.86,26.61,27.13
01-01-2024,26.7,26.76,26.5,27.04
02-01-2024,26.69,26.66,26.36,26.95
03-01-2024,26.43,26.37,26.09,26.65
04-01-2024,26.09,26.08,25.78,26.36
05-01-2024,25.75,25.66,25.39,25.97
06-01-2024,25.59,25.23,24.96,25.5
07-01-2024,24.95,24.81,24.54,25.1
08-01-2024,24.28,24.38,24.07,24.66
09-01-2024,23.78,23.96,23.67,24.22
10-01-2024,23.35,23.54,23.23,23.83
11-01-2024,23.03,23.11,22.83,23.41
12-01-2024,22.8,23.01,22.73,23.31
01-01-2025,22.71,22.91,22.61,23.19
02-01-2025,22.63,22.8,22.53,23.08
03-01-2025,22.68,22.7,22.43,22.99
04-01-2025,22.71,22.6,22.32,22.88
05-01-2025,22.6,22.5,22.21,22.78
06-01-2025,22.38,22.4,22.1,22.69
07-01-2025,22.23,22.29,22,22.59
08-01-2025,22.37,22.19,21.92,22.48
09-01-2025,22.34,22.09,21.83,22.37
10-01-2025,22.24,21.99,21.7,22.27
11-01-2025,22.1,21.88,21.6,22.14
12-01-2025,21.89,21.78,21.51,22.08
01-01-2026,21.5,21.68,21.37,21.99
02-01-2026,21.13,21.58,21.27,21.87
03-01-2026,NaN,21.47,21.19,21.79
04-01-2026,NaN,21.37,21.05,21.68
05-01-2026,NaN,21.27,20.82,21.74
06-01-2026,NaN,21.17,20.54,21.79
07-01-2026,NaN,21.06,20.16,21.92
08-01-2026,NaN,20.96,19.8,22.04
09-01-2026,NaN,20.86,19.48,22.13
10-01-2026,NaN,20.76,19.07,22.24
11-01-2026,NaN,20.66,18.59,22.49
12-01-2026,NaN,20.55,18.13,22.7
01-01-2027,NaN,20.45,17.75,22.9
02-01-2027,NaN,20.35,17.2,23.23
