Date,data,median,LB,UB
01-01-2020,15.93,15.95,15.85,16.04
02-01-2020,16.27,16.24,16.15,16.33
03-01-2020,16.45,16.44,16.36,16.52
04-01-2020,16.95,17.01,16.94,17.08
05-01-2020,17.75,17.71,17.63,17.79
06-01-2020,18.32,18.29,18.22,18.35
07-01-2020,18.66,18.68,18.61,18.76
08-01-2020,18.89,18.92,18.85,18.99
09-01-2020,19.11,19.1,19.02,19.17
10-01-2020,19.32,19.26,19.19,19.33
11-01-2020,19.38,19.43,19.36,19.5
12-01-2020,19.57,19.61,19.54,19.69
01-01-2021,19.91,19.81,19.74,19.87
02-01-2021,19.99,20.05,19.98,20.13
03-01-2021,20.4,20.41,20.34,20.47
04-01-2021,20.73,20.66,20.58,20.73
05-01-2021,20.48,20.56,20.5,20.62
06-01-2021,20.45,20.42,20.35,20.5
07-01-2021,20.66,20.64,20.58,20.71
08-01-2021,21.04,21.02,20.95,21.1
09-01-2021,21.27,21.3,21.23,21.36
10-01-2021,21.49,21.51,21.43,21.58
11-01-2021,21.8,21.74,21.67,21.8
12-01-2021,21.98,21.99,21.92,22.07
01-01-2022,22.18,22.24,22.17,22.3
02-01-2022,22.36,22.33,22.26,22.4
03-01-2022,22.3,22.23,22.16,22.3
04-01-2022,21.96,22.03,21.96,22.1
05-01-2022,21.82,21.83,21.76,21.91
06-01-2022,21.8,21.74,21.67,21.81
07-01-2022,21.71,21.72,21.65,21.8
08-01-2022,21.62,21.64,21.57,21.7
09-01-2022,21.52,21.53,21.46,21.61
10-01-2022,21.6,21.56,21.5,21.63
11-01-2022,21.61,21.66,21.58,21.73
12-01-2022,21.7,21.67,21.61,21.73
01-01-2023,21.6,21.6,21.53,21.68
02-01-2023,21.51,21.52,21.46,21.59
03-01-2023,21.5,21.5,21.42,21.58
04-01-2023,21.59,21.58,21.51,21.64
05-01-2023,21.6,21.61,21.54,21.69
06-01-2023,21.53,21.52,21.45,21.58
07-01-2023,21.38,21.38,21.3,21.45
08-01-2023,21.25,21.26,21.19,21.32
09-01-2023,21.08,21.07,21,21.14
10-01-2023,20.77,20.77,20.71,20.84
11-01-2023,20.38,20.38,20.3,20.45
12-01-2023,19.93,19.93,19.86,20
01-01-2024,19.51,19.52,19.45,19.59
02-01-2024,19.18,19.14,19.07,19.22
03-01-2024,18.66,18.69,18.62,18.76
04-01-2024,18.18,18.18,18.1,18.25
05-01-2024,17.72,17.7,17.64,17.77
06-01-2024,17.23,17.24,17.17,17.32
07-01-2024,16.74,16.73,16.67,16.8
08-01-2024,16.19,16.2,16.12,16.27
09-01-2024,15.71,15.69,15.63,15.75
10-01-2024,15.17,15.2,15.12,15.27
11-01-2024,14.72,14.7,14.64,14.76
12-01-2024,14.29,14.29,14.21,14.37
01-01-2025,14,14.02,13.95,14.08
02-01-2025,13.78,13.79,13.72,13.87
03-01-2025,13.59,13.54,13.48,13.61
04-01-2025,13.26,13.28,13.2,13.35
05-01-2025,12.98,13.02,12.95,13.09
06-01-2025,12.86,12.82,12.75,12.89
07-01-2025,12.67,12.67,12.59,12.74
08-01-2025,12.48,12.5,12.43,12.57
09-01-2025,12.32,12.33,12.26,12.41
10-01-2025,12.27,12.23,12.16,12.29
11-01-2025,12.14,12.17,12.09,12.24
12-01-2025,12.1,12.09,12.02,12.16
01-01-2026,11.97,11.97,11.89,12.05
02-01-2026,11.78,11.78,11.69,11.87
03-01-2026,11.58,11.58,11.48,11.67
04-01-2026,NaN,11.38,10.94,11.82
05-01-2026,NaN,11.18,10.36,12.01
06-01-2026,NaN,10.99,9.77,12.2
07-01-2026,NaN,10.79,9.19,12.39
08-01-2026,NaN,10.6,8.6,12.59
09-01-2026,NaN,10.4,8.02,12.78
10-01-2026,NaN,10.2,7.43,12.98
11-01-2026,NaN,10.01,6.85,13.17
12-01-2026,NaN,9.81,6.26,13.36
01-01-2027,NaN,9.62,5.67,13.56
02-01-2027,NaN,9.42,5.09,13.75
03-01-2027,NaN,9.22,4.5,13.94
