Date,data,median,LB,UB
01-01-2020,15.93,15.9,15.61,16.18
02-01-2020,16.27,16.32,16.03,16.6
03-01-2020,16.45,16.75,16.48,17.05
04-01-2020,16.95,17.18,16.91,17.45
05-01-2020,17.75,17.61,17.32,17.9
06-01-2020,18.32,18.04,17.76,18.33
07-01-2020,18.66,18.47,18.21,18.74
08-01-2020,18.89,18.9,18.59,19.19
09-01-2020,19.11,19.08,18.8,19.37
10-01-2020,19.32,19.27,19.01,19.56
11-01-2020,19.38,19.46,19.19,19.74
12-01-2020,19.57,19.65,19.35,19.92
01-01-2021,19.91,19.83,19.55,20.11
02-01-2021,19.99,20.02,19.72,20.31
03-01-2021,20.4,20.21,19.92,20.48
04-01-2021,20.73,20.39,20.12,20.68
05-01-2021,20.48,20.58,20.28,20.84
06-01-2021,20.45,20.76,20.49,21.05
07-01-2021,20.66,20.95,20.65,21.24
08-01-2021,21.04,21.14,20.86,21.42
09-01-2021,21.27,21.32,21.06,21.59
10-01-2021,21.49,21.51,21.23,21.79
11-01-2021,21.8,21.7,21.43,21.98
12-01-2021,21.98,21.88,21.62,22.16
01-01-2022,22.18,22.07,21.77,22.34
02-01-2022,22.36,22.03,21.76,22.31
03-01-2022,22.3,21.99,21.73,22.26
04-01-2022,21.96,21.96,21.67,22.24
05-01-2022,21.82,21.92,21.63,22.19
06-01-2022,21.8,21.88,21.61,22.18
07-01-2022,21.71,21.84,21.55,22.13
08-01-2022,21.62,21.8,21.51,22.09
09-01-2022,21.52,21.76,21.48,22.05
10-01-2022,21.6,21.73,21.42,22
11-01-2022,21.61,21.69,21.41,21.98
12-01-2022,21.7,21.65,21.38,21.92
01-01-2023,21.6,21.61,21.33,21.89
02-01-2023,21.51,21.57,21.29,21.86
03-01-2023,21.5,21.53,21.25,21.81
04-01-2023,21.59,21.5,21.23,21.77
05-01-2023,21.6,21.46,21.17,21.74
06-01-2023,21.53,21.42,21.15,21.71
07-01-2023,21.38,21.38,21.09,21.67
08-01-2023,21.25,21.2,20.93,21.47
09-01-2023,21.08,21.01,20.75,21.29
10-01-2023,20.77,20.83,20.55,21.13
11-01-2023,20.38,20.39,20.12,20.68
12-01-2023,19.93,19.96,19.69,20.24
01-01-2024,19.51,19.52,19.24,19.79
02-01-2024,19.18,19.08,18.79,19.36
03-01-2024,18.66,18.64,18.34,18.92
04-01-2024,18.18,18.14,17.87,18.44
05-01-2024,17.72,17.65,17.37,17.92
06-01-2024,17.23,17.15,16.86,17.42
07-01-2024,16.74,16.65,16.38,16.93
08-01-2024,16.19,16.16,15.89,16.45
09-01-2024,15.71,15.66,15.4,15.97
10-01-2024,15.17,15.17,14.9,15.45
11-01-2024,14.72,14.67,14.4,14.96
12-01-2024,14.29,14.18,13.93,14.45
01-01-2025,14,13.99,13.71,14.28
02-01-2025,13.78,13.8,13.51,14.11
03-01-2025,13.59,13.62,13.33,13.91
04-01-2025,13.26,13.43,13.16,13.72
05-01-2025,12.98,13.25,12.95,13.53
06-01-2025,12.86,13.06,12.78,13.36
07-01-2025,12.67,12.88,12.61,13.18
08-01-2025,12.48,12.69,12.41,12.97
09-01-2025,12.32,12.51,12.22,12.78
10-01-2025,12.27,12.32,12.04,12.6
11-01-2025,12.14,12.14,11.84,12.41
12-01-2025,12.1,11.95,11.65,12.21
01-01-2026,11.97,11.76,11.47,12.05
02-01-2026,11.78,11.58,11.3,11.86
03-01-2026,11.58,11.39,11.11,11.69
04-01-2026,NaN,11.21,10.9,11.5
05-01-2026,NaN,11.02,10.7,11.34
06-01-2026,NaN,10.84,10.44,11.18
07-01-2026,NaN,10.65,10.18,11.16
08-01-2026,NaN,10.47,9.85,11.15
09-01-2026,NaN,10.28,9.45,11.05
10-01-2026,NaN,10.09,9.12,11.01
11-01-2026,NaN,9.91,8.61,11.08
12-01-2026,NaN,9.72,8.3,11.13
01-01-2027,NaN,9.54,7.91,11.08
02-01-2027,NaN,9.35,7.46,11.16
03-01-2027,NaN,9.17,7.04,11.26
