Date,data,median,LB,UB
01-01-2020,72.12,72.16,71.8,72.51
02-01-2020,73.34,73.17,72.91,73.42
03-01-2020,74.68,74.79,74.52,75.06
04-01-2020,77.02,77.33,77.09,77.57
05-01-2020,80.58,80.21,79.95,80.47
06-01-2020,82.92,82.94,82.7,83.18
07-01-2020,85.24,85.33,85.08,85.59
08-01-2020,87.29,87.3,87.05,87.55
09-01-2020,88.88,88.82,88.57,89.07
10-01-2020,90.09,90.03,89.78,90.28
11-01-2020,91.2,91.25,91,91.49
12-01-2020,92.48,92.69,92.43,92.94
01-01-2021,94.79,94.47,94.23,94.71
02-01-2021,96.12,96.41,96.15,96.67
03-01-2021,98.21,98.16,97.92,98.39
04-01-2021,99.77,99.42,99.15,99.68
05-01-2021,99.68,100.04,99.81,100.28
06-01-2021,100.57,100.51,100.25,100.78
07-01-2021,101.48,101.4,101.17,101.63
08-01-2021,102.61,102.67,102.41,102.94
09-01-2021,104.1,104.12,103.89,104.35
10-01-2021,105.53,105.48,105.21,105.74
11-01-2021,106.55,106.56,106.33,106.8
12-01-2021,107.57,107.44,107.18,107.7
01-01-2022,107.8,108.12,107.88,108.37
02-01-2022,108.64,108.46,108.21,108.72
03-01-2022,108.6,108.39,108.14,108.63
04-01-2022,107.78,107.98,107.73,108.23
05-01-2022,107.43,107.5,107.25,107.75
06-01-2022,107.37,107.35,107.1,107.6
07-01-2022,107.58,107.48,107.23,107.74
08-01-2022,107.47,107.48,107.24,107.72
09-01-2022,107.43,107.46,107.2,107.72
10-01-2022,107.82,107.85,107.61,108.08
11-01-2022,108.43,108.55,108.28,108.81
12-01-2022,109.41,109.22,108.99,109.46
01-01-2023,109.75,109.68,109.42,109.95
02-01-2023,109.71,109.86,109.63,110.1
03-01-2023,110.08,110.12,109.86,110.39
04-01-2023,110.77,110.74,110.51,110.97
05-01-2023,111.42,111.32,111.06,111.58
06-01-2023,111.47,111.52,111.28,111.76
07-01-2023,111.38,111.49,111.23,111.75
08-01-2023,111.45,111.31,111.07,111.55
09-01-2023,110.72,110.75,110.5,111.01
10-01-2023,109.7,109.74,109.5,109.99
11-01-2023,108.53,108.42,108.17,108.67
12-01-2023,106.88,106.99,106.74,107.24
01-01-2024,105.52,105.61,105.36,105.86
02-01-2024,104.36,104.16,103.9,104.41
03-01-2024,102.17,102.25,102.01,102.49
04-01-2024,100.05,100.01,99.75,100.27
05-01-2024,97.69,97.85,97.61,98.08
06-01-2024,95.74,95.64,95.38,95.9
07-01-2024,93.19,93.08,92.85,93.32
08-01-2024,90.2,90.32,90.06,90.59
09-01-2024,87.65,87.65,87.42,87.89
10-01-2024,85.18,85.17,84.9,85.43
11-01-2024,82.95,82.91,82.67,83.14
12-01-2024,80.86,80.92,80.66,81.18
01-01-2025,79.33,79.26,79.03,79.5
02-01-2025,77.83,77.96,77.7,78.22
03-01-2025,77.06,76.95,76.71,77.19
04-01-2025,75.97,75.97,75.71,76.23
05-01-2025,74.88,74.9,74.65,75.14
06-01-2025,73.9,73.88,73.63,74.13
07-01-2025,72.98,73.03,72.78,73.28
08-01-2025,72.37,72.35,72.1,72.6
09-01-2025,71.88,71.83,71.58,72.09
10-01-2025,71.38,71.44,71.2,71.68
11-01-2025,71.01,71.05,70.79,71.31
12-01-2025,70.64,70.49,70.25,70.73
01-01-2026,69.47,69.62,69.35,69.88
02-01-2026,68.49,68.36,68.1,68.62
03-01-2026,66.71,66.77,66.42,67.12
04-01-2026,NaN,65.03,64.09,65.97
05-01-2026,NaN,63.29,61.65,64.92
06-01-2026,NaN,61.55,59.21,63.89
07-01-2026,NaN,59.81,56.76,62.86
08-01-2026,NaN,58.07,54.3,61.83
09-01-2026,NaN,56.33,51.85,60.8
10-01-2026,NaN,54.58,49.39,59.78
11-01-2026,NaN,52.84,46.94,58.75
12-01-2026,NaN,51.1,44.49,57.72
01-01-2027,NaN,49.36,42.03,56.7
02-01-2027,NaN,47.62,39.58,55.67
03-01-2027,NaN,45.88,37.12,54.64
