Date,data,median,LB,UB
01-01-2020,72.12,71.34,70.41,72.3
02-01-2020,73.34,73.57,72.61,74.45
03-01-2020,74.68,75.79,74.86,76.8
04-01-2020,77.02,78.02,77.03,79.05
05-01-2020,80.58,80.25,79.21,81.23
06-01-2020,82.92,82.48,81.5,83.45
07-01-2020,85.24,84.7,83.75,85.57
08-01-2020,87.29,86.93,85.92,87.82
09-01-2020,88.88,88.48,87.52,89.4
10-01-2020,90.09,90.03,89.08,90.96
11-01-2020,91.2,91.58,90.6,92.49
12-01-2020,92.48,93.13,92.17,94.05
01-01-2021,94.79,94.68,93.77,95.63
02-01-2021,96.12,96.23,95.29,97.13
03-01-2021,98.21,97.78,96.89,98.8
04-01-2021,99.77,98.84,97.94,99.79
05-01-2021,99.68,99.9,98.96,100.89
06-01-2021,100.57,100.96,100,101.81
07-01-2021,101.48,102.02,101.07,102.99
08-01-2021,102.61,103.08,102.15,104
09-01-2021,104.1,104.13,103.18,105.11
10-01-2021,105.53,105.19,104.33,106.15
11-01-2021,106.55,106.14,105.25,107.07
12-01-2021,107.57,107.1,106.21,107.98
01-01-2022,107.8,108.05,107.16,109.06
02-01-2022,108.64,107.99,107.12,108.94
03-01-2022,108.6,107.94,107.02,108.83
04-01-2022,107.78,107.88,106.96,108.85
05-01-2022,107.43,107.83,106.92,108.76
06-01-2022,107.37,107.77,106.84,108.71
07-01-2022,107.58,107.72,106.82,108.62
08-01-2022,107.47,107.67,106.82,108.56
09-01-2022,107.43,108.03,107.12,109
10-01-2022,107.82,108.39,107.41,109.31
11-01-2022,108.43,108.75,107.82,109.7
12-01-2022,109.41,109.11,108.21,110.02
01-01-2023,109.75,109.48,108.48,110.47
02-01-2023,109.71,109.84,108.87,110.83
03-01-2023,110.08,110.21,109.24,111.09
04-01-2023,110.77,110.57,109.69,111.49
05-01-2023,111.42,110.93,110.09,111.87
06-01-2023,111.47,111.3,110.39,112.29
07-01-2023,111.38,111.66,110.74,112.56
08-01-2023,111.45,111.1,110.15,112.06
09-01-2023,110.72,110.53,109.55,111.38
10-01-2023,109.7,109.97,109.02,110.87
11-01-2023,108.53,108.5,107.63,109.44
12-01-2023,106.88,107.04,106.16,107.98
01-01-2024,105.52,105.5,104.51,106.42
02-01-2024,104.36,103.96,103.03,104.88
03-01-2024,102.17,102.42,101.52,103.39
04-01-2024,100.05,100.08,99.23,100.92
05-01-2024,97.69,97.74,96.81,98.69
06-01-2024,95.74,95.21,94.23,96.15
07-01-2024,93.19,92.68,91.74,93.64
08-01-2024,90.2,90.15,89.22,91.07
09-01-2024,87.65,87.62,86.67,88.51
10-01-2024,85.18,85.09,84.15,86.05
11-01-2024,82.95,82.56,81.62,83.54
12-01-2024,80.86,80.03,79.07,80.91
01-01-2025,79.33,79.16,78.2,80.12
02-01-2025,77.83,78.3,77.36,79.21
03-01-2025,77.06,77.43,76.53,78.4
04-01-2025,75.97,76.56,75.61,77.54
05-01-2025,74.88,75.69,74.7,76.71
06-01-2025,73.9,74.82,73.83,75.76
07-01-2025,72.98,73.95,72.98,74.88
08-01-2025,72.37,73.08,72.16,74
09-01-2025,71.88,72.21,71.2,73.12
10-01-2025,71.38,71.34,70.37,72.2
11-01-2025,71.01,70.48,69.54,71.43
12-01-2025,70.64,69.61,68.7,70.54
01-01-2026,69.47,68.74,67.77,69.63
02-01-2026,68.49,67.87,66.88,68.77
03-01-2026,66.71,67,66.01,68.02
04-01-2026,NaN,66.13,65.16,67.09
05-01-2026,NaN,65.26,64.18,66.5
06-01-2026,NaN,64.39,62.83,66.11
07-01-2026,NaN,63.52,61.39,65.81
08-01-2026,NaN,62.66,59.5,65.74
09-01-2026,NaN,61.79,57.61,66.23
10-01-2026,NaN,60.92,55.42,66.43
11-01-2026,NaN,60.05,53.38,66.62
12-01-2026,NaN,59.18,51.68,67.64
01-01-2027,NaN,58.31,48.6,68.09
02-01-2027,NaN,57.44,47.03,68.27
03-01-2027,NaN,56.57,44.11,69.05
