Date,data,median,LB,UB
01-01-2020,14.16,14.16,14.1,14.23
02-01-2020,14.31,14.3,14.25,14.35
03-01-2020,14.49,14.53,14.48,14.58
04-01-2020,14.87,14.88,14.83,14.92
05-01-2020,15.26,15.23,15.18,15.27
06-01-2020,15.48,15.49,15.44,15.53
07-01-2020,15.68,15.66,15.61,15.71
08-01-2020,15.71,15.77,15.72,15.82
09-01-2020,15.9,15.85,15.81,15.9
10-01-2020,15.92,15.93,15.88,15.97
11-01-2020,16,15.98,15.94,16.03
12-01-2020,16.02,16.06,16.01,16.1
01-01-2021,16.23,16.22,16.17,16.26
02-01-2021,16.39,16.42,16.37,16.47
03-01-2021,16.59,16.53,16.49,16.58
04-01-2021,16.55,16.56,16.51,16.61
05-01-2021,16.54,16.56,16.52,16.6
06-01-2021,16.61,16.6,16.55,16.64
07-01-2021,16.7,16.71,16.67,16.76
08-01-2021,16.91,16.9,16.86,16.95
09-01-2021,17.1,17.13,17.08,17.17
10-01-2021,17.37,17.32,17.27,17.37
11-01-2021,17.4,17.44,17.39,17.48
12-01-2021,17.5,17.48,17.44,17.53
01-01-2022,17.49,17.49,17.44,17.53
02-01-2022,17.47,17.48,17.44,17.53
03-01-2022,17.48,17.49,17.44,17.53
04-01-2022,17.52,17.47,17.43,17.52
05-01-2022,17.39,17.44,17.4,17.49
06-01-2022,17.43,17.42,17.37,17.46
07-01-2022,17.4,17.39,17.35,17.44
08-01-2022,17.35,17.34,17.29,17.38
09-01-2022,17.27,17.3,17.25,17.35
10-01-2022,17.35,17.35,17.3,17.39
11-01-2022,17.46,17.46,17.41,17.51
12-01-2022,17.59,17.58,17.54,17.63
01-01-2023,17.63,17.64,17.59,17.69
02-01-2023,17.66,17.61,17.57,17.65
03-01-2023,17.54,17.57,17.52,17.62
04-01-2023,17.55,17.59,17.55,17.63
05-01-2023,17.66,17.6,17.55,17.65
06-01-2023,17.52,17.52,17.48,17.57
07-01-2023,17.37,17.4,17.35,17.44
08-01-2023,17.24,17.24,17.2,17.29
09-01-2023,17.07,17.04,16.99,17.09
10-01-2023,16.77,16.79,16.75,16.84
11-01-2023,16.53,16.51,16.46,16.56
12-01-2023,16.22,16.22,16.17,16.26
01-01-2024,15.92,15.94,15.89,15.98
02-01-2024,15.64,15.65,15.6,15.7
03-01-2024,15.32,15.29,15.24,15.33
04-01-2024,14.89,14.87,14.82,14.91
05-01-2024,14.39,14.44,14.4,14.49
06-01-2024,14.03,14.04,13.99,14.09
07-01-2024,13.7,13.64,13.6,13.69
08-01-2024,13.22,13.24,13.19,13.29
09-01-2024,12.79,12.81,12.77,12.85
10-01-2024,12.38,12.37,12.32,12.42
11-01-2024,11.95,11.94,11.9,11.98
12-01-2024,11.54,11.54,11.49,11.59
01-01-2025,11.17,11.18,11.14,11.23
02-01-2025,10.88,10.88,10.83,10.93
03-01-2025,10.65,10.64,10.6,10.69
04-01-2025,10.44,10.45,10.4,10.5
05-01-2025,10.28,10.28,10.24,10.33
06-01-2025,10.14,10.12,10.07,10.17
07-01-2025,9.94,9.96,9.92,10.01
08-01-2025,9.82,9.82,9.77,9.86
09-01-2025,9.72,9.69,9.65,9.74
10-01-2025,9.56,9.6,9.55,9.64
11-01-2025,9.52,9.52,9.47,9.57
12-01-2025,9.48,9.45,9.41,9.5
01-01-2026,9.36,9.36,9.31,9.41
02-01-2026,9.23,9.23,9.18,9.27
03-01-2026,9.05,9.05,8.98,9.12
04-01-2026,NaN,8.86,8.69,9.03
05-01-2026,NaN,8.68,8.38,8.97
06-01-2026,NaN,8.49,8.07,8.91
07-01-2026,NaN,8.3,7.76,8.85
08-01-2026,NaN,8.12,7.45,8.79
09-01-2026,NaN,7.93,7.14,8.73
10-01-2026,NaN,7.75,6.82,8.67
11-01-2026,NaN,7.56,6.51,8.61
12-01-2026,NaN,7.37,6.2,8.55
01-01-2027,NaN,7.19,5.89,8.49
02-01-2027,NaN,7,5.57,8.43
03-01-2027,NaN,6.81,5.26,8.37
