Date,data,median,LB,UB
01-01-2020,14.16,14.25,13.99,14.48
02-01-2020,14.31,14.46,14.22,14.72
03-01-2020,14.49,14.67,14.43,14.91
04-01-2020,14.87,14.88,14.65,15.13
05-01-2020,15.26,15.09,14.84,15.32
06-01-2020,15.48,15.3,15.05,15.55
07-01-2020,15.68,15.51,15.28,15.76
08-01-2020,15.71,15.72,15.47,15.93
09-01-2020,15.9,15.82,15.58,16.06
10-01-2020,15.92,15.93,15.69,16.18
11-01-2020,16,16.03,15.79,16.28
12-01-2020,16.02,16.14,15.88,16.39
01-01-2021,16.23,16.24,16,16.49
02-01-2021,16.39,16.35,16.09,16.61
03-01-2021,16.59,16.45,16.2,16.7
04-01-2021,16.55,16.56,16.32,16.79
05-01-2021,16.54,16.66,16.4,16.9
06-01-2021,16.61,16.77,16.52,17
07-01-2021,16.7,16.87,16.63,17.11
08-01-2021,16.91,16.98,16.72,17.2
09-01-2021,17.1,17.08,16.84,17.33
10-01-2021,17.37,17.19,16.92,17.43
11-01-2021,17.4,17.27,17.04,17.51
12-01-2021,17.5,17.35,17.1,17.58
01-01-2022,17.49,17.43,17.17,17.67
02-01-2022,17.47,17.44,17.18,17.69
03-01-2022,17.48,17.45,17.21,17.68
04-01-2022,17.52,17.46,17.21,17.69
05-01-2022,17.39,17.46,17.2,17.71
06-01-2022,17.43,17.47,17.22,17.72
07-01-2022,17.4,17.48,17.23,17.72
08-01-2022,17.35,17.49,17.23,17.72
09-01-2022,17.27,17.49,17.25,17.75
10-01-2022,17.35,17.5,17.25,17.75
11-01-2022,17.46,17.51,17.27,17.73
12-01-2022,17.59,17.51,17.26,17.76
01-01-2023,17.63,17.52,17.27,17.77
02-01-2023,17.66,17.53,17.31,17.76
03-01-2023,17.54,17.54,17.31,17.78
04-01-2023,17.55,17.52,17.29,17.75
05-01-2023,17.66,17.51,17.27,17.76
06-01-2023,17.52,17.49,17.23,17.72
07-01-2023,17.37,17.48,17.25,17.71
08-01-2023,17.24,17.25,17,17.5
09-01-2023,17.07,17.02,16.8,17.27
10-01-2023,16.77,16.8,16.57,17.04
11-01-2023,16.53,16.52,16.27,16.75
12-01-2023,16.22,16.23,16.02,16.47
01-01-2024,15.92,15.92,15.7,16.15
02-01-2024,15.64,15.61,15.35,15.83
03-01-2024,15.32,15.3,15.05,15.54
04-01-2024,14.89,14.86,14.61,15.1
05-01-2024,14.39,14.42,14.18,14.66
06-01-2024,14.03,13.99,13.73,14.22
07-01-2024,13.7,13.55,13.3,13.8
08-01-2024,13.22,13.11,12.87,13.38
09-01-2024,12.79,12.68,12.44,12.91
10-01-2024,12.38,12.24,12,12.49
11-01-2024,11.95,11.8,11.57,12.04
12-01-2024,11.54,11.36,11.15,11.61
01-01-2025,11.17,11.19,10.95,11.42
02-01-2025,10.88,11.03,10.78,11.28
03-01-2025,10.65,10.86,10.62,11.1
04-01-2025,10.44,10.69,10.45,10.92
05-01-2025,10.28,10.52,10.28,10.76
06-01-2025,10.14,10.35,10.11,10.61
07-01-2025,9.94,10.18,9.93,10.42
08-01-2025,9.82,10.01,9.76,10.26
09-01-2025,9.72,9.84,9.62,10.1
10-01-2025,9.56,9.67,9.43,9.91
11-01-2025,9.52,9.5,9.25,9.74
12-01-2025,9.48,9.33,9.07,9.57
01-01-2026,9.36,9.16,8.92,9.39
02-01-2026,9.23,9,8.76,9.24
03-01-2026,9.05,8.83,8.59,9.07
04-01-2026,NaN,8.66,8.42,8.91
05-01-2026,NaN,8.49,8.24,8.76
06-01-2026,NaN,8.32,8.02,8.62
07-01-2026,NaN,8.15,7.79,8.47
08-01-2026,NaN,7.98,7.48,8.41
09-01-2026,NaN,7.81,7.23,8.35
10-01-2026,NaN,7.64,6.98,8.32
11-01-2026,NaN,7.47,6.64,8.28
12-01-2026,NaN,7.3,6.37,8.23
01-01-2027,NaN,7.13,5.99,8.28
02-01-2027,NaN,6.96,5.7,8.23
03-01-2027,NaN,6.8,5.34,8.31
