Date,data,median,LB,UB
01-01-2020,26.21,26.19,26.01,26.38
02-01-2020,26.74,26.69,26.56,26.82
03-01-2020,27.39,27.44,27.31,27.58
04-01-2020,28.37,28.54,28.42,28.67
05-01-2020,30.02,29.82,29.69,29.95
06-01-2020,31.05,31.07,30.95,31.19
07-01-2020,32.15,32.2,32.07,32.32
08-01-2020,33.13,33.12,33,33.25
09-01-2020,33.89,33.82,33.7,33.95
10-01-2020,34.38,34.38,34.25,34.51
11-01-2020,34.92,34.96,34.83,35.08
12-01-2020,35.58,35.65,35.53,35.78
01-01-2021,36.61,36.5,36.38,36.62
02-01-2021,37.27,37.4,37.27,37.53
03-01-2021,38.21,38.18,38.06,38.3
04-01-2021,38.96,38.73,38.6,38.87
05-01-2021,38.8,39,38.88,39.12
06-01-2021,39.19,39.16,39.03,39.29
07-01-2021,39.47,39.44,39.32,39.56
08-01-2021,39.81,39.87,39.74,40
09-01-2021,40.41,40.41,40.29,40.53
10-01-2021,40.99,40.95,40.82,41.08
11-01-2021,41.38,41.41,41.29,41.53
12-01-2021,41.87,41.77,41.64,41.9
01-01-2022,41.84,42.02,41.9,42.15
02-01-2022,42.22,42.13,42,42.25
03-01-2022,42.2,42.07,41.95,42.2
04-01-2022,41.8,41.92,41.79,42.05
05-01-2022,41.74,41.77,41.64,41.89
06-01-2022,41.73,41.76,41.63,41.88
07-01-2022,41.93,41.86,41.73,41.99
08-01-2022,41.96,41.92,41.8,42.04
09-01-2022,41.9,41.95,41.82,42.08
10-01-2022,42.04,42.07,41.95,42.19
11-01-2022,42.24,42.26,42.13,42.39
12-01-2022,42.5,42.45,42.33,42.57
01-01-2023,42.62,42.57,42.44,42.7
02-01-2023,42.55,42.61,42.49,42.73
03-01-2023,42.62,42.65,42.52,42.78
04-01-2023,42.76,42.77,42.65,42.89
05-01-2023,42.95,42.89,42.75,43.02
06-01-2023,42.92,42.9,42.78,43.02
07-01-2023,42.73,42.84,42.71,42.97
08-01-2023,42.78,42.71,42.58,42.83
09-01-2023,42.45,42.42,42.29,42.55
10-01-2023,41.94,41.97,41.84,42.09
11-01-2023,41.47,41.44,41.31,41.57
12-01-2023,40.8,40.89,40.76,41.01
01-01-2024,40.32,40.3,40.18,40.43
02-01-2024,39.76,39.64,39.51,39.77
03-01-2024,38.74,38.83,38.7,38.95
04-01-2024,37.94,37.91,37.77,38.04
05-01-2024,36.92,36.99,36.87,37.11
06-01-2024,36.08,36.05,35.92,36.18
07-01-2024,35.09,35.02,34.9,35.14
08-01-2024,33.9,33.94,33.8,34.07
09-01-2024,32.82,32.86,32.74,32.98
10-01-2024,31.85,31.83,31.69,31.96
11-01-2024,30.88,30.87,30.75,30.99
12-01-2024,29.98,29.99,29.86,30.12
01-01-2025,29.24,29.19,29.07,29.31
02-01-2025,28.4,28.51,28.38,28.64
03-01-2025,28.04,27.98,27.86,28.1
04-01-2025,27.51,27.5,27.37,27.63
05-01-2025,27,27.01,26.89,27.14
06-01-2025,26.52,26.54,26.41,26.66
07-01-2025,26.13,26.1,25.97,26.22
08-01-2025,25.71,25.73,25.61,25.86
09-01-2025,25.48,25.47,25.34,25.6
10-01-2025,25.28,25.32,25.2,25.45
11-01-2025,25.23,25.22,25.09,25.35
12-01-2025,25.11,25.02,24.9,25.14
01-01-2026,24.58,24.68,24.55,24.82
02-01-2026,24.28,24.19,24.06,24.31
03-01-2026,23.52,23.56,23.38,23.75
04-01-2026,NaN,22.89,22.46,23.31
05-01-2026,NaN,22.21,21.5,22.92
06-01-2026,NaN,21.54,20.54,22.53
07-01-2026,NaN,20.86,19.57,22.15
08-01-2026,NaN,20.18,18.6,21.77
09-01-2026,NaN,19.51,17.63,21.38
10-01-2026,NaN,18.83,16.66,21
11-01-2026,NaN,18.15,15.69,20.62
12-01-2026,NaN,17.48,14.72,20.24
01-01-2027,NaN,16.8,13.75,19.86
02-01-2027,NaN,16.13,12.78,19.48
03-01-2027,NaN,15.45,11.81,19.1
