Date,data,median,LB,UB
01-01-2020,26.21,25.92,25.38,26.45
02-01-2020,26.74,26.91,26.36,27.47
03-01-2020,27.39,27.9,27.36,28.44
04-01-2020,28.37,28.89,28.37,29.41
05-01-2020,30.02,29.88,29.3,30.4
06-01-2020,31.05,30.87,30.32,31.39
07-01-2020,32.15,31.86,31.31,32.43
08-01-2020,33.13,32.86,32.32,33.41
09-01-2020,33.89,33.6,33.01,34.16
10-01-2020,34.38,34.35,33.82,34.9
11-01-2020,34.92,35.1,34.59,35.65
12-01-2020,35.58,35.85,35.33,36.38
01-01-2021,36.61,36.59,36.07,37.13
02-01-2021,37.27,37.34,36.79,37.9
03-01-2021,38.21,38.09,37.54,38.63
04-01-2021,38.96,38.49,37.96,39.04
05-01-2021,38.8,38.89,38.36,39.41
06-01-2021,39.19,39.29,38.78,39.81
07-01-2021,39.47,39.69,39.17,40.22
08-01-2021,39.81,40.08,39.53,40.6
09-01-2021,40.41,40.48,39.95,40.99
10-01-2021,40.99,40.88,40.33,41.4
11-01-2021,41.38,41.18,40.65,41.69
12-01-2021,41.87,41.47,40.92,41.96
01-01-2022,41.84,41.76,41.22,42.28
02-01-2022,42.22,41.82,41.31,42.39
03-01-2022,42.2,41.88,41.34,42.42
04-01-2022,41.8,41.94,41.38,42.53
05-01-2022,41.74,42,41.48,42.54
06-01-2022,41.73,42.06,41.55,42.57
07-01-2022,41.93,42.12,41.61,42.65
08-01-2022,41.96,42.18,41.67,42.69
09-01-2022,41.9,42.24,41.66,42.76
10-01-2022,42.04,42.3,41.77,42.86
11-01-2022,42.24,42.36,41.82,42.87
12-01-2022,42.5,42.42,41.93,42.98
01-01-2023,42.62,42.48,41.95,43.01
02-01-2023,42.55,42.54,42.02,43.12
03-01-2023,42.62,42.6,42.09,43.14
04-01-2023,42.76,42.66,42.15,43.17
05-01-2023,42.95,42.72,42.23,43.24
06-01-2023,42.92,42.78,42.21,43.32
07-01-2023,42.73,42.84,42.3,43.37
08-01-2023,42.78,42.59,42.08,43.14
09-01-2023,42.45,42.33,41.81,42.88
10-01-2023,41.94,42.07,41.54,42.64
11-01-2023,41.47,41.49,40.92,42.03
12-01-2023,40.8,40.9,40.37,41.41
01-01-2024,40.32,40.24,39.69,40.77
02-01-2024,39.76,39.58,39.02,40.14
03-01-2024,38.74,38.91,38.35,39.41
04-01-2024,37.94,37.89,37.36,38.45
05-01-2024,36.92,36.87,36.38,37.42
06-01-2024,36.08,35.83,35.28,36.35
07-01-2024,35.09,34.79,34.22,35.29
08-01-2024,33.9,33.75,33.19,34.34
09-01-2024,32.82,32.71,32.19,33.27
10-01-2024,31.85,31.66,31.11,32.17
11-01-2024,30.88,30.62,30.08,31.18
12-01-2024,29.98,29.58,29.05,30.08
01-01-2025,29.24,29.17,28.66,29.67
02-01-2025,28.4,28.75,28.24,29.27
03-01-2025,28.04,28.33,27.81,28.88
04-01-2025,27.51,27.92,27.41,28.45
05-01-2025,27,27.5,26.98,28.04
06-01-2025,26.52,27.08,26.56,27.64
07-01-2025,26.13,26.67,26.13,27.17
08-01-2025,25.71,26.25,25.73,26.75
09-01-2025,25.48,25.83,25.31,26.37
10-01-2025,25.28,25.42,24.88,25.96
11-01-2025,25.23,25,24.48,25.48
12-01-2025,25.11,24.58,24.06,25.13
01-01-2026,24.58,24.17,23.65,24.69
02-01-2026,24.28,23.75,23.23,24.32
03-01-2026,23.52,23.33,22.85,23.89
04-01-2026,NaN,22.92,22.38,23.52
05-01-2026,NaN,22.5,21.9,23.11
06-01-2026,NaN,22.08,21.35,22.84
07-01-2026,NaN,21.67,20.68,22.66
08-01-2026,NaN,21.25,19.85,22.52
09-01-2026,NaN,20.84,19.17,22.57
10-01-2026,NaN,20.42,18.34,22.61
11-01-2026,NaN,20,17.58,22.61
12-01-2026,NaN,19.59,16.65,22.58
01-01-2027,NaN,19.17,15.58,22.78
02-01-2027,NaN,18.75,14.77,23.07
03-01-2027,NaN,18.34,13.8,23.09
