Date,data,median,LB,UB
01-01-2020,14.24,14.22,14.1,14.34
02-01-2020,14.41,14.42,14.33,14.5
03-01-2020,14.7,14.72,14.63,14.81
04-01-2020,15.15,15.17,15.09,15.25
05-01-2020,15.78,15.7,15.62,15.79
06-01-2020,16.23,16.29,16.21,16.37
07-01-2020,16.87,16.91,16.83,17
08-01-2020,17.64,17.53,17.45,17.61
09-01-2020,17.99,18.03,17.95,18.12
10-01-2020,18.43,18.42,18.34,18.51
11-01-2020,18.82,18.81,18.73,18.89
12-01-2020,19.18,19.25,19.17,19.34
01-01-2021,19.82,19.74,19.66,19.82
02-01-2021,20.22,20.24,20.16,20.33
03-01-2021,20.7,20.71,20.62,20.79
04-01-2021,21.15,21.12,21.04,21.21
05-01-2021,21.47,21.51,21.43,21.59
06-01-2021,21.87,21.85,21.76,21.94
07-01-2021,22.17,22.11,22.03,22.19
08-01-2021,22.3,22.37,22.29,22.46
09-01-2021,22.69,22.68,22.6,22.76
10-01-2021,23.01,22.99,22.9,23.08
11-01-2021,23.25,23.23,23.15,23.31
12-01-2021,23.45,23.43,23.34,23.51
01-01-2022,23.49,23.59,23.5,23.67
02-01-2022,23.75,23.7,23.61,23.78
03-01-2022,23.78,23.75,23.66,23.83
04-01-2022,23.67,23.7,23.61,23.78
05-01-2022,23.59,23.59,23.5,23.67
06-01-2022,23.49,23.52,23.44,23.61
07-01-2022,23.57,23.53,23.45,23.62
08-01-2022,23.55,23.58,23.5,23.66
09-01-2022,23.74,23.68,23.59,23.77
10-01-2022,23.81,23.85,23.77,23.93
11-01-2022,24.02,24.1,24.01,24.18
12-01-2022,24.48,24.4,24.32,24.48
01-01-2023,24.76,24.7,24.61,24.79
02-01-2023,24.85,24.97,24.89,25.05
03-01-2023,25.25,25.25,25.16,25.34
04-01-2023,25.66,25.61,25.53,25.69
05-01-2023,26.01,25.99,25.9,26.07
06-01-2023,26.24,26.33,26.25,26.41
07-01-2023,26.65,26.62,26.53,26.71
08-01-2023,26.91,26.83,26.75,26.91
09-01-2023,26.87,26.96,26.87,27.04
10-01-2023,26.99,26.99,26.91,27.08
11-01-2023,27,26.95,26.86,27.03
12-01-2023,26.83,26.85,26.77,26.94
01-01-2024,26.7,26.75,26.67,26.83
02-01-2024,26.69,26.63,26.54,26.71
03-01-2024,26.43,26.41,26.32,26.49
04-01-2024,26.09,26.12,26.03,26.2
05-01-2024,25.75,25.83,25.75,25.91
06-01-2024,25.59,25.48,25.39,25.56
07-01-2024,24.95,24.95,24.87,25.03
08-01-2024,24.28,24.33,24.24,24.42
09-01-2024,23.78,23.78,23.7,23.86
10-01-2024,23.35,23.34,23.26,23.43
11-01-2024,23.03,23.02,22.94,23.1
12-01-2024,22.8,22.81,22.72,22.9
01-01-2025,22.71,22.69,22.61,22.77
02-01-2025,22.63,22.66,22.58,22.75
03-01-2025,22.68,22.7,22.61,22.78
04-01-2025,22.71,22.67,22.59,22.76
05-01-2025,22.61,22.56,22.47,22.64
06-01-2025,22.39,22.42,22.34,22.51
07-01-2025,22.24,22.34,22.25,22.42
08-01-2025,22.41,22.34,22.26,22.42
09-01-2025,22.41,22.38,22.29,22.46
10-01-2025,22.31,22.34,22.26,22.42
11-01-2025,22.18,22.19,22.1,22.28
12-01-2025,21.99,21.97,21.88,22.05
01-01-2026,21.62,21.65,21.56,21.74
02-01-2026,21.28,21.24,21.15,21.32
03-01-2026,20.7,20.73,20.6,20.85
04-01-2026,NaN,20.18,19.89,20.47
05-01-2026,NaN,19.63,19.14,20.12
06-01-2026,NaN,19.08,18.39,19.77
07-01-2026,NaN,18.54,17.64,19.43
08-01-2026,NaN,17.99,16.89,19.08
09-01-2026,NaN,17.44,16.14,18.74
10-01-2026,NaN,16.89,15.39,18.39
11-01-2026,NaN,16.34,14.64,18.05
12-01-2026,NaN,15.8,13.88,17.71
01-01-2027,NaN,15.25,13.13,17.37
02-01-2027,NaN,14.7,12.38,17.02
03-01-2027,NaN,14.15,11.63,16.68
