Date,data,median,LB,UB
01-01-2020,14.24,13.98,13.6,14.35
02-01-2020,14.41,14.46,14.07,14.81
03-01-2020,14.7,14.94,14.55,15.35
04-01-2020,15.15,15.42,15.03,15.79
05-01-2020,15.78,15.9,15.54,16.29
06-01-2020,16.23,16.39,16.01,16.76
07-01-2020,16.87,16.87,16.49,17.24
08-01-2020,17.64,17.35,17,17.71
09-01-2020,17.99,17.83,17.47,18.23
10-01-2020,18.43,18.31,17.95,18.68
11-01-2020,18.82,18.79,18.43,19.17
12-01-2020,19.18,19.27,18.89,19.63
01-01-2021,19.82,19.75,19.37,20.1
02-01-2021,20.22,20.23,19.86,20.61
03-01-2021,20.7,20.71,20.34,21.08
04-01-2021,21.15,21.09,20.71,21.46
05-01-2021,21.47,21.46,21.11,21.85
06-01-2021,21.87,21.84,21.42,22.22
07-01-2021,22.17,22.14,21.77,22.51
08-01-2021,22.3,22.44,22.04,22.83
09-01-2021,22.69,22.73,22.35,23.15
10-01-2021,23.01,23.03,22.65,23.41
11-01-2021,23.25,23.16,22.79,23.52
12-01-2021,23.45,23.28,22.9,23.65
01-01-2022,23.49,23.41,23.05,23.78
02-01-2022,23.75,23.47,23.09,23.86
03-01-2022,23.78,23.53,23.13,23.88
04-01-2022,23.67,23.59,23.21,23.95
05-01-2022,23.59,23.65,23.27,24.03
06-01-2022,23.49,23.71,23.34,24.12
07-01-2022,23.57,23.77,23.4,24.13
08-01-2022,23.55,23.83,23.44,24.24
09-01-2022,23.74,23.89,23.49,24.24
10-01-2022,23.81,23.95,23.57,24.32
11-01-2022,24.02,24.22,23.85,24.59
12-01-2022,24.48,24.5,24.12,24.86
01-01-2023,24.76,24.77,24.36,25.15
02-01-2023,24.85,25.05,24.64,25.44
03-01-2023,25.25,25.33,24.95,25.7
04-01-2023,25.66,25.6,25.22,25.97
05-01-2023,26.01,25.88,25.5,26.27
06-01-2023,26.24,26.15,25.78,26.52
07-01-2023,26.65,26.43,26.05,26.78
08-01-2023,26.91,26.65,26.26,27.02
09-01-2023,26.87,26.87,26.49,27.24
10-01-2023,26.99,27.09,26.71,27.44
11-01-2023,27,26.99,26.63,27.36
12-01-2023,26.83,26.88,26.53,27.27
01-01-2024,26.7,26.7,26.31,27.06
02-01-2024,26.69,26.52,26.15,26.92
03-01-2024,26.43,26.34,25.97,26.71
04-01-2024,26.09,25.96,25.58,26.33
05-01-2024,25.75,25.58,25.21,25.98
06-01-2024,25.59,25.21,24.83,25.6
07-01-2024,24.95,24.83,24.44,25.21
08-01-2024,24.28,24.45,24.07,24.83
09-01-2024,23.78,24.08,23.71,24.48
10-01-2024,23.35,23.7,23.33,24.09
11-01-2024,23.03,23.37,22.99,23.74
12-01-2024,22.8,23.04,22.66,23.44
01-01-2025,22.71,22.93,22.56,23.31
02-01-2025,22.63,22.82,22.43,23.19
03-01-2025,22.68,22.71,22.34,23.12
04-01-2025,22.71,22.6,22.2,22.97
05-01-2025,22.61,22.49,22.11,22.86
06-01-2025,22.39,22.38,22.02,22.75
07-01-2025,22.24,22.27,21.86,22.67
08-01-2025,22.41,22.16,21.81,22.56
09-01-2025,22.41,22.06,21.69,22.46
10-01-2025,22.31,21.95,21.55,22.3
11-01-2025,22.18,21.84,21.46,22.23
12-01-2025,21.99,21.73,21.35,22.11
01-01-2026,21.62,21.62,21.25,22.01
02-01-2026,21.28,21.51,21.12,21.89
03-01-2026,20.7,21.4,21.01,21.8
04-01-2026,NaN,21.29,20.89,21.71
05-01-2026,NaN,21.18,20.79,21.58
06-01-2026,NaN,21.08,20.61,21.56
07-01-2026,NaN,20.97,20.39,21.58
08-01-2026,NaN,20.86,20.06,21.66
09-01-2026,NaN,20.75,19.74,21.72
10-01-2026,NaN,20.64,19.43,21.87
11-01-2026,NaN,20.53,19.12,21.88
12-01-2026,NaN,20.42,18.76,22.12
01-01-2027,NaN,20.31,18.42,22.16
02-01-2027,NaN,20.21,18.05,22.33
03-01-2027,NaN,20.1,17.57,22.59
