Date,data,median,LB,UB
01-01-2020,15.93,NA,NA,NA
02-01-2020,16.27,NA,NA,NA
03-01-2020,16.45,NA,NA,NA
04-01-2020,16.95,NA,NA,NA
05-01-2020,17.75,NA,NA,NA
06-01-2020,18.32,NA,NA,NA
07-01-2020,18.66,NA,NA,NA
08-01-2020,18.89,NA,NA,NA
09-01-2020,19.11,NA,NA,NA
10-01-2020,19.32,NA,NA,NA
11-01-2020,19.38,NA,NA,NA
12-01-2020,19.57,NA,NA,NA
01-01-2021,19.91,NA,NA,NA
02-01-2021,19.99,NA,NA,NA
03-01-2021,20.4,NA,NA,NA
04-01-2021,20.73,NA,NA,NA
05-01-2021,20.48,NA,NA,NA
06-01-2021,20.45,NA,NA,NA
07-01-2021,20.66,NA,NA,NA
08-01-2021,21.04,NA,NA,NA
09-01-2021,21.27,NA,NA,NA
10-01-2021,21.49,NA,NA,NA
11-01-2021,21.8,NA,NA,NA
12-01-2021,21.98,NA,NA,NA
01-01-2022,22.18,NA,NA,NA
02-01-2022,22.36,NA,NA,NA
03-01-2022,22.3,NA,NA,NA
04-01-2022,21.96,NA,NA,NA
05-01-2022,21.82,NA,NA,NA
06-01-2022,21.8,NA,NA,NA
07-01-2022,21.71,NA,NA,NA
08-01-2022,21.62,NA,NA,NA
09-01-2022,21.52,NA,NA,NA
10-01-2022,21.6,NA,NA,NA
11-01-2022,21.61,NA,NA,NA
12-01-2022,21.7,NA,NA,NA
01-01-2023,21.6,NA,NA,NA
02-01-2023,21.51,NA,NA,NA
03-01-2023,21.5,NA,NA,NA
04-01-2023,21.59,NA,NA,NA
05-01-2023,21.6,NA,NA,NA
06-01-2023,21.53,NA,NA,NA
07-01-2023,21.38,NA,NA,NA
08-01-2023,21.25,NA,NA,NA
09-01-2023,21.08,NA,NA,NA
10-01-2023,20.77,NA,NA,NA
11-01-2023,20.38,NA,NA,NA
12-01-2023,19.93,NA,NA,NA
01-01-2024,19.51,NA,NA,NA
02-01-2024,19.18,NA,NA,NA
03-01-2024,18.66,NA,NA,NA
04-01-2024,18.18,NA,NA,NA
05-01-2024,17.72,NA,NA,NA
06-01-2024,17.23,NA,NA,NA
07-01-2024,16.74,NA,NA,NA
08-01-2024,16.19,NA,NA,NA
09-01-2024,15.71,NA,NA,NA
10-01-2024,15.17,NA,NA,NA
11-01-2024,14.72,NA,NA,NA
12-01-2024,14.29,NA,NA,NA
01-01-2025,14,NA,NA,NA
02-01-2025,13.78,NA,NA,NA
03-01-2025,13.57,NA,NA,NA
04-01-2025,13.23,NA,NA,NA
05-01-2025,12.94,NA,NA,NA
06-01-2025,12.8,NA,NA,NA
07-01-2025,12.61,NA,NA,NA
08-01-2025,12.4,NA,NA,NA
09-01-2025,12.19,NA,NA,NA
10-01-2025,12.08,NA,NA,NA
11-01-2025,11.89,NA,NA,NA
12-01-2025,NaN,11.66,11.39,11.94
01-01-2026,NaN,11.47,10.88,12.07
02-01-2026,NaN,11.3,10.41,12.19
03-01-2026,NaN,11.1,9.9,12.31
04-01-2026,NaN,10.91,9.32,12.49
05-01-2026,NaN,10.72,8.72,12.71
06-01-2026,NaN,10.53,8.1,12.95
07-01-2026,NaN,10.34,7.45,13.22
08-01-2026,NaN,10.14,6.77,13.52
09-01-2026,NaN,9.95,6.06,13.84
10-01-2026,NaN,9.76,5.33,14.19
11-01-2026,NaN,9.57,4.58,14.56
12-01-2026,NaN,9.38,3.81,14.95
