Date,data,median,LB,UB
01-01-2020,15.93,15.94,15.85,16.04
02-01-2020,16.27,16.25,16.16,16.34
03-01-2020,16.45,16.43,16.35,16.51
04-01-2020,16.95,17.01,16.94,17.08
05-01-2020,17.75,17.71,17.64,17.79
06-01-2020,18.32,18.29,18.22,18.35
07-01-2020,18.66,18.68,18.61,18.75
08-01-2020,18.89,18.92,18.85,18.99
09-01-2020,19.11,19.1,19.03,19.16
10-01-2020,19.32,19.26,19.19,19.33
11-01-2020,19.38,19.43,19.37,19.5
12-01-2020,19.57,19.62,19.54,19.69
01-01-2021,19.91,19.8,19.74,19.87
02-01-2021,19.99,20.05,19.98,20.13
03-01-2021,20.4,20.41,20.35,20.48
04-01-2021,20.73,20.66,20.59,20.74
05-01-2021,20.48,20.55,20.49,20.62
06-01-2021,20.45,20.42,20.35,20.5
07-01-2021,20.66,20.65,20.59,20.71
08-01-2021,21.04,21.03,20.95,21.1
09-01-2021,21.27,21.29,21.23,21.36
10-01-2021,21.49,21.51,21.43,21.58
11-01-2021,21.8,21.74,21.67,21.8
12-01-2021,21.98,22,21.92,22.07
01-01-2022,22.18,22.23,22.17,22.3
02-01-2022,22.36,22.33,22.26,22.4
03-01-2022,22.3,22.23,22.17,22.3
04-01-2022,21.96,22.03,21.96,22.1
05-01-2022,21.82,21.83,21.75,21.9
06-01-2022,21.8,21.74,21.68,21.81
07-01-2022,21.71,21.73,21.65,21.8
08-01-2022,21.62,21.63,21.57,21.7
09-01-2022,21.52,21.53,21.45,21.6
10-01-2022,21.6,21.56,21.5,21.63
11-01-2022,21.61,21.66,21.58,21.73
12-01-2022,21.7,21.67,21.61,21.73
01-01-2023,21.6,21.61,21.53,21.68
02-01-2023,21.51,21.52,21.46,21.58
03-01-2023,21.5,21.5,21.42,21.57
04-01-2023,21.59,21.58,21.52,21.65
05-01-2023,21.6,21.61,21.54,21.69
06-01-2023,21.53,21.51,21.45,21.58
07-01-2023,21.38,21.38,21.31,21.45
08-01-2023,21.25,21.26,21.19,21.32
09-01-2023,21.08,21.07,21,21.14
10-01-2023,20.77,20.78,20.71,20.85
11-01-2023,20.38,20.38,20.31,20.44
12-01-2023,19.93,19.92,19.85,20
01-01-2024,19.51,19.53,19.46,19.59
02-01-2024,19.18,19.15,19.08,19.22
03-01-2024,18.66,18.69,18.62,18.75
04-01-2024,18.18,18.17,18.1,18.25
05-01-2024,17.72,17.71,17.64,17.77
06-01-2024,17.23,17.24,17.17,17.32
07-01-2024,16.74,16.73,16.67,16.79
08-01-2024,16.19,16.2,16.12,16.27
09-01-2024,15.71,15.69,15.63,15.76
10-01-2024,15.17,15.19,15.12,15.27
11-01-2024,14.72,14.7,14.63,14.76
12-01-2024,14.29,14.29,14.22,14.37
01-01-2025,14,14.01,13.94,14.08
02-01-2025,13.78,13.78,13.71,13.85
03-01-2025,13.57,13.54,13.47,13.61
04-01-2025,13.23,13.26,13.19,13.32
05-01-2025,12.94,12.96,12.89,13.04
06-01-2025,12.8,12.76,12.7,12.83
07-01-2025,12.61,12.62,12.54,12.69
08-01-2025,12.4,12.41,12.34,12.47
09-01-2025,12.19,12.19,12.11,12.27
10-01-2025,12.08,12.07,11.98,12.16
11-01-2025,11.89,11.89,11.8,11.99
12-01-2025,NaN,11.56,11.12,12.01
01-01-2026,NaN,11.23,10.39,12.07
02-01-2026,NaN,10.9,9.66,12.14
03-01-2026,NaN,10.57,8.93,12.21
04-01-2026,NaN,10.24,8.21,12.28
05-01-2026,NaN,9.91,7.48,12.34
06-01-2026,NaN,9.58,6.75,12.41
07-01-2026,NaN,9.25,6.02,12.48
08-01-2026,NaN,8.92,5.29,12.55
09-01-2026,NaN,8.59,4.56,12.62
10-01-2026,NaN,8.26,3.83,12.68
11-01-2026,NaN,7.93,3.1,12.75
12-01-2026,NaN,7.6,2.37,12.82
