Date,data,median,LB,UB
01-01-2020,15.93,16,15.58,16.43
02-01-2020,16.27,16.4,15.97,16.81
03-01-2020,16.45,16.8,16.38,17.21
04-01-2020,16.95,17.21,16.78,17.64
05-01-2020,17.75,17.61,17.21,18.05
06-01-2020,18.32,18.01,17.58,18.46
07-01-2020,18.66,18.41,17.98,18.78
08-01-2020,18.89,18.81,18.43,19.23
09-01-2020,19.11,19.04,18.6,19.45
10-01-2020,19.32,19.26,18.86,19.71
11-01-2020,19.38,19.45,19.03,19.85
12-01-2020,19.57,19.64,19.22,20.04
01-01-2021,19.91,19.83,19.41,20.27
02-01-2021,19.99,20.01,19.6,20.45
03-01-2021,20.4,20.2,19.79,20.6
04-01-2021,20.73,20.39,19.99,20.79
05-01-2021,20.48,20.58,20.16,21.02
06-01-2021,20.45,20.76,20.33,21.16
07-01-2021,20.66,20.95,20.52,21.37
08-01-2021,21.04,21.14,20.71,21.55
09-01-2021,21.27,21.33,20.94,21.72
10-01-2021,21.49,21.51,21.07,21.92
11-01-2021,21.8,21.7,21.29,22.11
12-01-2021,21.98,21.89,21.46,22.34
01-01-2022,22.18,22.08,21.67,22.47
02-01-2022,22.36,22.04,21.6,22.47
03-01-2022,22.3,22,21.61,22.4
04-01-2022,21.96,21.96,21.56,22.38
05-01-2022,21.82,21.92,21.5,22.31
06-01-2022,21.8,21.88,21.44,22.28
07-01-2022,21.71,21.84,21.46,22.26
08-01-2022,21.62,21.8,21.37,22.22
09-01-2022,21.52,21.76,21.33,22.21
10-01-2022,21.6,21.72,21.33,22.12
11-01-2022,21.61,21.68,21.28,22.1
12-01-2022,21.7,21.64,21.22,22.06
01-01-2023,21.6,21.61,21.19,22.03
02-01-2023,21.51,21.57,21.13,21.99
03-01-2023,21.5,21.53,21.1,21.91
04-01-2023,21.59,21.49,21.07,21.87
05-01-2023,21.6,21.45,21.04,21.86
06-01-2023,21.53,21.41,21.01,21.82
07-01-2023,21.38,21.37,20.95,21.77
08-01-2023,21.25,21.24,20.84,21.67
09-01-2023,21.08,21.1,20.67,21.51
10-01-2023,20.77,20.74,20.35,21.16
11-01-2023,20.38,20.38,20.01,20.84
12-01-2023,19.93,19.9,19.49,20.31
01-01-2024,19.51,19.42,18.98,19.83
02-01-2024,19.18,18.94,18.55,19.33
03-01-2024,18.66,18.45,18.02,18.87
04-01-2024,18.18,17.97,17.55,18.38
05-01-2024,17.72,17.49,17.06,17.88
06-01-2024,17.23,17.01,16.59,17.4
07-01-2024,16.74,16.52,16.12,16.98
08-01-2024,16.19,16.04,15.64,16.43
09-01-2024,15.71,15.73,15.31,16.15
10-01-2024,15.17,15.41,14.99,15.83
11-01-2024,14.72,15.1,14.69,15.5
12-01-2024,14.29,14.79,14.38,15.21
01-01-2025,14,14.47,14.06,14.9
02-01-2025,13.78,14.16,13.74,14.6
03-01-2025,13.57,13.84,13.4,14.24
04-01-2025,13.23,13.53,13.12,13.95
05-01-2025,12.94,13.22,12.78,13.62
06-01-2025,12.8,12.9,12.5,13.32
07-01-2025,12.61,12.59,12.18,12.98
08-01-2025,12.4,12.28,11.87,12.69
09-01-2025,12.19,11.96,11.57,12.37
10-01-2025,12.08,11.65,11.24,12.06
11-01-2025,11.89,11.34,10.94,11.74
12-01-2025,NaN,11.02,10.61,11.46
01-01-2026,NaN,10.71,10.29,11.13
02-01-2026,NaN,10.39,9.94,10.85
03-01-2026,NaN,10.08,9.53,10.57
04-01-2026,NaN,9.77,9.13,10.41
05-01-2026,NaN,9.45,8.66,10.21
06-01-2026,NaN,9.14,8.23,10.09
07-01-2026,NaN,8.83,7.72,9.86
08-01-2026,NaN,8.51,7.27,9.81
09-01-2026,NaN,8.2,6.75,9.64
10-01-2026,NaN,7.88,6.28,9.65
11-01-2026,NaN,7.57,5.79,9.45
12-01-2026,NaN,7.26,5.26,9.34
