Date,data,median,LB,UB
01-01-2020,72.12,72.16,71.81,72.51
02-01-2020,73.34,73.16,72.91,73.42
03-01-2020,74.68,74.78,74.52,75.05
04-01-2020,77.02,77.33,77.09,77.56
05-01-2020,80.58,80.22,79.96,80.48
06-01-2020,82.92,82.94,82.7,83.18
07-01-2020,85.24,85.33,85.08,85.58
08-01-2020,87.29,87.3,87.06,87.55
09-01-2020,88.88,88.82,88.57,89.07
10-01-2020,90.09,90.03,89.78,90.28
11-01-2020,91.2,91.25,91,91.49
12-01-2020,92.48,92.68,92.43,92.94
01-01-2021,94.79,94.46,94.23,94.7
02-01-2021,96.12,96.4,96.14,96.66
03-01-2021,98.21,98.16,97.93,98.4
04-01-2021,99.77,99.43,99.17,99.69
05-01-2021,99.68,100.04,99.81,100.27
06-01-2021,100.57,100.5,100.24,100.77
07-01-2021,101.48,101.4,101.17,101.63
08-01-2021,102.61,102.68,102.41,102.94
09-01-2021,104.1,104.12,103.89,104.36
10-01-2021,105.53,105.47,105.21,105.74
11-01-2021,106.55,106.57,106.33,106.8
12-01-2021,107.57,107.45,107.19,107.7
01-01-2022,107.8,108.12,107.87,108.36
02-01-2022,108.64,108.46,108.21,108.71
03-01-2022,108.6,108.4,108.16,108.65
04-01-2022,107.78,107.99,107.74,108.23
05-01-2022,107.43,107.48,107.22,107.73
06-01-2022,107.37,107.35,107.11,107.59
07-01-2022,107.58,107.5,107.24,107.75
08-01-2022,107.47,107.48,107.24,107.71
09-01-2022,107.43,107.46,107.2,107.72
10-01-2022,107.82,107.85,107.61,108.08
11-01-2022,108.43,108.54,108.27,108.8
12-01-2022,109.41,109.23,109,109.47
01-01-2023,109.75,109.7,109.43,109.96
02-01-2023,109.71,109.85,109.61,110.08
03-01-2023,110.08,110.11,109.85,110.37
04-01-2023,110.77,110.76,110.52,110.99
05-01-2023,111.42,111.32,111.06,111.58
06-01-2023,111.47,111.51,111.27,111.75
07-01-2023,111.38,111.49,111.24,111.74
08-01-2023,111.45,111.31,111.07,111.56
09-01-2023,110.72,110.76,110.51,111
10-01-2023,109.7,109.75,109.5,110
11-01-2023,108.53,108.42,108.17,108.66
12-01-2023,106.88,106.97,106.71,107.23
01-01-2024,105.52,105.62,105.38,105.86
02-01-2024,104.36,104.17,103.91,104.43
03-01-2024,102.17,102.24,102,102.47
04-01-2024,100.05,100.01,99.74,100.27
05-01-2024,97.69,97.86,97.63,98.09
06-01-2024,95.74,95.64,95.37,95.9
07-01-2024,93.19,93.07,92.84,93.3
08-01-2024,90.2,90.33,90.07,90.59
09-01-2024,87.65,87.66,87.42,87.89
10-01-2024,85.18,85.16,84.9,85.42
11-01-2024,82.95,82.91,82.67,83.15
12-01-2024,80.86,80.92,80.66,81.17
01-01-2025,79.29,79.22,78.97,79.46
02-01-2025,77.74,77.87,77.62,78.13
03-01-2025,76.9,76.8,76.55,77.05
04-01-2025,75.71,75.71,75.46,75.95
05-01-2025,74.48,74.5,74.25,74.76
06-01-2025,73.33,73.31,73.07,73.55
07-01-2025,72.19,72.22,71.96,72.48
08-01-2025,71.25,71.25,71.01,71.49
09-01-2025,70.38,70.35,70.08,70.61
10-01-2025,69.37,69.39,69.13,69.64
11-01-2025,68.37,68.37,68.02,68.72
12-01-2025,NaN,67.35,66.39,68.3
01-01-2026,NaN,66.32,64.66,67.98
02-01-2026,NaN,65.29,62.91,67.68
03-01-2026,NaN,64.27,61.16,67.38
04-01-2026,NaN,63.24,59.4,67.09
05-01-2026,NaN,62.22,57.65,66.79
06-01-2026,NaN,61.19,55.89,66.49
07-01-2026,NaN,60.17,54.14,66.2
08-01-2026,NaN,59.14,52.38,65.91
09-01-2026,NaN,58.12,50.62,65.61
10-01-2026,NaN,57.09,48.87,65.32
11-01-2026,NaN,56.07,47.11,65.02
12-01-2026,NaN,55.04,45.36,64.73
