Date,data,median,LB,UB
01-01-2020,72.12,72.1,70.05,73.98
02-01-2020,73.34,74.13,72.13,76.09
03-01-2020,74.68,76.16,74.24,78.14
04-01-2020,77.02,78.18,76.33,80.32
05-01-2020,80.58,80.21,78.05,82.23
06-01-2020,82.92,82.24,80.48,84.27
07-01-2020,85.24,84.27,82.09,86.23
08-01-2020,87.29,86.29,84.22,88.31
09-01-2020,88.88,88.09,86.17,90.13
10-01-2020,90.09,89.89,87.72,91.87
11-01-2020,91.2,91.53,89.51,93.64
12-01-2020,92.48,93.17,91.24,95.06
01-01-2021,94.79,94.8,92.7,96.83
02-01-2021,96.12,96.44,94.33,98.5
03-01-2021,98.21,97.55,95.6,99.47
04-01-2021,99.77,98.67,96.54,100.79
05-01-2021,99.68,99.79,97.71,101.65
06-01-2021,100.57,100.9,98.88,102.77
07-01-2021,101.48,102.02,100.04,103.95
08-01-2021,102.61,103.13,100.87,105.09
09-01-2021,104.1,104.25,102.21,106.33
10-01-2021,105.53,105.36,103.37,107.45
11-01-2021,106.55,106.47,104.39,108.47
12-01-2021,107.57,106.78,104.8,108.68
01-01-2022,107.8,107.08,105.16,108.96
02-01-2022,108.64,107.29,105.34,109.3
03-01-2022,108.6,107.5,105.42,109.48
04-01-2022,107.78,107.71,105.78,109.7
05-01-2022,107.43,107.92,105.84,110
06-01-2022,107.37,108.13,106.22,110.11
07-01-2022,107.58,108.34,106.37,110.32
08-01-2022,107.47,108.55,106.51,110.47
09-01-2022,107.43,108.76,106.85,110.67
10-01-2022,107.82,108.97,107.1,110.88
11-01-2022,108.43,109.18,107.2,111.21
12-01-2022,109.41,109.39,107.51,111.42
01-01-2023,109.75,109.6,107.6,111.61
02-01-2023,109.71,109.81,107.58,111.67
03-01-2023,110.08,110.02,107.93,112.12
04-01-2023,110.77,110.23,108.34,112.33
05-01-2023,111.42,110.44,108.47,112.48
06-01-2023,111.47,110.65,108.75,112.73
07-01-2023,111.38,110.86,108.92,112.8
08-01-2023,111.45,111.07,109.08,112.97
09-01-2023,110.72,111.28,109.15,113.35
10-01-2023,109.7,109.85,107.9,111.9
11-01-2023,108.53,108.42,106.39,110.34
12-01-2023,106.88,106.96,104.91,109.05
01-01-2024,105.52,105.5,103.48,107.38
02-01-2024,104.36,103.24,101.23,105.16
03-01-2024,102.17,100.97,99.12,103.03
04-01-2024,100.05,98.7,96.73,100.73
05-01-2024,97.69,96.43,94.51,98.32
06-01-2024,95.74,94.16,92.15,96.1
07-01-2024,93.19,91.89,89.97,93.81
08-01-2024,90.2,89.62,87.59,91.69
09-01-2024,87.65,88.03,86.06,90
10-01-2024,85.18,86.45,84.68,88.47
11-01-2024,82.95,84.86,82.77,87.04
12-01-2024,80.86,83.28,81.37,85.29
01-01-2025,79.29,81.69,79.74,83.75
02-01-2025,77.74,80.11,78.22,82.03
03-01-2025,76.9,78.52,76.59,80.59
04-01-2025,75.71,76.94,75.06,79
05-01-2025,74.48,75.35,73.47,77.19
06-01-2025,73.33,73.77,71.64,75.92
07-01-2025,72.19,72.18,70.06,74.15
08-01-2025,71.25,70.59,68.69,72.76
09-01-2025,70.38,69.01,67.01,71.2
10-01-2025,69.37,67.42,65.45,69.22
11-01-2025,68.37,65.84,63.78,67.85
12-01-2025,NaN,64.25,62.18,66.25
01-01-2026,NaN,62.67,60.52,64.63
02-01-2026,NaN,61.08,58.77,63.27
03-01-2026,NaN,59.5,57.09,61.86
04-01-2026,NaN,57.91,54.86,60.81
05-01-2026,NaN,56.32,52.61,59.68
06-01-2026,NaN,54.74,50.37,58.81
07-01-2026,NaN,53.15,48.35,57.92
08-01-2026,NaN,51.57,46.08,57.27
09-01-2026,NaN,49.98,43.28,56.75
10-01-2026,NaN,48.4,40.55,56.02
11-01-2026,NaN,46.81,38.3,56.43
12-01-2026,NaN,45.23,35.55,55.36
