Date,data,median,LB,UB
01-01-2020,14.16,NA,NA,NA
02-01-2020,14.31,NA,NA,NA
03-01-2020,14.49,NA,NA,NA
04-01-2020,14.87,NA,NA,NA
05-01-2020,15.26,NA,NA,NA
06-01-2020,15.48,NA,NA,NA
07-01-2020,15.68,NA,NA,NA
08-01-2020,15.71,NA,NA,NA
09-01-2020,15.9,NA,NA,NA
10-01-2020,15.92,NA,NA,NA
11-01-2020,16,NA,NA,NA
12-01-2020,16.02,NA,NA,NA
01-01-2021,16.23,NA,NA,NA
02-01-2021,16.39,NA,NA,NA
03-01-2021,16.59,NA,NA,NA
04-01-2021,16.55,NA,NA,NA
05-01-2021,16.54,NA,NA,NA
06-01-2021,16.61,NA,NA,NA
07-01-2021,16.7,NA,NA,NA
08-01-2021,16.91,NA,NA,NA
09-01-2021,17.1,NA,NA,NA
10-01-2021,17.37,NA,NA,NA
11-01-2021,17.4,NA,NA,NA
12-01-2021,17.5,NA,NA,NA
01-01-2022,17.49,NA,NA,NA
02-01-2022,17.47,NA,NA,NA
03-01-2022,17.48,NA,NA,NA
04-01-2022,17.52,NA,NA,NA
05-01-2022,17.39,NA,NA,NA
06-01-2022,17.43,NA,NA,NA
07-01-2022,17.4,NA,NA,NA
08-01-2022,17.35,NA,NA,NA
09-01-2022,17.27,NA,NA,NA
10-01-2022,17.35,NA,NA,NA
11-01-2022,17.46,NA,NA,NA
12-01-2022,17.59,NA,NA,NA
01-01-2023,17.63,NA,NA,NA
02-01-2023,17.66,NA,NA,NA
03-01-2023,17.54,NA,NA,NA
04-01-2023,17.55,NA,NA,NA
05-01-2023,17.66,NA,NA,NA
06-01-2023,17.52,NA,NA,NA
07-01-2023,17.37,NA,NA,NA
08-01-2023,17.24,NA,NA,NA
09-01-2023,17.07,NA,NA,NA
10-01-2023,16.77,NA,NA,NA
11-01-2023,16.53,NA,NA,NA
12-01-2023,16.22,NA,NA,NA
01-01-2024,15.92,NA,NA,NA
02-01-2024,15.64,NA,NA,NA
03-01-2024,15.32,NA,NA,NA
04-01-2024,14.89,NA,NA,NA
05-01-2024,14.39,NA,NA,NA
06-01-2024,14.03,NA,NA,NA
07-01-2024,13.7,NA,NA,NA
08-01-2024,13.22,NA,NA,NA
09-01-2024,12.79,NA,NA,NA
10-01-2024,12.38,NA,NA,NA
11-01-2024,11.95,NA,NA,NA
12-01-2024,11.54,NA,NA,NA
01-01-2025,11.17,NA,NA,NA
02-01-2025,10.87,NA,NA,NA
03-01-2025,10.63,NA,NA,NA
04-01-2025,10.39,NA,NA,NA
05-01-2025,10.2,NA,NA,NA
06-01-2025,10.03,NA,NA,NA
07-01-2025,9.78,NA,NA,NA
08-01-2025,9.59,NA,NA,NA
09-01-2025,9.38,NA,NA,NA
10-01-2025,9.1,NA,NA,NA
11-01-2025,8.95,NA,NA,NA
12-01-2025,NaN,8.76,8.57,8.94
01-01-2026,NaN,8.56,8.21,8.92
02-01-2026,NaN,8.37,7.82,8.92
03-01-2026,NaN,8.18,7.41,8.95
04-01-2026,NaN,7.99,6.98,8.99
05-01-2026,NaN,7.8,6.54,9.06
06-01-2026,NaN,7.6,6.07,9.14
07-01-2026,NaN,7.41,5.58,9.24
08-01-2026,NaN,7.22,5.08,9.36
09-01-2026,NaN,7.03,4.57,9.49
10-01-2026,NaN,6.84,4.04,9.64
11-01-2026,NaN,6.65,3.49,9.8
12-01-2026,NaN,6.45,2.93,9.98
