Date,data,median,LB,UB
01-01-2020,14.16,14.16,14.09,14.23
02-01-2020,14.31,14.3,14.25,14.35
03-01-2020,14.49,14.53,14.48,14.58
04-01-2020,14.87,14.88,14.83,14.92
05-01-2020,15.26,15.22,15.17,15.27
06-01-2020,15.48,15.49,15.44,15.53
07-01-2020,15.68,15.66,15.61,15.71
08-01-2020,15.71,15.77,15.72,15.82
09-01-2020,15.9,15.85,15.81,15.9
10-01-2020,15.92,15.93,15.88,15.98
11-01-2020,16,15.98,15.93,16.03
12-01-2020,16.02,16.06,16.01,16.11
01-01-2021,16.23,16.22,16.17,16.27
02-01-2021,16.39,16.42,16.36,16.47
03-01-2021,16.59,16.53,16.48,16.58
04-01-2021,16.55,16.56,16.51,16.61
05-01-2021,16.54,16.56,16.52,16.61
06-01-2021,16.61,16.6,16.54,16.65
07-01-2021,16.7,16.71,16.67,16.76
08-01-2021,16.91,16.91,16.85,16.96
09-01-2021,17.1,17.13,17.08,17.17
10-01-2021,17.37,17.32,17.27,17.37
11-01-2021,17.4,17.44,17.39,17.48
12-01-2021,17.5,17.48,17.43,17.53
01-01-2022,17.49,17.49,17.44,17.54
02-01-2022,17.47,17.49,17.44,17.53
03-01-2022,17.48,17.49,17.44,17.54
04-01-2022,17.52,17.47,17.43,17.52
05-01-2022,17.39,17.44,17.39,17.49
06-01-2022,17.43,17.42,17.37,17.47
07-01-2022,17.4,17.39,17.34,17.44
08-01-2022,17.35,17.34,17.29,17.38
09-01-2022,17.27,17.3,17.25,17.35
10-01-2022,17.35,17.35,17.3,17.39
11-01-2022,17.46,17.46,17.41,17.51
12-01-2022,17.59,17.58,17.54,17.63
01-01-2023,17.63,17.64,17.59,17.69
02-01-2023,17.66,17.61,17.56,17.65
03-01-2023,17.54,17.57,17.52,17.63
04-01-2023,17.55,17.59,17.55,17.64
05-01-2023,17.66,17.59,17.54,17.64
06-01-2023,17.52,17.52,17.47,17.57
07-01-2023,17.37,17.4,17.35,17.45
08-01-2023,17.24,17.24,17.19,17.29
09-01-2023,17.07,17.04,16.99,17.09
10-01-2023,16.77,16.79,16.74,16.84
11-01-2023,16.53,16.51,16.46,16.56
12-01-2023,16.22,16.22,16.17,16.27
01-01-2024,15.92,15.94,15.89,15.99
02-01-2024,15.64,15.65,15.6,15.7
03-01-2024,15.32,15.29,15.24,15.33
04-01-2024,14.89,14.87,14.82,14.92
05-01-2024,14.39,14.44,14.4,14.49
06-01-2024,14.03,14.03,13.98,14.08
07-01-2024,13.7,13.64,13.6,13.69
08-01-2024,13.22,13.24,13.19,13.29
09-01-2024,12.79,12.81,12.76,12.86
10-01-2024,12.38,12.37,12.32,12.42
11-01-2024,11.95,11.94,11.9,11.99
12-01-2024,11.54,11.54,11.49,11.59
01-01-2025,11.17,11.18,11.13,11.22
02-01-2025,10.87,10.87,10.82,10.92
03-01-2025,10.63,10.61,10.56,10.66
04-01-2025,10.39,10.4,10.35,10.45
05-01-2025,10.2,10.2,10.15,10.25
06-01-2025,10.03,10.01,9.96,10.06
07-01-2025,9.78,9.8,9.75,9.85
08-01-2025,9.59,9.59,9.54,9.63
09-01-2025,9.38,9.36,9.31,9.41
10-01-2025,9.1,9.14,9.09,9.19
11-01-2025,8.95,8.93,8.86,9
12-01-2025,NaN,8.75,8.57,8.92
01-01-2026,NaN,8.57,8.27,8.86
02-01-2026,NaN,8.38,7.96,8.81
03-01-2026,NaN,8.2,7.65,8.75
04-01-2026,NaN,8.02,7.34,8.7
05-01-2026,NaN,7.83,7.03,8.64
06-01-2026,NaN,7.65,6.71,8.58
07-01-2026,NaN,7.47,6.4,8.53
08-01-2026,NaN,7.28,6.09,8.47
09-01-2026,NaN,7.1,5.78,8.42
10-01-2026,NaN,6.92,5.47,8.36
11-01-2026,NaN,6.73,5.16,8.31
12-01-2026,NaN,6.55,4.85,8.25
