Date,data,median,LB,UB
01-01-2020,14.16,14.29,13.99,14.6
02-01-2020,14.31,14.49,14.18,14.79
03-01-2020,14.49,14.69,14.39,15
04-01-2020,14.87,14.89,14.58,15.21
05-01-2020,15.26,15.09,14.77,15.4
06-01-2020,15.48,15.29,14.98,15.62
07-01-2020,15.68,15.49,15.2,15.79
08-01-2020,15.71,15.69,15.38,16.01
09-01-2020,15.9,15.8,15.48,16.11
10-01-2020,15.92,15.91,15.61,16.21
11-01-2020,16,16.02,15.72,16.33
12-01-2020,16.02,16.12,15.83,16.43
01-01-2021,16.23,16.23,15.92,16.53
02-01-2021,16.39,16.34,16.03,16.65
03-01-2021,16.59,16.45,16.13,16.76
04-01-2021,16.55,16.56,16.25,16.85
05-01-2021,16.54,16.66,16.38,16.95
06-01-2021,16.61,16.77,16.45,17.1
07-01-2021,16.7,16.88,16.58,17.18
08-01-2021,16.91,16.99,16.71,17.3
09-01-2021,17.1,17.1,16.78,17.41
10-01-2021,17.37,17.2,16.89,17.49
11-01-2021,17.4,17.31,17.02,17.61
12-01-2021,17.5,17.36,17.06,17.66
01-01-2022,17.49,17.41,17.11,17.72
02-01-2022,17.47,17.42,17.09,17.76
03-01-2022,17.48,17.43,17.13,17.76
04-01-2022,17.52,17.44,17.12,17.76
05-01-2022,17.39,17.45,17.17,17.75
06-01-2022,17.43,17.46,17.14,17.76
07-01-2022,17.4,17.47,17.2,17.79
08-01-2022,17.35,17.48,17.17,17.8
09-01-2022,17.27,17.49,17.19,17.83
10-01-2022,17.35,17.5,17.21,17.83
11-01-2022,17.46,17.51,17.19,17.82
12-01-2022,17.59,17.52,17.22,17.83
01-01-2023,17.63,17.53,17.24,17.83
02-01-2023,17.66,17.54,17.25,17.84
03-01-2023,17.54,17.55,17.22,17.87
04-01-2023,17.55,17.56,17.29,17.86
05-01-2023,17.66,17.57,17.27,17.87
06-01-2023,17.52,17.48,17.18,17.77
07-01-2023,17.37,17.39,17.1,17.72
08-01-2023,17.24,17.23,16.94,17.54
09-01-2023,17.07,17.06,16.75,17.37
10-01-2023,16.77,16.79,16.48,17.09
11-01-2023,16.53,16.52,16.21,16.83
12-01-2023,16.22,16.2,15.9,16.52
01-01-2024,15.92,15.89,15.58,16.2
02-01-2024,15.64,15.49,15.18,15.76
03-01-2024,15.32,15.09,14.78,15.38
04-01-2024,14.89,14.69,14.41,14.99
05-01-2024,14.39,14.29,13.98,14.6
06-01-2024,14.03,13.89,13.55,14.19
07-01-2024,13.7,13.49,13.2,13.81
08-01-2024,13.22,13.09,12.79,13.39
09-01-2024,12.79,12.79,12.48,13.1
10-01-2024,12.38,12.48,12.17,12.79
11-01-2024,11.95,12.18,11.87,12.51
12-01-2024,11.54,11.88,11.59,12.2
01-01-2025,11.17,11.57,11.27,11.89
02-01-2025,10.87,11.27,10.95,11.58
03-01-2025,10.63,10.97,10.64,11.26
04-01-2025,10.39,10.66,10.35,10.97
05-01-2025,10.2,10.36,10.04,10.68
06-01-2025,10.03,10.05,9.74,10.35
07-01-2025,9.78,9.75,9.43,10.07
08-01-2025,9.59,9.45,9.15,9.76
09-01-2025,9.38,9.14,8.82,9.45
10-01-2025,9.1,8.84,8.52,9.17
11-01-2025,8.95,8.54,8.22,8.84
12-01-2025,NaN,8.23,7.93,8.52
01-01-2026,NaN,7.93,7.61,8.23
02-01-2026,NaN,7.63,7.27,7.96
03-01-2026,NaN,7.32,6.91,7.7
04-01-2026,NaN,7.02,6.58,7.43
05-01-2026,NaN,6.71,6.2,7.25
06-01-2026,NaN,6.41,5.85,7.05
07-01-2026,NaN,6.11,5.36,6.91
08-01-2026,NaN,5.8,5,6.7
09-01-2026,NaN,5.5,4.52,6.49
10-01-2026,NaN,5.2,4.08,6.41
11-01-2026,NaN,4.89,3.72,6.18
12-01-2026,NaN,4.59,3.24,6.01
