Date,data,median,LB,UB
01-01-2020,26.21,NA,NA,NA
02-01-2020,26.74,NA,NA,NA
03-01-2020,27.39,NA,NA,NA
04-01-2020,28.37,NA,NA,NA
05-01-2020,30.02,NA,NA,NA
06-01-2020,31.05,NA,NA,NA
07-01-2020,32.15,NA,NA,NA
08-01-2020,33.13,NA,NA,NA
09-01-2020,33.89,NA,NA,NA
10-01-2020,34.38,NA,NA,NA
11-01-2020,34.92,NA,NA,NA
12-01-2020,35.58,NA,NA,NA
01-01-2021,36.61,NA,NA,NA
02-01-2021,37.27,NA,NA,NA
03-01-2021,38.21,NA,NA,NA
04-01-2021,38.96,NA,NA,NA
05-01-2021,38.8,NA,NA,NA
06-01-2021,39.19,NA,NA,NA
07-01-2021,39.47,NA,NA,NA
08-01-2021,39.81,NA,NA,NA
09-01-2021,40.41,NA,NA,NA
10-01-2021,40.99,NA,NA,NA
11-01-2021,41.38,NA,NA,NA
12-01-2021,41.87,NA,NA,NA
01-01-2022,41.84,NA,NA,NA
02-01-2022,42.22,NA,NA,NA
03-01-2022,42.2,NA,NA,NA
04-01-2022,41.8,NA,NA,NA
05-01-2022,41.74,NA,NA,NA
06-01-2022,41.73,NA,NA,NA
07-01-2022,41.93,NA,NA,NA
08-01-2022,41.96,NA,NA,NA
09-01-2022,41.9,NA,NA,NA
10-01-2022,42.04,NA,NA,NA
11-01-2022,42.24,NA,NA,NA
12-01-2022,42.5,NA,NA,NA
01-01-2023,42.62,NA,NA,NA
02-01-2023,42.55,NA,NA,NA
03-01-2023,42.62,NA,NA,NA
04-01-2023,42.76,NA,NA,NA
05-01-2023,42.95,NA,NA,NA
06-01-2023,42.92,NA,NA,NA
07-01-2023,42.73,NA,NA,NA
08-01-2023,42.78,NA,NA,NA
09-01-2023,42.45,NA,NA,NA
10-01-2023,41.94,NA,NA,NA
11-01-2023,41.47,NA,NA,NA
12-01-2023,40.8,NA,NA,NA
01-01-2024,40.32,NA,NA,NA
02-01-2024,39.76,NA,NA,NA
03-01-2024,38.74,NA,NA,NA
04-01-2024,37.94,NA,NA,NA
05-01-2024,36.92,NA,NA,NA
06-01-2024,36.08,NA,NA,NA
07-01-2024,35.09,NA,NA,NA
08-01-2024,33.9,NA,NA,NA
09-01-2024,32.82,NA,NA,NA
10-01-2024,31.85,NA,NA,NA
11-01-2024,30.88,NA,NA,NA
12-01-2024,29.98,NA,NA,NA
01-01-2025,29.22,NA,NA,NA
02-01-2025,28.35,NA,NA,NA
03-01-2025,27.94,NA,NA,NA
04-01-2025,27.37,NA,NA,NA
05-01-2025,26.79,NA,NA,NA
06-01-2025,26.21,NA,NA,NA
07-01-2025,25.7,NA,NA,NA
08-01-2025,25.17,NA,NA,NA
09-01-2025,24.8,NA,NA,NA
10-01-2025,24.43,NA,NA,NA
11-01-2025,24.1,NA,NA,NA
12-01-2025,NaN,23.75,23.26,24.25
01-01-2026,NaN,23.4,22.45,24.36
02-01-2026,NaN,23.05,21.58,24.53
03-01-2026,NaN,22.7,20.64,24.77
04-01-2026,NaN,22.35,19.64,25.07
05-01-2026,NaN,22,18.58,25.42
06-01-2026,NaN,21.65,17.48,25.83
07-01-2026,NaN,21.3,16.33,26.28
08-01-2026,NaN,20.95,15.13,26.78
09-01-2026,NaN,20.6,13.89,27.32
10-01-2026,NaN,20.25,12.61,27.9
11-01-2026,NaN,19.9,11.29,28.52
12-01-2026,NaN,19.55,9.93,29.18
