Date,data,median,LB,UB
01-01-2020,26.21,26.2,26.01,26.38
02-01-2020,26.74,26.68,26.56,26.81
03-01-2020,27.39,27.44,27.3,27.57
04-01-2020,28.37,28.54,28.42,28.66
05-01-2020,30.02,29.82,29.69,29.95
06-01-2020,31.05,31.07,30.95,31.19
07-01-2020,32.15,32.2,32.07,32.32
08-01-2020,33.13,33.12,33,33.25
09-01-2020,33.89,33.83,33.7,33.95
10-01-2020,34.38,34.38,34.25,34.51
11-01-2020,34.92,34.96,34.83,35.08
12-01-2020,35.58,35.65,35.52,35.78
01-01-2021,36.61,36.5,36.38,36.62
02-01-2021,37.27,37.4,37.27,37.53
03-01-2021,38.21,38.19,38.07,38.31
04-01-2021,38.96,38.74,38.61,38.87
05-01-2021,38.8,39,38.88,39.12
06-01-2021,39.19,39.16,39.03,39.29
07-01-2021,39.47,39.44,39.32,39.56
08-01-2021,39.81,39.87,39.74,40
09-01-2021,40.41,40.41,40.29,40.53
10-01-2021,40.99,40.95,40.82,41.08
11-01-2021,41.38,41.41,41.29,41.53
12-01-2021,41.87,41.77,41.64,41.9
01-01-2022,41.84,42.02,41.9,42.15
02-01-2022,42.22,42.12,42,42.25
03-01-2022,42.2,42.08,41.95,42.2
04-01-2022,41.8,41.92,41.8,42.04
05-01-2022,41.74,41.76,41.63,41.89
06-01-2022,41.73,41.76,41.64,41.88
07-01-2022,41.93,41.87,41.74,41.99
08-01-2022,41.96,41.92,41.8,42.04
09-01-2022,41.9,41.95,41.82,42.08
10-01-2022,42.04,42.07,41.95,42.19
11-01-2022,42.24,42.26,42.13,42.39
12-01-2022,42.5,42.45,42.33,42.57
01-01-2023,42.62,42.57,42.44,42.71
02-01-2023,42.55,42.6,42.48,42.72
03-01-2023,42.62,42.65,42.51,42.78
04-01-2023,42.76,42.78,42.66,42.9
05-01-2023,42.95,42.89,42.76,43.02
06-01-2023,42.92,42.9,42.77,43.02
07-01-2023,42.73,42.84,42.71,42.97
08-01-2023,42.78,42.71,42.59,42.83
09-01-2023,42.45,42.42,42.3,42.55
10-01-2023,41.94,41.97,41.84,42.1
11-01-2023,41.47,41.44,41.32,41.56
12-01-2023,40.8,40.88,40.75,41.01
01-01-2024,40.32,40.3,40.18,40.43
02-01-2024,39.76,39.65,39.52,39.78
03-01-2024,38.74,38.83,38.71,38.95
04-01-2024,37.94,37.9,37.77,38.03
05-01-2024,36.92,36.99,36.87,37.11
06-01-2024,36.08,36.05,35.92,36.18
07-01-2024,35.09,35.02,34.9,35.14
08-01-2024,33.9,33.94,33.81,34.07
09-01-2024,32.82,32.86,32.74,32.97
10-01-2024,31.85,31.83,31.7,31.96
11-01-2024,30.88,30.88,30.76,31
12-01-2024,29.98,29.99,29.86,30.12
01-01-2025,29.22,29.16,29.04,29.28
02-01-2025,28.35,28.46,28.34,28.59
03-01-2025,27.94,27.89,27.77,28.02
04-01-2025,27.37,27.35,27.23,27.47
05-01-2025,26.79,26.79,26.66,26.92
06-01-2025,26.21,26.23,26.1,26.35
07-01-2025,25.7,25.68,25.55,25.81
08-01-2025,25.17,25.2,25.08,25.32
09-01-2025,24.8,24.79,24.66,24.92
10-01-2025,24.43,24.43,24.3,24.56
11-01-2025,24.1,24.1,23.92,24.28
12-01-2025,NaN,23.78,23.36,24.21
01-01-2026,NaN,23.46,22.75,24.18
02-01-2026,NaN,23.14,22.14,24.15
03-01-2026,NaN,22.82,21.52,24.13
04-01-2026,NaN,22.5,20.91,24.1
05-01-2026,NaN,22.19,20.29,24.08
06-01-2026,NaN,21.87,19.67,24.06
07-01-2026,NaN,21.55,19.05,24.04
08-01-2026,NaN,21.23,18.44,24.02
09-01-2026,NaN,20.91,17.82,23.99
10-01-2026,NaN,20.59,17.2,23.97
11-01-2026,NaN,20.27,16.58,23.95
12-01-2026,NaN,19.95,15.97,23.93
