Date,data,median,LB,UB
01-01-2020,26.21,26.2,25.38,27.06
02-01-2020,26.74,27.11,26.31,27.93
03-01-2020,27.39,28.02,27.22,28.77
04-01-2020,28.37,28.94,28.1,29.77
05-01-2020,30.02,29.85,29.01,30.67
06-01-2020,31.05,30.76,29.98,31.58
07-01-2020,32.15,31.67,30.85,32.5
08-01-2020,33.13,32.59,31.8,33.39
09-01-2020,33.89,33.5,32.65,34.23
10-01-2020,34.38,34.41,33.56,35.23
11-01-2020,34.92,35.12,34.33,35.94
12-01-2020,35.58,35.84,34.96,36.59
01-01-2021,36.61,36.55,35.7,37.36
02-01-2021,37.27,37.26,36.48,38.05
03-01-2021,38.21,37.96,37.17,38.79
04-01-2021,38.96,38.66,37.74,39.48
05-01-2021,38.8,39.01,38.12,39.79
06-01-2021,39.19,39.36,38.6,40.17
07-01-2021,39.47,39.71,38.88,40.48
08-01-2021,39.81,40.06,39.31,40.85
09-01-2021,40.41,40.41,39.64,41.24
10-01-2021,40.99,40.75,39.92,41.6
11-01-2021,41.38,41.1,40.36,41.94
12-01-2021,41.87,41.45,40.63,42.28
01-01-2022,41.84,41.8,40.97,42.64
02-01-2022,42.22,41.86,41.04,42.72
03-01-2022,42.2,41.91,41.07,42.73
04-01-2022,41.8,41.97,41.11,42.85
05-01-2022,41.74,42.03,41.18,42.81
06-01-2022,41.73,42.08,41.15,42.86
07-01-2022,41.93,42.14,41.31,42.97
08-01-2022,41.96,42.19,41.34,43
09-01-2022,41.9,42.25,41.44,43.04
10-01-2022,42.04,42.31,41.47,43.1
11-01-2022,42.24,42.36,41.49,43.19
12-01-2022,42.5,42.42,41.62,43.24
01-01-2023,42.62,42.47,41.67,43.37
02-01-2023,42.55,42.53,41.68,43.31
03-01-2023,42.62,42.59,41.74,43.44
04-01-2023,42.76,42.64,41.82,43.5
05-01-2023,42.95,42.7,41.85,43.52
06-01-2023,42.92,42.75,41.95,43.64
07-01-2023,42.73,42.81,41.99,43.62
08-01-2023,42.78,42.63,41.83,43.41
09-01-2023,42.45,42.45,41.61,43.26
10-01-2023,41.94,42.09,41.21,42.89
11-01-2023,41.47,41.72,40.8,42.54
12-01-2023,40.8,40.84,40.02,41.63
01-01-2024,40.32,39.96,39.07,40.75
02-01-2024,39.76,39.07,38.29,39.86
03-01-2024,38.74,38.19,37.39,39.05
04-01-2024,37.94,37.31,36.51,38.15
05-01-2024,36.92,36.43,35.61,37.31
06-01-2024,36.08,35.54,34.74,36.4
07-01-2024,35.09,34.66,33.85,35.39
08-01-2024,33.9,33.78,32.97,34.61
09-01-2024,32.82,33.05,32.14,33.86
10-01-2024,31.85,32.32,31.55,33.17
11-01-2024,30.88,31.59,30.77,32.43
12-01-2024,29.98,30.86,30.01,31.67
01-01-2025,29.22,30.13,29.38,31
02-01-2025,28.35,29.4,28.62,30.22
03-01-2025,27.94,28.67,27.86,29.51
04-01-2025,27.37,27.94,27.1,28.78
05-01-2025,26.79,27.21,26.37,27.98
06-01-2025,26.21,26.48,25.64,27.26
07-01-2025,25.7,25.75,24.95,26.53
08-01-2025,25.17,25.02,24.22,25.85
09-01-2025,24.8,24.29,23.45,25.07
10-01-2025,24.43,23.56,22.72,24.35
11-01-2025,24.1,22.83,22.01,23.64
12-01-2025,NaN,22.1,21.25,22.9
01-01-2026,NaN,21.37,20.55,22.21
02-01-2026,NaN,20.64,19.73,21.65
03-01-2026,NaN,19.91,18.89,20.91
04-01-2026,NaN,19.18,18.05,20.5
05-01-2026,NaN,18.44,17.03,19.96
06-01-2026,NaN,17.71,15.97,19.45
07-01-2026,NaN,16.98,14.98,19.05
08-01-2026,NaN,16.25,13.94,18.63
09-01-2026,NaN,15.52,12.92,18.24
10-01-2026,NaN,14.79,11.57,17.99
11-01-2026,NaN,14.06,10.21,17.53
12-01-2026,NaN,13.33,9.27,17.18
