Date,data,median,LB,UB
01-01-2020,14.24,NA,NA,NA
02-01-2020,14.41,NA,NA,NA
03-01-2020,14.7,NA,NA,NA
04-01-2020,15.15,NA,NA,NA
05-01-2020,15.78,NA,NA,NA
06-01-2020,16.23,NA,NA,NA
07-01-2020,16.87,NA,NA,NA
08-01-2020,17.64,NA,NA,NA
09-01-2020,17.99,NA,NA,NA
10-01-2020,18.43,NA,NA,NA
11-01-2020,18.82,NA,NA,NA
12-01-2020,19.18,NA,NA,NA
01-01-2021,19.82,NA,NA,NA
02-01-2021,20.22,NA,NA,NA
03-01-2021,20.7,NA,NA,NA
04-01-2021,21.15,NA,NA,NA
05-01-2021,21.47,NA,NA,NA
06-01-2021,21.87,NA,NA,NA
07-01-2021,22.17,NA,NA,NA
08-01-2021,22.3,NA,NA,NA
09-01-2021,22.69,NA,NA,NA
10-01-2021,23.01,NA,NA,NA
11-01-2021,23.25,NA,NA,NA
12-01-2021,23.45,NA,NA,NA
01-01-2022,23.49,NA,NA,NA
02-01-2022,23.75,NA,NA,NA
03-01-2022,23.78,NA,NA,NA
04-01-2022,23.67,NA,NA,NA
05-01-2022,23.59,NA,NA,NA
06-01-2022,23.49,NA,NA,NA
07-01-2022,23.57,NA,NA,NA
08-01-2022,23.55,NA,NA,NA
09-01-2022,23.74,NA,NA,NA
10-01-2022,23.81,NA,NA,NA
11-01-2022,24.02,NA,NA,NA
12-01-2022,24.48,NA,NA,NA
01-01-2023,24.76,NA,NA,NA
02-01-2023,24.85,NA,NA,NA
03-01-2023,25.25,NA,NA,NA
04-01-2023,25.66,NA,NA,NA
05-01-2023,26.01,NA,NA,NA
06-01-2023,26.24,NA,NA,NA
07-01-2023,26.65,NA,NA,NA
08-01-2023,26.91,NA,NA,NA
09-01-2023,26.87,NA,NA,NA
10-01-2023,26.99,NA,NA,NA
11-01-2023,27,NA,NA,NA
12-01-2023,26.83,NA,NA,NA
01-01-2024,26.7,NA,NA,NA
02-01-2024,26.69,NA,NA,NA
03-01-2024,26.43,NA,NA,NA
04-01-2024,26.09,NA,NA,NA
05-01-2024,25.75,NA,NA,NA
06-01-2024,25.59,NA,NA,NA
07-01-2024,24.95,NA,NA,NA
08-01-2024,24.28,NA,NA,NA
09-01-2024,23.78,NA,NA,NA
10-01-2024,23.35,NA,NA,NA
11-01-2024,23.03,NA,NA,NA
12-01-2024,22.8,NA,NA,NA
01-01-2025,22.71,NA,NA,NA
02-01-2025,22.63,NA,NA,NA
03-01-2025,22.67,NA,NA,NA
04-01-2025,22.69,NA,NA,NA
05-01-2025,22.56,NA,NA,NA
06-01-2025,22.33,NA,NA,NA
07-01-2025,22.14,NA,NA,NA
08-01-2025,22.19,NA,NA,NA
09-01-2025,22.11,NA,NA,NA
10-01-2025,21.88,NA,NA,NA
11-01-2025,21.59,NA,NA,NA
12-01-2025,NaN,21.35,21.03,21.66
01-01-2026,NaN,21.1,20.49,21.71
02-01-2026,NaN,20.85,19.9,21.8
03-01-2026,NaN,20.6,19.27,21.93
04-01-2026,NaN,20.36,18.6,22.11
05-01-2026,NaN,20.11,17.9,22.32
06-01-2026,NaN,19.86,17.16,22.56
07-01-2026,NaN,19.61,16.39,22.83
08-01-2026,NaN,19.37,15.6,23.14
09-01-2026,NaN,19.12,14.77,23.47
10-01-2026,NaN,18.87,13.92,23.83
11-01-2026,NaN,18.62,13.04,24.21
12-01-2026,NaN,18.38,12.13,24.62
