Date,data,median,LB,UB
01-01-2020,14.24,14.22,14.1,14.34
02-01-2020,14.41,14.41,14.33,14.5
03-01-2020,14.7,14.72,14.63,14.81
04-01-2020,15.15,15.17,15.09,15.25
05-01-2020,15.78,15.71,15.62,15.79
06-01-2020,16.23,16.29,16.21,16.37
07-01-2020,16.87,16.91,16.83,17
08-01-2020,17.64,17.53,17.45,17.62
09-01-2020,17.99,18.04,17.95,18.12
10-01-2020,18.43,18.42,18.34,18.51
11-01-2020,18.82,18.81,18.73,18.89
12-01-2020,19.18,19.25,19.16,19.34
01-01-2021,19.82,19.74,19.66,19.82
02-01-2021,20.22,20.24,20.16,20.33
03-01-2021,20.7,20.7,20.62,20.79
04-01-2021,21.15,21.12,21.03,21.21
05-01-2021,21.47,21.51,21.43,21.59
06-01-2021,21.87,21.85,21.76,21.94
07-01-2021,22.17,22.11,22.03,22.19
08-01-2021,22.3,22.37,22.28,22.46
09-01-2021,22.69,22.68,22.6,22.76
10-01-2021,23.01,22.99,22.9,23.08
11-01-2021,23.25,23.23,23.15,23.31
12-01-2021,23.45,23.43,23.34,23.51
01-01-2022,23.49,23.58,23.5,23.67
02-01-2022,23.75,23.7,23.61,23.78
03-01-2022,23.78,23.75,23.67,23.83
04-01-2022,23.67,23.7,23.62,23.78
05-01-2022,23.59,23.59,23.5,23.67
06-01-2022,23.49,23.52,23.44,23.6
07-01-2022,23.57,23.53,23.44,23.62
08-01-2022,23.55,23.58,23.5,23.66
09-01-2022,23.74,23.68,23.59,23.77
10-01-2022,23.81,23.85,23.77,23.93
11-01-2022,24.02,24.09,24,24.18
12-01-2022,24.48,24.4,24.32,24.48
01-01-2023,24.76,24.71,24.62,24.8
02-01-2023,24.85,24.96,24.88,25.04
03-01-2023,25.25,25.24,25.16,25.33
04-01-2023,25.66,25.61,25.53,25.69
05-01-2023,26.01,25.99,25.9,26.08
06-01-2023,26.24,26.33,26.25,26.41
07-01-2023,26.65,26.62,26.53,26.7
08-01-2023,26.91,26.83,26.75,26.92
09-01-2023,26.87,26.96,26.88,27.04
10-01-2023,26.99,26.99,26.91,27.08
11-01-2023,27,26.94,26.86,27.03
12-01-2023,26.83,26.85,26.76,26.93
01-01-2024,26.7,26.76,26.67,26.84
02-01-2024,26.69,26.63,26.54,26.72
03-01-2024,26.43,26.4,26.32,26.48
04-01-2024,26.09,26.11,26.02,26.2
05-01-2024,25.75,25.84,25.76,25.92
06-01-2024,25.59,25.48,25.39,25.57
07-01-2024,24.95,24.94,24.86,25.02
08-01-2024,24.28,24.33,24.24,24.42
09-01-2024,23.78,23.78,23.7,23.86
10-01-2024,23.35,23.34,23.25,23.43
11-01-2024,23.03,23.02,22.94,23.11
12-01-2024,22.8,22.81,22.72,22.9
01-01-2025,22.71,22.69,22.61,22.77
02-01-2025,22.63,22.66,22.58,22.75
03-01-2025,22.67,22.69,22.6,22.77
04-01-2025,22.69,22.65,22.57,22.74
05-01-2025,22.56,22.53,22.44,22.61
06-01-2025,22.33,22.36,22.28,22.44
07-01-2025,22.14,22.21,22.12,22.3
08-01-2025,22.19,22.14,22.06,22.22
09-01-2025,22.11,22.08,21.99,22.17
10-01-2025,21.88,21.9,21.81,21.98
11-01-2025,21.59,21.6,21.48,21.72
12-01-2025,NaN,21.28,20.98,21.57
01-01-2026,NaN,20.95,20.45,21.45
02-01-2026,NaN,20.63,19.91,21.34
03-01-2026,NaN,20.3,19.37,21.23
04-01-2026,NaN,19.97,18.84,21.11
05-01-2026,NaN,19.65,18.3,21
06-01-2026,NaN,19.32,17.76,20.89
07-01-2026,NaN,19,17.22,20.78
08-01-2026,NaN,18.67,16.68,20.67
09-01-2026,NaN,18.35,16.14,20.56
10-01-2026,NaN,18.02,15.6,20.44
11-01-2026,NaN,17.7,15.06,20.33
12-01-2026,NaN,17.37,14.52,20.22
