Date,data,median,LB,UB
01-01-2020,14.24,14.03,13.44,14.63
02-01-2020,14.41,14.5,13.87,15.11
03-01-2020,14.7,14.98,14.37,15.56
04-01-2020,15.15,15.46,14.87,16.07
05-01-2020,15.78,15.94,15.35,16.53
06-01-2020,16.23,16.41,15.76,17
07-01-2020,16.87,16.89,16.29,17.5
08-01-2020,17.64,17.37,16.72,17.99
09-01-2020,17.99,17.84,17.26,18.41
10-01-2020,18.43,18.32,17.72,18.95
11-01-2020,18.82,18.8,18.19,19.44
12-01-2020,19.18,19.28,18.67,19.89
01-01-2021,19.82,19.75,19.17,20.39
02-01-2021,20.22,20.23,19.6,20.84
03-01-2021,20.7,20.6,19.99,21.25
04-01-2021,21.15,20.97,20.33,21.59
05-01-2021,21.47,21.35,20.75,21.97
06-01-2021,21.87,21.72,21.1,22.34
07-01-2021,22.17,22.09,21.48,22.7
08-01-2021,22.3,22.46,21.81,23.09
09-01-2021,22.69,22.83,22.23,23.45
10-01-2021,23.01,22.94,22.36,23.51
11-01-2021,23.25,23.04,22.43,23.63
12-01-2021,23.45,23.15,22.54,23.74
01-01-2022,23.49,23.26,22.67,23.86
02-01-2022,23.75,23.36,22.75,24.02
03-01-2022,23.78,23.47,22.91,24.03
04-01-2022,23.67,23.57,22.99,24.2
05-01-2022,23.59,23.68,23.1,24.31
06-01-2022,23.49,23.78,23.19,24.39
07-01-2022,23.57,23.89,23.22,24.46
08-01-2022,23.55,24,23.41,24.64
09-01-2022,23.74,24.1,23.51,24.72
10-01-2022,23.81,24.21,23.62,24.8
11-01-2022,24.02,24.44,23.8,25.02
12-01-2022,24.48,24.67,24.07,25.32
01-01-2023,24.76,24.9,24.24,25.52
02-01-2023,24.85,25.13,24.51,25.75
03-01-2023,25.25,25.35,24.72,25.93
04-01-2023,25.66,25.58,24.99,26.18
05-01-2023,26.01,25.81,25.19,26.43
06-01-2023,26.24,26.04,25.42,26.65
07-01-2023,26.65,26.27,25.7,26.84
08-01-2023,26.91,26.5,25.88,27.12
09-01-2023,26.87,26.73,26.1,27.4
10-01-2023,26.99,26.93,26.29,27.56
11-01-2023,27,27.13,26.56,27.8
12-01-2023,26.83,26.83,26.17,27.41
01-01-2024,26.7,26.53,25.92,27.15
02-01-2024,26.69,26.23,25.66,26.88
03-01-2024,26.43,25.93,25.29,26.53
04-01-2024,26.09,25.63,25,26.24
05-01-2024,25.75,25.33,24.77,25.92
06-01-2024,25.59,25.02,24.44,25.64
07-01-2024,24.95,24.72,24.17,25.33
08-01-2024,24.28,24.42,23.75,25.02
09-01-2024,23.78,24.21,23.6,24.79
10-01-2024,23.35,24,23.41,24.59
11-01-2024,23.03,23.79,23.18,24.39
12-01-2024,22.8,23.58,22.98,24.19
01-01-2025,22.71,23.37,22.76,23.95
02-01-2025,22.63,23.16,22.53,23.75
03-01-2025,22.67,22.95,22.31,23.56
04-01-2025,22.69,22.74,22.12,23.41
05-01-2025,22.56,22.52,21.94,23.14
06-01-2025,22.33,22.31,21.75,22.91
07-01-2025,22.14,22.1,21.49,22.68
08-01-2025,22.19,21.89,21.3,22.47
09-01-2025,22.11,21.68,21.08,22.34
10-01-2025,21.88,21.47,20.81,22.1
11-01-2025,21.59,21.26,20.67,21.85
12-01-2025,NaN,21.05,20.44,21.64
01-01-2026,NaN,20.84,20.23,21.43
02-01-2026,NaN,20.63,19.97,21.25
03-01-2026,NaN,20.42,19.72,21.12
04-01-2026,NaN,20.21,19.48,20.95
05-01-2026,NaN,19.99,19.09,20.92
06-01-2026,NaN,19.78,18.78,20.76
07-01-2026,NaN,19.57,18.32,20.7
08-01-2026,NaN,19.36,18.03,20.74
09-01-2026,NaN,19.15,17.61,20.73
10-01-2026,NaN,18.94,17.2,20.67
11-01-2026,NaN,18.73,16.78,20.68
12-01-2026,NaN,18.52,16.41,20.75
