Date,data,median,LB,UB
1/1/20,15.93,NA,NA,NA
2/1/20,16.27,NA,NA,NA
3/1/20,16.45,NA,NA,NA
4/1/20,16.95,NA,NA,NA
5/1/20,17.75,NA,NA,NA
6/1/20,18.32,NA,NA,NA
7/1/20,18.66,NA,NA,NA
8/1/20,18.89,NA,NA,NA
9/1/20,19.11,NA,NA,NA
10/1/20,19.32,NA,NA,NA
11/1/20,19.38,NA,NA,NA
12/1/20,19.57,NA,NA,NA
1/1/21,19.91,NA,NA,NA
2/1/21,19.99,NA,NA,NA
3/1/21,20.4,NA,NA,NA
4/1/21,20.73,NA,NA,NA
5/1/21,20.48,NA,NA,NA
6/1/21,20.45,NA,NA,NA
7/1/21,20.66,NA,NA,NA
8/1/21,21.04,NA,NA,NA
9/1/21,21.27,NA,NA,NA
10/1/21,21.49,NA,NA,NA
11/1/21,21.8,NA,NA,NA
12/1/21,21.98,NA,NA,NA
1/1/22,22.18,NA,NA,NA
2/1/22,22.36,NA,NA,NA
3/1/22,22.3,NA,NA,NA
4/1/22,21.96,NA,NA,NA
5/1/22,21.82,NA,NA,NA
6/1/22,21.8,NA,NA,NA
7/1/22,21.71,NA,NA,NA
8/1/22,21.62,NA,NA,NA
9/1/22,21.52,NA,NA,NA
10/1/22,21.6,NA,NA,NA
11/1/22,21.61,NA,NA,NA
12/1/22,21.7,NA,NA,NA
1/1/23,21.6,NA,NA,NA
2/1/23,21.51,NA,NA,NA
3/1/23,21.5,NA,NA,NA
4/1/23,21.59,NA,NA,NA
5/1/23,21.6,NA,NA,NA
6/1/23,21.53,NA,NA,NA
7/1/23,21.38,NA,NA,NA
8/1/23,21.25,NA,NA,NA
9/1/23,21.08,NA,NA,NA
10/1/23,20.77,NA,NA,NA
11/1/23,20.38,NA,NA,NA
12/1/23,19.93,NA,NA,NA
1/1/24,19.51,NA,NA,NA
2/1/24,19.18,NA,NA,NA
3/1/24,18.66,NA,NA,NA
4/1/24,18.18,NA,NA,NA
5/1/24,17.72,NA,NA,NA
6/1/24,17.23,NA,NA,NA
7/1/24,16.74,NA,NA,NA
8/1/24,16.19,NA,NA,NA
9/1/24,15.71,NA,NA,NA
10/1/24,15.17,NA,NA,NA
11/1/24,14.72,NA,NA,NA
12/1/24,14.29,NA,NA,NA
1/1/25,14,NA,NA,NA
2/1/25,13.77,NA,NA,NA
3/1/25,13.57,NA,NA,NA
4/1/25,13.22,NA,NA,NA
5/1/25,12.93,NA,NA,NA
6/1/25,12.78,NA,NA,NA
7/1/25,12.58,NA,NA,NA
8/1/25,12.36,NA,NA,NA
9/1/25,12.13,NA,NA,NA
10/1/25,12,NA,NA,NA
11/1/25,NA,11.87,11.57,12.17
12/1/25,NA,11.74,11.07,12.41
1/1/26,NA,11.61,10.49,12.73
2/1/26,NA,11.48,9.84,13.12
3/1/26,NA,11.35,9.13,13.56
4/1/26,NA,11.22,8.37,14.07
5/1/26,NA,11.09,7.55,14.62
6/1/26,NA,10.95,6.69,15.22
7/1/26,NA,10.82,5.78,15.87
8/1/26,NA,10.69,4.83,16.55
9/1/26,NA,10.56,3.84,17.28
10/1/26,NA,10.43,2.82,18.05
