Date,data,median,LB,UB
1/1/20,15.93,15.94,15.85,16.03
2/1/20,16.27,16.25,16.16,16.33
3/1/20,16.45,16.44,16.36,16.51
4/1/20,16.95,17.01,16.94,17.07
5/1/20,17.75,17.71,17.64,17.78
6/1/20,18.32,18.29,18.23,18.36
7/1/20,18.66,18.69,18.62,18.75
8/1/20,18.89,18.92,18.85,18.99
9/1/20,19.11,19.09,19.03,19.16
10/1/20,19.32,19.26,19.19,19.33
11/1/20,19.38,19.44,19.38,19.5
12/1/20,19.57,19.62,19.55,19.69
1/1/21,19.91,19.79,19.73,19.85
2/1/21,19.99,20.04,19.97,20.12
3/1/21,20.4,20.44,20.38,20.5
4/1/21,20.73,20.66,20.59,20.74
5/1/21,20.48,20.52,20.45,20.58
6/1/21,20.45,20.43,20.36,20.5
7/1/21,20.66,20.68,20.62,20.74
8/1/21,21.04,21.01,20.94,21.08
9/1/21,21.27,21.27,21.21,21.34
10/1/21,21.49,21.51,21.44,21.58
11/1/21,21.8,21.76,21.69,21.83
12/1/21,21.98,22,21.94,22.06
1/1/22,22.18,22.21,22.14,22.28
2/1/22,22.36,22.32,22.26,22.38
3/1/22,22.3,22.27,22.2,22.34
4/1/22,21.96,22.03,21.97,22.09
5/1/22,21.82,21.79,21.72,21.87
6/1/22,21.8,21.76,21.7,21.82
7/1/22,21.71,21.75,21.67,21.82
8/1/22,21.62,21.62,21.55,21.68
9/1/22,21.52,21.53,21.46,21.6
10/1/22,21.6,21.57,21.5,21.63
11/1/22,21.61,21.65,21.58,21.72
12/1/22,21.7,21.68,21.61,21.75
1/1/23,21.6,21.61,21.54,21.67
2/1/23,21.51,21.5,21.43,21.57
3/1/23,21.5,21.51,21.45,21.57
4/1/23,21.59,21.59,21.52,21.66
5/1/23,21.6,21.6,21.54,21.66
6/1/23,21.53,21.52,21.45,21.59
7/1/23,21.38,21.39,21.33,21.45
8/1/23,21.25,21.24,21.17,21.32
9/1/23,21.08,21.07,21.01,21.13
10/1/23,20.77,20.79,20.72,20.86
11/1/23,20.38,20.36,20.3,20.42
12/1/23,19.93,19.93,19.86,20
1/1/24,19.51,19.55,19.48,19.61
2/1/24,19.18,19.14,19.07,19.2
3/1/24,18.66,18.67,18.6,18.74
4/1/24,18.18,18.19,18.13,18.25
5/1/24,17.72,17.71,17.64,17.78
6/1/24,17.23,17.23,17.17,17.29
7/1/24,16.74,16.73,16.66,16.8
8/1/24,16.19,16.21,16.15,16.27
9/1/24,15.71,15.69,15.61,15.76
10/1/24,15.17,15.19,15.13,15.25
11/1/24,14.72,14.72,14.64,14.79
12/1/24,14.29,14.29,14.23,14.35
1/1/25,14,13.99,13.92,14.06
2/1/25,13.77,13.8,13.73,13.86
3/1/25,13.57,13.55,13.48,13.62
4/1/25,13.22,13.22,13.15,13.28
5/1/25,12.93,12.95,12.88,13.02
6/1/25,12.78,12.77,12.7,12.85
7/1/25,12.58,12.58,12.52,12.65
8/1/25,12.36,12.36,12.28,12.44
9/1/25,12.13,12.14,12.05,12.22
10/1/25,12,12,11.91,12.09
11/1/25,NA,11.95,11.52,12.38
12/1/25,NA,11.89,11.08,12.7
1/1/26,NA,11.84,10.64,13.03
2/1/26,NA,11.78,10.2,13.36
3/1/26,NA,11.73,9.77,13.69
4/1/26,NA,11.67,9.33,14.02
5/1/26,NA,11.62,8.89,14.35
6/1/26,NA,11.56,8.45,14.68
7/1/26,NA,11.51,8.01,15
8/1/26,NA,11.45,7.57,15.33
9/1/26,NA,11.4,7.13,15.66
10/1/26,NA,11.34,6.69,15.99
