Date,data,median,LB,UB
1/1/20,15.93,15.97,15.57,16.36
2/1/20,16.27,16.38,16,16.75
3/1/20,16.45,16.79,16.37,17.18
4/1/20,16.95,17.2,16.82,17.58
5/1/20,17.75,17.61,17.24,17.99
6/1/20,18.32,18.02,17.64,18.43
7/1/20,18.66,18.43,18,18.81
8/1/20,18.89,18.84,18.43,19.23
9/1/20,19.11,19.05,18.68,19.46
10/1/20,19.32,19.26,18.87,19.65
11/1/20,19.38,19.45,19.07,19.8
12/1/20,19.57,19.64,19.24,20
1/1/21,19.91,19.83,19.45,20.2
2/1/21,19.99,20.01,19.64,20.39
3/1/21,20.4,20.2,19.79,20.59
4/1/21,20.73,20.39,20.01,20.79
5/1/21,20.48,20.58,20.21,20.94
6/1/21,20.45,20.76,20.39,21.14
7/1/21,20.66,20.95,20.55,21.33
8/1/21,21.04,21.14,20.74,21.51
9/1/21,21.27,21.33,20.93,21.71
10/1/21,21.49,21.51,21.13,21.91
11/1/21,21.8,21.7,21.32,22.12
12/1/21,21.98,21.89,21.51,22.26
1/1/22,22.18,22.08,21.69,22.47
2/1/22,22.36,22.04,21.61,22.42
3/1/22,22.3,22,21.6,22.4
4/1/22,21.96,21.96,21.56,22.33
5/1/22,21.82,21.92,21.56,22.32
6/1/22,21.8,21.88,21.49,22.26
7/1/22,21.71,21.84,21.46,22.25
8/1/22,21.62,21.8,21.42,22.19
9/1/22,21.52,21.76,21.4,22.14
10/1/22,21.6,21.72,21.33,22.09
11/1/22,21.61,21.68,21.3,22.09
12/1/22,21.7,21.65,21.28,22
1/1/23,21.6,21.61,21.23,22
2/1/23,21.51,21.57,21.17,21.94
3/1/23,21.5,21.53,21.15,21.88
4/1/23,21.59,21.49,21.09,21.86
5/1/23,21.6,21.45,21.08,21.84
6/1/23,21.53,21.41,21.01,21.82
7/1/23,21.38,21.37,20.95,21.75
8/1/23,21.25,21.23,20.82,21.63
9/1/23,21.08,21.1,20.71,21.5
10/1/23,20.77,20.75,20.37,21.14
11/1/23,20.38,20.4,20.01,20.79
12/1/23,19.93,19.92,19.55,20.3
1/1/24,19.51,19.44,19.06,19.83
2/1/24,19.18,18.96,18.57,19.33
3/1/24,18.66,18.48,18.07,18.86
4/1/24,18.18,17.99,17.61,18.36
5/1/24,17.72,17.51,17.14,17.87
6/1/24,17.23,17.03,16.65,17.42
7/1/24,16.74,16.55,16.18,16.91
8/1/24,16.19,16.07,15.7,16.45
9/1/24,15.71,15.74,15.37,16.12
10/1/24,15.17,15.42,15.02,15.79
11/1/24,14.72,15.09,14.73,15.46
12/1/24,14.29,14.76,14.38,15.14
1/1/25,14,14.43,14.05,14.8
2/1/25,13.77,14.11,13.7,14.48
3/1/25,13.57,13.78,13.42,14.16
4/1/25,13.22,13.45,13.04,13.82
5/1/25,12.93,13.12,12.72,13.52
6/1/25,12.78,12.8,12.4,13.16
7/1/25,12.58,12.47,12.08,12.82
8/1/25,12.36,12.14,11.75,12.53
9/1/25,12.13,11.81,11.42,12.17
10/1/25,12,11.49,11.1,11.86
11/1/25,NA,11.16,10.75,11.55
12/1/25,NA,10.83,10.41,11.21
1/1/26,NA,10.5,10.07,10.95
2/1/26,NA,10.18,9.68,10.7
3/1/26,NA,9.85,9.25,10.45
4/1/26,NA,9.52,8.77,10.31
5/1/26,NA,9.19,8.25,10.15
6/1/26,NA,8.87,7.9,9.89
7/1/26,NA,8.54,7.32,9.74
8/1/26,NA,8.21,6.87,9.62
9/1/26,NA,7.88,6.33,9.47
10/1/26,NA,7.56,5.67,9.31
