Date,data,median,LB,UB
1/1/20,72.12,NA,NA,NA
2/1/20,73.34,NA,NA,NA
3/1/20,74.68,NA,NA,NA
4/1/20,77.02,NA,NA,NA
5/1/20,80.58,NA,NA,NA
6/1/20,82.92,NA,NA,NA
7/1/20,85.24,NA,NA,NA
8/1/20,87.29,NA,NA,NA
9/1/20,88.88,NA,NA,NA
10/1/20,90.09,NA,NA,NA
11/1/20,91.2,NA,NA,NA
12/1/20,92.48,NA,NA,NA
1/1/21,94.79,NA,NA,NA
2/1/21,96.12,NA,NA,NA
3/1/21,98.21,NA,NA,NA
4/1/21,99.77,NA,NA,NA
5/1/21,99.68,NA,NA,NA
6/1/21,100.57,NA,NA,NA
7/1/21,101.48,NA,NA,NA
8/1/21,102.61,NA,NA,NA
9/1/21,104.1,NA,NA,NA
10/1/21,105.53,NA,NA,NA
11/1/21,106.55,NA,NA,NA
12/1/21,107.57,NA,NA,NA
1/1/22,107.8,NA,NA,NA
2/1/22,108.64,NA,NA,NA
3/1/22,108.6,NA,NA,NA
4/1/22,107.78,NA,NA,NA
5/1/22,107.43,NA,NA,NA
6/1/22,107.37,NA,NA,NA
7/1/22,107.58,NA,NA,NA
8/1/22,107.47,NA,NA,NA
9/1/22,107.43,NA,NA,NA
10/1/22,107.82,NA,NA,NA
11/1/22,108.43,NA,NA,NA
12/1/22,109.41,NA,NA,NA
1/1/23,109.75,NA,NA,NA
2/1/23,109.71,NA,NA,NA
3/1/23,110.08,NA,NA,NA
4/1/23,110.77,NA,NA,NA
5/1/23,111.42,NA,NA,NA
6/1/23,111.47,NA,NA,NA
7/1/23,111.38,NA,NA,NA
8/1/23,111.45,NA,NA,NA
9/1/23,110.72,NA,NA,NA
10/1/23,109.7,NA,NA,NA
11/1/23,108.53,NA,NA,NA
12/1/23,106.88,NA,NA,NA
1/1/24,105.52,NA,NA,NA
2/1/24,104.36,NA,NA,NA
3/1/24,102.17,NA,NA,NA
4/1/24,100.05,NA,NA,NA
5/1/24,97.68,NA,NA,NA
6/1/24,95.74,NA,NA,NA
7/1/24,93.19,NA,NA,NA
8/1/24,90.2,NA,NA,NA
9/1/24,87.65,NA,NA,NA
10/1/24,85.17,NA,NA,NA
11/1/24,82.94,NA,NA,NA
12/1/24,80.86,NA,NA,NA
1/1/25,79.21,NA,NA,NA
2/1/25,77.57,NA,NA,NA
3/1/25,76.62,NA,NA,NA
4/1/25,75.33,NA,NA,NA
5/1/25,74.07,NA,NA,NA
6/1/25,72.88,NA,NA,NA
7/1/25,71.62,NA,NA,NA
8/1/25,70.59,NA,NA,NA
9/1/25,69.6,NA,NA,NA
10/1/25,68.41,NA,NA,NA
11/1/25,NA,67.25,66.2,68.3
12/1/25,NA,66.1,63.93,68.26
1/1/26,NA,64.94,61.46,68.42
2/1/26,NA,63.78,58.81,68.76
3/1/26,NA,62.63,55.99,69.27
4/1/26,NA,61.47,53.02,69.92
5/1/26,NA,60.31,49.91,70.72
6/1/26,NA,59.16,46.67,71.64
7/1/26,NA,58,43.31,72.69
8/1/26,NA,56.84,39.83,73.85
9/1/26,NA,55.69,36.25,75.13
10/1/26,NA,54.53,32.56,76.51
