Date,data,median,LB,UB
1/1/20,72.12,72.16,71.8,72.51
2/1/20,73.34,73.17,72.9,73.43
3/1/20,74.68,74.79,74.53,75.06
4/1/20,77.02,77.33,77.08,77.57
5/1/20,80.58,80.21,79.95,80.46
6/1/20,82.92,82.94,82.7,83.19
7/1/20,85.24,85.34,85.09,85.59
8/1/20,87.29,87.3,87.04,87.55
9/1/20,88.88,88.81,88.57,89.05
10/1/20,90.09,90.04,89.78,90.3
11/1/20,91.2,91.26,91.02,91.49
12/1/20,92.48,92.68,92.42,92.94
1/1/21,94.79,94.45,94.22,94.69
2/1/21,96.12,96.39,96.13,96.66
3/1/21,98.21,98.19,97.95,98.42
4/1/21,99.77,99.44,99.17,99.7
5/1/21,99.68,100,99.76,100.24
6/1/21,100.57,100.5,100.24,100.76
7/1/21,101.48,101.42,101.18,101.66
8/1/21,102.61,102.68,102.43,102.94
9/1/21,104.1,104.11,103.86,104.36
10/1/21,105.53,105.46,105.21,105.71
11/1/21,106.55,106.59,106.34,106.85
12/1/21,107.57,107.46,107.22,107.7
1/1/22,107.8,108.07,107.81,108.33
2/1/22,108.64,108.46,108.22,108.69
3/1/22,108.6,108.46,108.2,108.73
4/1/22,107.78,107.96,107.72,108.19
5/1/22,107.43,107.44,107.17,107.71
6/1/22,107.37,107.39,107.16,107.63
7/1/22,107.58,107.49,107.23,107.76
8/1/22,107.47,107.45,107.21,107.69
9/1/22,107.43,107.49,107.23,107.75
10/1/22,107.82,107.83,107.59,108.08
11/1/22,108.43,108.51,108.26,108.76
12/1/22,109.41,109.29,109.04,109.54
1/1/23,109.75,109.68,109.44,109.93
2/1/23,109.71,109.78,109.53,110.04
3/1/23,110.08,110.17,109.93,110.41
4/1/23,110.77,110.79,110.52,111.05
5/1/23,111.42,111.26,111.02,111.49
6/1/23,111.47,111.5,111.23,111.77
7/1/23,111.38,111.54,111.3,111.77
8/1/23,111.45,111.31,111.05,111.58
9/1/23,110.72,110.74,110.5,110.98
10/1/23,109.7,109.75,109.48,110.01
11/1/23,108.53,108.39,108.15,108.63
12/1/23,106.88,107,106.74,107.26
1/1/24,105.52,105.67,105.42,105.92
2/1/24,104.36,104.11,103.86,104.36
3/1/24,102.17,102.2,101.95,102.46
4/1/24,100.05,100.08,99.84,100.33
5/1/24,97.68,97.85,97.59,98.11
6/1/24,95.74,95.56,95.32,95.8
7/1/24,93.19,93.11,92.84,93.37
8/1/24,90.2,90.37,90.14,90.6
9/1/24,87.65,87.62,87.35,87.88
10/1/24,85.17,85.15,84.92,85.39
11/1/24,82.94,82.93,82.67,83.2
12/1/24,80.86,80.89,80.65,81.13
1/1/25,79.21,79.14,78.88,79.4
2/1/25,77.57,77.72,77.48,77.96
3/1/25,76.62,76.5,76.24,76.75
4/1/25,75.33,75.33,75.08,75.58
5/1/25,74.07,74.1,73.86,74.35
6/1/25,72.88,72.84,72.58,73.1
7/1/25,71.62,71.67,71.43,71.91
8/1/25,70.59,70.6,70.34,70.87
9/1/25,69.6,69.55,69.28,69.81
10/1/25,68.41,68.43,68.08,68.79
11/1/25,NA,67.27,66.33,68.22
12/1/25,NA,66.11,64.47,67.76
1/1/26,NA,64.95,62.59,67.3
2/1/26,NA,63.79,60.72,66.86
3/1/26,NA,62.62,58.84,66.41
4/1/26,NA,61.46,56.96,65.97
5/1/26,NA,60.3,55.08,65.53
6/1/26,NA,59.14,53.19,65.08
7/1/26,NA,57.98,51.31,64.64
8/1/26,NA,56.82,49.43,64.2
9/1/26,NA,55.65,47.55,63.76
10/1/26,NA,54.49,45.67,63.32
