Date,data,median,LB,UB
1/1/20,72.12,72.08,70.18,73.99
2/1/20,73.34,74.1,72.31,76.01
3/1/20,74.68,76.11,74.37,77.88
4/1/20,77.02,78.13,76.28,80.07
5/1/20,80.58,80.15,78.27,82.13
6/1/20,82.92,82.17,80.19,83.93
7/1/20,85.24,84.18,82.37,85.96
8/1/20,87.29,86.2,84.39,88.01
9/1/20,88.88,88.22,86.46,90.08
10/1/20,90.09,90.23,88.4,92.11
11/1/20,91.2,91.69,89.81,93.53
12/1/20,92.48,93.14,91.24,95.02
1/1/21,94.79,94.6,92.63,96.59
2/1/21,96.12,96.05,94.22,97.98
3/1/21,98.21,97.5,95.66,99.35
4/1/21,99.77,98.96,97.02,100.73
5/1/21,99.68,100.01,98.1,101.88
6/1/21,100.57,101.06,99.13,102.99
7/1/21,101.48,102.12,100.26,103.93
8/1/21,102.61,103.17,101.23,104.93
9/1/21,104.1,104.22,102.4,106.04
10/1/21,105.53,105.28,103.45,107.05
11/1/21,106.55,106.33,104.48,108.26
12/1/21,107.57,106.71,104.91,108.54
1/1/22,107.8,107.09,105.23,108.92
2/1/22,108.64,107.3,105.48,109.24
3/1/22,108.6,107.51,105.56,109.42
4/1/22,107.78,107.72,105.92,109.59
5/1/22,107.43,107.93,106.07,109.87
6/1/22,107.37,108.14,106.31,109.98
7/1/22,107.58,108.35,106.53,110.13
8/1/22,107.47,108.56,106.71,110.33
9/1/22,107.43,108.76,106.96,110.54
10/1/22,107.82,108.97,107.14,110.86
11/1/22,108.43,109.18,107.37,111
12/1/22,109.41,109.39,107.61,111.28
1/1/23,109.75,109.6,107.76,111.49
2/1/23,109.71,109.81,107.97,111.74
3/1/23,110.08,110.02,108.04,111.89
4/1/23,110.77,110.23,108.23,112.06
5/1/23,111.42,110.44,108.7,112.34
6/1/23,111.47,110.65,108.79,112.58
7/1/23,111.38,110.86,109.09,112.71
8/1/23,111.45,111.06,109.13,112.86
9/1/23,110.72,111.27,109.39,113.11
10/1/23,109.7,109.86,108.03,111.59
11/1/23,108.53,108.44,106.64,110.23
12/1/23,106.88,107.03,105.18,108.88
1/1/24,105.52,105.61,103.79,107.68
2/1/24,104.36,103.35,101.46,105.21
3/1/24,102.17,101.1,99.19,103
4/1/24,100.05,98.84,96.99,100.67
5/1/24,97.68,96.58,94.7,98.53
6/1/24,95.74,94.32,92.48,96.25
7/1/24,93.19,92.07,90.17,93.82
8/1/24,90.2,89.81,87.91,91.63
9/1/24,87.65,88.12,86.29,89.98
10/1/24,85.17,86.42,84.58,88.29
11/1/24,82.94,84.73,82.91,86.4
12/1/24,80.86,83.04,81.24,84.8
1/1/25,79.21,81.35,79.39,83.12
2/1/25,77.57,79.66,77.73,81.54
3/1/25,76.62,77.96,75.99,79.88
4/1/25,75.33,76.27,74.46,78.08
5/1/25,74.07,74.58,72.66,76.5
6/1/25,72.88,72.89,71,74.86
7/1/25,71.62,71.2,69.23,73.13
8/1/25,70.59,69.5,67.63,71.31
9/1/25,69.6,67.81,65.87,69.69
10/1/25,68.41,66.12,64.44,68.08
11/1/25,NA,64.43,62.55,66.23
12/1/25,NA,62.74,60.85,64.65
1/1/26,NA,61.04,59.05,63.03
2/1/26,NA,59.35,56.72,61.76
3/1/26,NA,57.66,54.75,60.66
4/1/26,NA,55.97,52.52,59.16
5/1/26,NA,54.28,49.85,58.41
6/1/26,NA,52.58,47.53,57.1
7/1/26,NA,50.89,44.9,56.43
8/1/26,NA,49.2,42.22,55.12
9/1/26,NA,47.51,40.13,54.45
10/1/26,NA,45.81,37.33,54.08
