Date,data,median,LB,UB
1/1/20,14.16,NA,NA,NA
2/1/20,14.31,NA,NA,NA
3/1/20,14.49,NA,NA,NA
4/1/20,14.87,NA,NA,NA
5/1/20,15.26,NA,NA,NA
6/1/20,15.48,NA,NA,NA
7/1/20,15.68,NA,NA,NA
8/1/20,15.71,NA,NA,NA
9/1/20,15.9,NA,NA,NA
10/1/20,15.92,NA,NA,NA
11/1/20,16,NA,NA,NA
12/1/20,16.02,NA,NA,NA
1/1/21,16.23,NA,NA,NA
2/1/21,16.39,NA,NA,NA
3/1/21,16.59,NA,NA,NA
4/1/21,16.55,NA,NA,NA
5/1/21,16.54,NA,NA,NA
6/1/21,16.61,NA,NA,NA
7/1/21,16.7,NA,NA,NA
8/1/21,16.91,NA,NA,NA
9/1/21,17.1,NA,NA,NA
10/1/21,17.37,NA,NA,NA
11/1/21,17.4,NA,NA,NA
12/1/21,17.5,NA,NA,NA
1/1/22,17.49,NA,NA,NA
2/1/22,17.47,NA,NA,NA
3/1/22,17.48,NA,NA,NA
4/1/22,17.52,NA,NA,NA
5/1/22,17.39,NA,NA,NA
6/1/22,17.43,NA,NA,NA
7/1/22,17.4,NA,NA,NA
8/1/22,17.35,NA,NA,NA
9/1/22,17.27,NA,NA,NA
10/1/22,17.35,NA,NA,NA
11/1/22,17.46,NA,NA,NA
12/1/22,17.59,NA,NA,NA
1/1/23,17.63,NA,NA,NA
2/1/23,17.66,NA,NA,NA
3/1/23,17.54,NA,NA,NA
4/1/23,17.55,NA,NA,NA
5/1/23,17.66,NA,NA,NA
6/1/23,17.52,NA,NA,NA
7/1/23,17.37,NA,NA,NA
8/1/23,17.24,NA,NA,NA
9/1/23,17.07,NA,NA,NA
10/1/23,16.77,NA,NA,NA
11/1/23,16.53,NA,NA,NA
12/1/23,16.22,NA,NA,NA
1/1/24,15.92,NA,NA,NA
2/1/24,15.64,NA,NA,NA
3/1/24,15.31,NA,NA,NA
4/1/24,14.89,NA,NA,NA
5/1/24,14.39,NA,NA,NA
6/1/24,14.03,NA,NA,NA
7/1/24,13.7,NA,NA,NA
8/1/24,13.22,NA,NA,NA
9/1/24,12.79,NA,NA,NA
10/1/24,12.38,NA,NA,NA
11/1/24,11.95,NA,NA,NA
12/1/24,11.54,NA,NA,NA
1/1/25,11.16,NA,NA,NA
2/1/25,10.86,NA,NA,NA
3/1/25,10.61,NA,NA,NA
4/1/25,10.37,NA,NA,NA
5/1/25,10.17,NA,NA,NA
6/1/25,9.99,NA,NA,NA
7/1/25,9.73,NA,NA,NA
8/1/25,9.52,NA,NA,NA
9/1/25,9.29,NA,NA,NA
10/1/25,8.97,NA,NA,NA
11/1/25,NA,8.68,8.49,8.87
12/1/25,NA,8.4,8.04,8.76
1/1/26,NA,8.11,7.56,8.67
2/1/26,NA,7.83,7.06,8.6
3/1/26,NA,7.55,6.53,8.56
4/1/26,NA,7.26,5.98,8.54
5/1/26,NA,6.98,5.42,8.53
6/1/26,NA,6.69,4.84,8.55
7/1/26,NA,6.41,4.24,8.58
8/1/26,NA,6.12,3.62,8.62
9/1/26,NA,5.84,2.99,8.68
10/1/26,NA,5.55,2.35,8.76
