Date,data,median,LB,UB
1/1/20,14.16,14.16,14.09,14.23
2/1/20,14.31,14.3,14.25,14.35
3/1/20,14.49,14.53,14.48,14.58
4/1/20,14.87,14.88,14.83,14.92
5/1/20,15.26,15.22,15.17,15.27
6/1/20,15.48,15.49,15.44,15.53
7/1/20,15.68,15.66,15.61,15.71
8/1/20,15.71,15.77,15.72,15.82
9/1/20,15.9,15.85,15.81,15.9
10/1/20,15.92,15.93,15.88,15.98
11/1/20,16,15.98,15.93,16.03
12/1/20,16.02,16.06,16.01,16.11
1/1/21,16.23,16.22,16.18,16.27
2/1/21,16.39,16.41,16.36,16.46
3/1/21,16.59,16.53,16.48,16.57
4/1/21,16.55,16.56,16.51,16.62
5/1/21,16.54,16.56,16.52,16.61
6/1/21,16.61,16.59,16.54,16.64
7/1/21,16.7,16.71,16.67,16.76
8/1/21,16.91,16.91,16.86,16.96
9/1/21,17.1,17.13,17.08,17.18
10/1/21,17.37,17.32,17.27,17.37
11/1/21,17.4,17.43,17.39,17.48
12/1/21,17.5,17.48,17.44,17.53
1/1/22,17.49,17.49,17.44,17.54
2/1/22,17.47,17.49,17.44,17.54
3/1/22,17.48,17.49,17.44,17.54
4/1/22,17.52,17.47,17.42,17.51
5/1/22,17.39,17.44,17.39,17.49
6/1/22,17.43,17.43,17.38,17.47
7/1/22,17.4,17.39,17.34,17.44
8/1/22,17.35,17.33,17.28,17.38
9/1/22,17.27,17.3,17.25,17.35
10/1/22,17.35,17.35,17.3,17.4
11/1/22,17.46,17.46,17.41,17.51
12/1/22,17.59,17.58,17.53,17.63
1/1/23,17.63,17.63,17.58,17.68
2/1/23,17.66,17.61,17.56,17.66
3/1/23,17.54,17.59,17.54,17.64
4/1/23,17.55,17.58,17.53,17.63
5/1/23,17.66,17.58,17.53,17.62
6/1/23,17.52,17.53,17.48,17.58
7/1/23,17.37,17.41,17.36,17.45
8/1/23,17.24,17.23,17.18,17.29
9/1/23,17.07,17.03,16.99,17.08
10/1/23,16.77,16.79,16.74,16.85
11/1/23,16.53,16.51,16.46,16.56
12/1/23,16.22,16.22,16.17,16.27
1/1/24,15.92,15.94,15.89,15.98
2/1/24,15.64,15.64,15.59,15.69
3/1/24,15.31,15.29,15.25,15.34
4/1/24,14.89,14.88,14.83,14.92
5/1/24,14.39,14.43,14.38,14.48
6/1/24,14.03,14.03,13.98,14.08
7/1/24,13.7,13.65,13.6,13.71
8/1/24,13.22,13.24,13.19,13.29
9/1/24,12.79,12.8,12.75,12.85
10/1/24,12.38,12.37,12.32,12.41
11/1/24,11.95,11.95,11.9,12
12/1/24,11.54,11.54,11.49,11.58
1/1/25,11.16,11.17,11.12,11.22
2/1/25,10.86,10.86,10.81,10.91
3/1/25,10.61,10.6,10.55,10.65
4/1/25,10.37,10.38,10.33,10.43
5/1/25,10.17,10.17,10.12,10.22
6/1/25,9.99,9.97,9.92,10.02
7/1/25,9.73,9.76,9.71,9.8
8/1/25,9.52,9.52,9.47,9.57
9/1/25,9.29,9.27,9.22,9.32
10/1/25,8.97,8.98,8.91,9.05
11/1/25,NA,8.68,8.5,8.85
12/1/25,NA,8.37,8.08,8.67
1/1/26,NA,8.07,7.65,8.49
2/1/26,NA,7.77,7.22,8.31
3/1/26,NA,7.46,6.79,8.13
4/1/26,NA,7.16,6.36,7.95
5/1/26,NA,6.85,5.94,7.77
6/1/26,NA,6.55,5.51,7.6
7/1/26,NA,6.25,5.08,7.42
8/1/26,NA,5.94,4.65,7.24
9/1/26,NA,5.64,4.22,7.06
10/1/26,NA,5.34,3.79,6.89
